panel,arm,mean_dCAGR,mean_dSharpe,n_dCAGR_neg,n_dSharpe_neg,n
U56,MA-RS,-0.01207041289600915,-0.0044988052030399866,6,3,6
U56,MA-DG,-0.04718882171118307,0.06209789734799487,6,0,6
U56,MAVOL-RS,-0.02155914611405237,-0.032853636811258746,6,3,6
U56,MAVOL-DG,-0.05500496542539176,0.020457075807538565,6,3,6
B136,MA-RS,-0.020648387988741357,-0.04652453310441795,6,6,6
B136,MA-DG,-0.05994740668527517,-0.008557208258128335,6,3,6
B136,MAVOL-RS,-0.028833894994305553,-0.07428629047771933,6,6,6
B136,MAVOL-DG,-0.06479917799490886,-0.03501720611655582,6,6,6
SMALL439,MA-RS,-0.02406433952589911,-0.10227731712053757,6,6,6
SMALL439,MA-DG,-0.059200068638990556,-0.08163816395215984,6,6,6
SMALL439,MAVOL-RS,-0.053272910701038824,-0.2687387533328382,6,6,6
SMALL439,MAVOL-DG,-0.07779161911426206,-0.2591385025674721,6,6,6
