pair,shp,s,k,basis,rep,char,n_rungs,min_n,tot_n,n_thin,n_thick,abs_resid,abs_resid_perseed,neff_min,fill
BS,SYM,40,12,FULL,0,momac,3,40,80,40,40,0.0042412284799443105,0.00573793072735936,33.45389600721635,0.3
BS,SYM,40,12,FULL,0,tpers,3,40,80,40,40,0.0012642979760714157,0.002154969689477352,28.033582170053403,0.3
BS,SYM,40,12,FULL,1,momac,3,39,79,40,39,0.008057300028282902,0.011422673450476935,31.017814580191544,0.3076923076923077
BS,SYM,40,12,FULL,1,tpers,3,40,80,40,40,0.0024457974188364373,0.0026180927400943233,27.078540078661405,0.3
BS,SYM,40,12,FULL,2,momac,3,38,78,40,38,0.007688153172789407,0.009263150771906216,29.788778551747427,0.3157894736842105
BS,SYM,40,12,FULL,2,tpers,3,40,80,40,40,0.001421692115015527,0.0019708390952160714,25.99809757779654,0.3
BS,SYM,40,12,FULL,3,momac,3,40,80,40,40,0.0049098957916027626,0.007167911315263065,30.4705206850458,0.3
BS,SYM,40,12,FULL,3,tpers,3,40,80,40,40,0.0011865136681732391,0.0015264207340937401,24.324297480322326,0.3
BS,SYM,40,12,FULL,4,momac,3,40,80,40,40,0.013179380828238921,0.01317938082823889,32.42796104077656,0.3
BS,SYM,40,12,FULL,4,tpers,4,40,80,40,40,0.001645548701597055,0.0018712792312807897,22.836452541856865,0.3
BS,SYM,40,12,FULL,5,momac,3,40,80,40,40,0.008285436754630856,0.009546824234904784,31.941697439350307,0.3
BS,SYM,40,12,FULL,5,tpers,2,40,80,40,40,0.0026603717793728388,0.002660371779372904,28.08616974900852,0.3
BS,SYM,40,12,SUB,0,momac,3,40,80,40,40,0.0036172410431024593,0.0053734113218924275,22.58980857921428,0.3
BS,SYM,40,12,SUB,0,tpers,3,40,80,40,40,0.0013137584428458322,0.001649517383869444,21.29934244177178,0.3
BS,SYM,40,12,SUB,1,momac,3,39,79,40,39,0.009337759768977771,0.011361511831906479,21.769633206148626,0.3076923076923077
BS,SYM,40,12,SUB,1,tpers,3,40,80,40,40,0.001494549443415057,0.0017476104936891307,19.801748721831377,0.3
BS,SYM,40,12,SUB,2,momac,3,38,78,40,38,0.004839435465257114,0.006513811633678246,22.452007279776705,0.3157894736842105
BS,SYM,40,12,SUB,2,tpers,3,40,80,40,40,0.0015176485338250778,0.0018181812580896906,22.84115608692343,0.3
BS,SYM,40,12,SUB,3,momac,3,40,80,40,40,0.005201128161793338,0.007359993725678471,25.930672215377786,0.3
BS,SYM,40,12,SUB,3,tpers,3,40,80,40,40,0.0009911424746908242,0.00157902251806903,21.06174063344426,0.3
BS,SYM,40,12,SUB,4,momac,3,40,80,40,40,0.009599724057186268,0.010795182435278413,27.071223210622893,0.3
BS,SYM,40,12,SUB,4,tpers,4,40,80,40,40,0.001325693613289658,0.0016936909096319137,18.90440209526953,0.3
BS,SYM,40,12,SUB,5,momac,3,40,80,40,40,0.005351225133428376,0.006959571138295588,21.91870878774657,0.3
BS,SYM,40,12,SUB,5,tpers,2,40,80,40,40,0.0014243323909481909,0.0014832436788778658,24.13916772200473,0.3
BS,SYM,40,24,FULL,0,momac,2,40,80,40,40,0.00424498710793475,0.005969269636002639,34.47751909488636,0.6
