w,tau,QEXP_inert,QEXP_n,QEXP_inert_share,QROLL_inert,QROLL_n,QROLL_inert_share,QEXP_inert_4apass,QEXP_inert_4bpass
252,0.005,6,114,0.05263157894736842,0,114,0.0,0,1
252,0.01,8,114,0.07017543859649122,0,114,0.0,0,1
252,0.02,14,114,0.12280701754385964,0,114,0.0,0,1
252,0.05,26,114,0.22807017543859648,0,114,0.0,0,2
504,0.005,6,114,0.05263157894736842,0,114,0.0,0,1
504,0.01,8,114,0.07017543859649122,0,114,0.0,0,1
504,0.02,14,114,0.12280701754385964,0,114,0.0,0,1
504,0.05,26,114,0.22807017543859648,0,114,0.0,0,2
1008,0.005,6,114,0.05263157894736842,0,114,0.0,0,1
1008,0.01,8,114,0.07017543859649122,0,114,0.0,0,1
1008,0.02,14,114,0.12280701754385964,0,114,0.0,0,1
1008,0.05,26,114,0.22807017543859648,0,114,0.0,0,2
2016,0.005,6,114,0.05263157894736842,0,114,0.0,0,1
2016,0.01,8,114,0.07017543859649122,0,114,0.0,0,1
2016,0.02,14,114,0.12280701754385964,0,114,0.0,0,1
2016,0.05,26,114,0.22807017543859648,0,114,0.0,0,2
