panel,bps,selector,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dial
B136,0,S_SHARPE,TOP20@g1.00,1.12651921115286,0.20348986648006795,0.18778087318823422,0.9876120967024166,-0.2611295325936558,g
B136,0,S_CAGR,TOP20@g1.00,1.12651921115286,0.20348986648006795,0.18778087318823422,0.9876120967024166,-0.2611295325936558,g
B136,0,EWALL_ref,EWall@g0.75,1.1111006218848407,0.11765126852314145,0.1152808427800831,1.100499453025563,-0.173426895186108,g
B136,0,TOP20_ref,TOP20@g0.75,1.1247401783290516,0.15213537478526207,0.14134119698337289,0.9861110497210084,-0.19983154054596786,g
B136,0,RULESv1,baseline,0.9869967361854326,0.09900112963534413,0.09283844674412256,0.8568806821147589,-0.18353080750935924,g
B136,0,SPY,buy-and-hold,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,g
B136,10,S_SHARPE,EWall@g1.00,1.0362235923377432,0.1450536221800156,0.14091101322947752,1.0174784887003725,-0.23091856505209452,g
B136,10,S_CAGR,TOP20@g1.00,1.024556769637889,0.18177742895510463,0.16455356689778688,0.8853548812240478,-0.2619845704926279,g
B136,10,EWALL_ref,EWall@g0.75,1.0349765743906882,0.1087705617421808,0.10583657394304091,1.0185476662771331,-0.17687931105226462,g
B136,10,TOP20_ref,TOP20@g0.75,1.0226042049000195,0.1364909901051221,0.12454335283909401,0.8836022780725372,-0.20052048331108296,g
B136,10,RULESv1,baseline,0.714743531177852,0.06925295472432902,0.05941502665859644,0.5762505378038233,-0.2119126361153264,g
B136,10,SPY,buy-and-hold,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,g
BSTK100,0,S_SHARPE,EWall@g1.00,1.1063239122263886,0.1927285339826299,0.1745113833117602,1.0778052582376771,-0.3342438023299594,g
BSTK100,0,S_CAGR,TOP20@g1.00,1.105665809485404,0.2197992521902139,0.19317609359239607,0.9809981539971979,-0.3490371047560269,g
BSTK100,0,EWALL_ref,EWall@g0.75,1.1058399718205227,0.14429772763156223,0.13132879645093487,1.082045875367407,-0.25809103219438734,g
BSTK100,0,TOP20_ref,TOP20@g0.75,1.1040841361789604,0.1645296405957979,0.1459228284017242,0.9818249098311408,-0.2706033625096158,g
BSTK100,0,RULESv1,baseline,1.0958492423633692,0.13890608780851021,0.09709412432343778,0.7645463153318292,-0.2079286541323384,g
BSTK100,0,SPY,buy-and-hold,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,g
