panel,carrier,label,r2_is,r2_oos,rho_is,rho_oos
U56,skew,daily return skewness,0.43019573489986884,0.019218324489054917,-0.655893081911884,-0.13863017164042848
U56,kurt,daily excess kurtosis,0.2750898953485945,0.03617826345169406,-0.5244901289334193,-0.19020584494618925
U56,w5,worst rolling 5-day compounded return,0.03394548088699323,0.016288820240536794,0.18424299413273054,0.12762766252085292
U56,gate_share,share of the peak-to-trough decline accrued on de-grossed days,0.018212353347146548,0.2993996952303749,-0.13495315241648365,0.5471742823181431
U56,mean_gross,realised mean gross exposure,0.11480266274960427,0.1307683637053879,-0.3388254163276486,-0.361619086478283
U56,n_held,mean count of held names,0.4220945575649879,0.2777310943589295,0.6496880463460817,0.5270019870540616
U56,eff_breadth,mean effective breadth (gross^2 / sum w_i^2),0.42195480765515614,0.2776269619553796,0.6495804858946704,0.5269031808172916
B136,skew,daily return skewness,0.4892894211800274,0.022501508965578454,-0.6994922595569066,0.15000502980093172
B136,kurt,daily excess kurtosis,0.03429487322177993,0.008934496259649483,-0.1851887502570824,-0.09452246431219029
B136,w5,worst rolling 5-day compounded return,0.026978547731889457,0.02195045501876136,0.16425147710717714,0.14815685950627255
B136,gate_share,share of the peak-to-trough decline accrued on de-grossed days,0.0063625540084214505,0.04921794038792193,0.07976561921292655,0.22185116719981873
B136,mean_gross,realised mean gross exposure,0.012415428355268765,0.22143424532792022,-0.11142454108170596,-0.47056800287303857
B136,n_held,mean count of held names,0.3143825856663294,0.03363478435211009,0.5606983018222272,0.1833978853534305
B136,eff_breadth,mean effective breadth (gross^2 / sum w_i^2),0.31438282559150976,0.033581094332050254,0.5606985157743064,0.1832514511048963
SMALL,skew,daily return skewness,0.22059214802120408,4.20807410961288e-06,-0.4696723837114589,0.002051359088379115
SMALL,kurt,daily excess kurtosis,0.009099966408240179,0.10657828663189572,0.09539374407286934,-0.32646330058966144
SMALL,w5,worst rolling 5-day compounded return,0.005658282672633463,0.05749749848411523,0.07522155723350378,0.2397863600877144
SMALL,gate_share,share of the peak-to-trough decline accrued on de-grossed days,0.000452494380134838,0.019834305264978647,0.02127191529069971,0.1408343184915475
SMALL,mean_gross,realised mean gross exposure,0.0021472802297888283,0.25411558446220417,-0.04633875516011195,-0.5040987844284135
SMALL,n_held,mean count of held names,0.16018657923898127,0.0026774586168065717,0.4002331560965197,0.05174416505081715
SMALL,eff_breadth,mean effective breadth (gross^2 / sum w_i^2),0.16012775609670893,0.0026450005584789382,0.4001596632554425,0.05142956891204475
