basis,legal,floor,n_slots,n_declined,decl_D,decl_W,decl_M,decl_Q
S_IS4B,True,0.0,36,0,0,0,0,0
S_IS4B,True,0.1,36,18,9,3,3,3
S_IS4B,True,0.25,36,21,9,6,3,3
S_IS4B,True,0.4,36,21,9,6,3,3
S_IS4B,True,0.5,36,21,9,6,3,3
S_IS4B,True,0.75,36,27,9,6,6,6
S_IS4B,True,0.9,36,36,9,9,9,9
S_ISLEG4,True,0.0,36,0,0,0,0,0
S_ISLEG4,True,0.1,36,6,3,3,0,0
S_ISLEG4,True,0.25,36,6,3,3,0,0
S_ISLEG4,True,0.4,36,6,3,3,0,0
S_ISLEG4,True,0.5,36,6,3,3,0,0
S_ISLEG4,True,0.75,36,6,3,3,0,0
S_ISLEG4,True,0.9,36,18,3,6,3,6
S_FULL4B,False,0.0,36,0,0,0,0,0
S_FULL4B,False,0.1,36,15,6,3,3,3
S_FULL4B,False,0.25,36,18,6,3,3,6
S_FULL4B,False,0.4,36,21,6,3,6,6
S_FULL4B,False,0.5,36,24,6,3,6,9
S_FULL4B,False,0.75,36,27,6,6,6,9
S_FULL4B,False,0.9,36,30,6,6,9,9
