panel,dial,value,stat,max_abs_resid,span,resid_over_span
B136,G,0.0,Sharpe,0.00015914558198504292,0.2978043748666154,0.0005343963870790118
B136,G,0.0,CAGR,0.00043036023819154057,0.06401080829821404,0.006723243302702491
B136,G,0.0,MaxDD,7.287099897945737e-07,0.0025631703492796643,0.00028430025729634604
B136,G,0.0,OOS_Sharpe,0.00013963089000046391,0.2963257044809958,0.00047120748517251503
B136,G,0.0,M4B,0.00043036023819154057,0.06401080829821404,0.006723243302702491
B136,G,0.01,Sharpe,0.00016295624304196732,0.2977045745716964,0.0005473756769656976
B136,G,0.01,CAGR,0.000429583876752182,0.06394514254111505,0.00671800639862474
B136,G,0.01,MaxDD,7.287099895725291e-07,0.0025631703492796643,0.00028430025720971715
B136,G,0.01,OOS_Sharpe,0.00014495122247359937,0.2951714638843834,0.0004910746471426375
B136,G,0.01,M4B,0.000429583876752182,0.06394514254111505,0.00671800639862474
B136,G,0.02,Sharpe,0.00016259950863628525,0.29633580096355305,0.0005487001844110078
B136,G,0.02,CAGR,0.00042605296683662086,0.06367690204305831,0.0066908557603591315
B136,G,0.02,MaxDD,7.287099899611071e-07,0.002563170349279109,0.0002843002573613793
B136,G,0.02,OOS_Sharpe,0.0001459788428128661,0.29470334440106893,0.0004953416565717692
B136,G,0.02,M4B,0.00042605296683662086,0.06367690204305831,0.0066908557603591315
B136,G,0.03,Sharpe,0.00016205212614772702,0.29637606211226075,0.0005467787276502284
B136,G,0.03,CAGR,0.000426179019140438,0.06366545411705582,0.006694038785254901
B136,G,0.03,MaxDD,7.287099897945737e-07,0.002563170349279442,0.00028430025729637065
B136,G,0.03,OOS_Sharpe,0.00014301425612894825,0.2946262923315227,0.0004854090074487451
B136,G,0.03,M4B,0.000426179019140438,0.06366545411705582,0.006694038785254901
B136,G,0.05,Sharpe,0.00016230163801755904,0.29414696952876296,0.0005517705597224876
B136,G,0.05,CAGR,0.00042065361044618665,0.06322144067420976,0.006653654297659591
B136,G,0.05,MaxDD,7.287099897945737e-07,0.00256317034927922,0.0002843002572963953
B136,G,0.05,OOS_Sharpe,0.00014208304111107406,0.29212227276721514,0.0004863820884492996
B136,G,0.05,M4B,0.00042065361044618665,0.06322144067420976,0.006653654297659591
B136,G,0.08,Sharpe,0.00015690387133893147,0.29100084469987253,0.0005391869961778162
B136,G,0.08,CAGR,0.0004129611886858342,0.06270729609546022,0.006585536522850187
B136,G,0.08,MaxDD,7.287099899611071e-07,0.0025631703492795532,0.00028430025736133
B136,G,0.08,OOS_Sharpe,0.00014175744158606562,0.2892391136001651,0.000490104674369963
B136,G,0.08,M4B,0.0004129611886858342,0.06270729609546022,0.006585536522850187
B136,G,0.12,Sharpe,0.00013808740752097037,0.287123870796156,0.00048093321930382354
B136,G,0.12,CAGR,0.0004023226455054374,0.06194450354067582,0.00649488852939555
B136,G,0.12,MaxDD,7.287099898500848e-07,0.0025631703492795532,0.00028430025731801555
B136,G,0.12,OOS_Sharpe,0.00012221573319826096,0.2875269038587812,0.0004250584260396279
B136,G,0.12,M4B,0.0004023226455054374,0.06194450354067582,0.00649488852939555
B136,K,1.0,Sharpe,0.00015914558198504292,0.2978043748666154,0.0005343963870790118
