panel,anchor,ladder,chooser,k,L,L_eff,pick,O_PICK,O_REACH,O_MARGIN,O_LEVEL,O_GAPRATIO,B_PPICK,B_PMAX,B_MODALRUNG,B_MODALMATCH,B_Q95,B_Q05,B_NULLMED,B_RECRANGE,B_SD,B_PCTRANK,B_BOOT95,B_GAPEXCEEDS,B_RESOLVED
U56,A,N,CH_ISSHARPE,9,1,1,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.35,0.35,8.0,1.0,1.7858463065523815,0.6051927736574321,1.1883484440282424,1.1806535328949495,0.3521870846777222,0.49,0.17375506129085092,0.0,0.0
U56,A,N,CH_ISSHARPE,9,2,2,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.34,0.34,8.0,1.0,1.7426925973071914,0.6104596914334003,1.1825423556256824,1.1322329058737912,0.3468331478756532,0.492,0.17549689194392615,0.0,0.0
U56,A,N,CH_ISSHARPE,9,5,5,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.372,0.372,8.0,1.0,1.7592830239693322,0.5927302439327254,1.1800987888153451,1.1665527800366067,0.3593129988612063,0.496,0.1821401022374966,0.0,0.0
U56,A,N,CH_ISSHARPE,9,10,10,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.371,0.371,8.0,1.0,1.7832950537784444,0.6504182139685974,1.211879191172514,1.132876839809847,0.344282860100125,0.453,0.16931358260545934,0.0,0.0
U56,A,N,CH_ISSHARPE,9,16,16,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.406,0.406,8.0,1.0,1.7527177453344585,0.653397775143447,1.180556299284718,1.0993199701910115,0.33647862553304636,0.493,0.18254617948306426,0.0,0.0
U56,A,N,CH_ISSHARPE,9,21,21,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.393,0.393,8.0,1.0,1.7128870518142865,0.6188119011733412,1.1750149141929704,1.0940751506409452,0.33004100073634474,0.5,0.17255847533582364,0.0,0.0
U56,A,N,CH_ISSHARPE,9,26,26,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.407,0.407,8.0,1.0,1.7194582303465877,0.6173883949830566,1.1697063011599067,1.102069835363531,0.33246757529099547,0.514,0.16814033759533553,0.0,0.0
U56,A,N,CH_ISSHARPE,9,32,32,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.402,0.402,8.0,1.0,1.695285929272037,0.6868318404949904,1.1845371734058117,1.0084540887770466,0.3082966857004205,0.488,0.1731023736487372,0.0,0.0
U56,A,N,CH_ISSHARPE,9,42,42,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.395,0.395,8.0,1.0,1.6965883955967564,0.6516339061432238,1.1769731634951361,1.0449544894535325,0.3099810809842297,0.498,0.16726965338753505,0.0,0.0
U56,A,N,CH_ISSHARPE,9,52,52,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.42,0.42,8.0,1.0,1.7064525002397015,0.705994323858829,1.1629389478026488,1.0004581763808724,0.3095032826352574,0.514,0.16990858199231407,0.0,0.0
U56,A,N,CH_ISSHARPE,9,63,63,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.418,0.418,8.0,1.0,1.6941821674791615,0.7544466239096707,1.19730305705755,0.9397355435694908,0.2897113906552431,0.478,0.17355835973573344,0.0,0.0
U56,A,N,CH_ISSHARPE,9,79,79,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.467,0.467,8.0,1.0,1.6592352206562226,0.738742871536558,1.169944497047677,0.9204923491196647,0.2798622699242939,0.511,0.16773204342140074,0.0,0.0
U56,A,N,CH_ISSHARPE,9,100,100,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.46,0.46,8.0,1.0,1.6950084621266215,0.7128119056827587,1.1836653588276542,0.9821965564438628,0.29511347327196047,0.49,0.16211916713509342,0.0,0.0
U56,A,N,CH_ISSHARPE,9,126,126,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.43,0.43,8.0,1.0,1.7109483845569238,0.713275534837703,1.197811552210636,0.9976728497192209,0.30076482687577893,0.469,0.16562828406288035,0.0,0.0
U56,A,N,CH_ISSHARPE,9,160,160,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.479,0.479,8.0,1.0,1.6965843758582049,0.7332251688733223,1.1848796704918714,0.9633592069848824,0.2908665149813393,0.481,0.16209448137028307,0.0,0.0
U56,A,N,CH_ISSHARPE,9,200,200,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.427,0.427,8.0,1.0,1.6256934104952683,0.7434268015790939,1.163392880008479,0.8822666089161744,0.2707853299312392,0.516,0.16837248364472107,0.0,0.0
U56,A,N,CH_ISSHARPE,9,252,252,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.356,0.425,0.0,0.0,1.5413835748705338,0.7542410594334403,1.122715542455639,0.7871425154370935,0.23896008920861886,0.588,0.16491278948016974,0.0,0.0
U56,A,N,CH_ISSHARPE,9,378,378,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.354,0.462,0.0,0.0,1.5196524869296641,0.7463223170865226,1.1245629944162343,0.7733301698431416,0.23921742645588523,0.576,0.17505218047350446,0.0,0.0
U56,A,N,CH_ISSHARPE,9,504,504,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.223,0.557,0.0,0.0,1.5343707194863248,0.7641981394077121,1.1289016333616022,0.7701725800786128,0.23267569209810698,0.581,0.16080696516258097,0.0,0.0
U56,A,N,CH_ISSHARPE,9,756,756,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.157,0.705,0.0,0.0,1.4617221579809183,0.9010346369725677,1.1651228441210475,0.5606875210083506,0.16931869669271274,0.524,0.17514942900213373,0.0,0.0
U56,A,N,CH_ISSHARPE,9,1008,1008,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,0.058,0.853,0.0,0.0,1.3315096371253097,1.045225429346238,1.1715523148014624,0.2862842077790716,0.08549384634886585,0.519,0.1613820083624857,0.0,0.0
U56,A,N,CH_ISSHARPE,9,T,2007,40,8.0,0.0,0.010075850289503752,1.1761934023688503,0.06639360738822844,1.0,1.0,8.0,1.0,1.1761934023688498,1.1761934023688498,1.1761934023688498,0.0,4.443114211273408e-16,1.0,0.01007585028950575,0.0,1.0
U56,A,N,CH_ISCAGR,9,1,1,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.736,0.736,0.0,1.0,0.3094464803520392,0.07485417058514536,0.1889954704820772,0.23459230976689383,0.06977608655556945,0.491,0.06636252072747427,0.0,0.0
U56,A,N,CH_ISCAGR,9,2,2,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.723,0.723,0.0,1.0,0.3100130672533804,0.07655719396472546,0.19000371818470008,0.2334558732886549,0.07244077275398252,0.485,0.06671266999490953,0.0,0.0
U56,A,N,CH_ISCAGR,9,5,5,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.695,0.695,0.0,1.0,0.30411485575545777,0.08118851459587344,0.1883105595253053,0.22292634115958432,0.06972082700116407,0.497,0.061295296435004545,0.0,0.0
U56,A,N,CH_ISCAGR,9,10,10,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.719,0.719,0.0,1.0,0.29355768947796973,0.0872075958557001,0.19086275720965717,0.20635009362226958,0.06319645842669536,0.481,0.06151837827600359,0.0,0.0
U56,A,N,CH_ISCAGR,9,16,16,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.738,0.738,0.0,1.0,0.29760304039350577,0.08635599965725986,0.19492716375617536,0.2112470407362459,0.06482213760821467,0.457,0.06494299902964935,0.0,0.0
U56,A,N,CH_ISCAGR,9,21,21,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.743,0.743,0.0,1.0,0.303115880856724,0.08686835881086032,0.18910580628200713,0.21624752204586367,0.06531576641764601,0.495,0.0652904112013977,0.0,0.0
U56,A,N,CH_ISCAGR,9,26,26,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.782,0.782,0.0,1.0,0.3008468157419803,0.08552670533876981,0.1867605935891412,0.21532011040321047,0.06567756365375055,0.504,0.06386676143171968,0.0,0.0
U56,A,N,CH_ISCAGR,9,32,32,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.801,0.801,0.0,1.0,0.2987231732767443,0.09130446562487299,0.19021039669355588,0.2074187076518713,0.06297107134531611,0.478,0.06269753705763739,0.0,0.0
U56,A,N,CH_ISCAGR,9,42,42,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.81,0.81,0.0,1.0,0.29992419911234086,0.08987688272222626,0.18961691398846447,0.2100473163901146,0.06295252201861208,0.486,0.06551283367978916,0.0,0.0
U56,A,N,CH_ISCAGR,9,52,52,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.809,0.809,0.0,1.0,0.29195403137020703,0.0961306492290465,0.1903011489177261,0.19582338214116052,0.06134926343493581,0.484,0.06694550600341288,0.0,0.0
U56,A,N,CH_ISCAGR,9,63,63,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.786,0.786,0.0,1.0,0.2960158459693643,0.09088386633221501,0.18918382093229236,0.2051319796371493,0.061101415657905236,0.49,0.06284135521489533,0.0,0.0
U56,A,N,CH_ISCAGR,9,79,79,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.833,0.833,0.0,1.0,0.29974806983660895,0.09773805657906134,0.19710864277507556,0.20201001325754758,0.06273227537290965,0.453,0.07019614846217198,0.0,0.0
U56,A,N,CH_ISCAGR,9,100,100,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.844,0.844,0.0,1.0,0.2985339805635804,0.1027149441481125,0.19545241777312872,0.19581903641546788,0.059589044158107445,0.439,0.07309413029608257,0.0,0.0
U56,A,N,CH_ISCAGR,9,126,126,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.868,0.868,0.0,1.0,0.29362336285736135,0.1092017977679624,0.20175096831636397,0.18442156508939894,0.056624253467209694,0.392,0.0687710389058069,0.0,0.0
U56,A,N,CH_ISCAGR,9,160,160,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.885,0.885,0.0,1.0,0.2900658742070251,0.10991861795134147,0.20068817842107867,0.18014725625568365,0.053377474753003536,0.406,0.07154668103688543,0.0,0.0
U56,A,N,CH_ISCAGR,9,200,200,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.896,0.896,0.0,1.0,0.2812470982332142,0.11294946690386938,0.19437842627397806,0.16829763132934483,0.05249829093658899,0.433,0.07007009370523444,0.0,0.0
U56,A,N,CH_ISCAGR,9,252,252,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.906,0.906,0.0,1.0,0.28644115227899314,0.11864180696255909,0.19385191728641038,0.16779934531643403,0.04982882176927842,0.441,0.07368471181717859,0.0,1.0
U56,A,N,CH_ISCAGR,9,378,378,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.951,0.951,0.0,1.0,0.2814633910160914,0.13162785517569095,0.20137429357239456,0.14983553584040046,0.04631460290453535,0.381,0.07405434675981254,0.0,1.0
U56,A,N,CH_ISCAGR,9,504,504,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.955,0.955,0.0,1.0,0.2893005908153673,0.13386582771965383,0.21050708784041883,0.15543476309571347,0.04676229895209067,0.325,0.07168310842438658,0.0,1.0
U56,A,N,CH_ISCAGR,9,756,756,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,0.987,0.987,0.0,1.0,0.2804435327912319,0.1657418519776394,0.22266098008639879,0.1147016808135925,0.03515913824700609,0.152,0.07052402452112613,0.0,1.0
U56,A,N,CH_ISCAGR,9,1008,1008,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,1.0,1.0,0.0,1.0,0.2637974771633111,0.196123984146136,0.22653920711231257,0.0676734930171751,0.020560675270360443,0.001,0.07056196524977427,0.0,1.0
U56,A,N,CH_ISCAGR,9,T,2007,5,0.0,0.0,0.02352043405872628,0.18764666887742631,0.356246340061545,1.0,1.0,0.0,1.0,0.18764666887742631,0.18764666887742631,0.18764666887742631,0.0,2.77694638204588e-17,1.0,0.02352043405872628,0.0,1.0
U56,A,N,CH_ISDD,9,1,1,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.758,0.758,8.0,1.0,-0.10020500711230687,-0.2401869152546833,-0.14723999376744135,0.1399819081423764,0.04344668761046915,0.741,0.033422494306119516,0.0,0.0
U56,A,N,CH_ISDD,9,2,2,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.793,0.793,8.0,1.0,-0.10114639844391493,-0.24752758612592424,-0.15089415081075153,0.1463811876820093,0.04587864621962502,0.761,0.035219635632288006,0.0,0.0
U56,A,N,CH_ISDD,9,5,5,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.82,0.82,8.0,1.0,-0.09958996065215915,-0.24332952934019653,-0.1491424724590582,0.1437395686880374,0.044616387679918934,0.736,0.034300404746966565,0.0,0.0
U56,A,N,CH_ISDD,9,10,10,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.816,0.816,8.0,1.0,-0.09670333423166996,-0.22946218450239592,-0.1456161997905594,0.13275885027072595,0.04205177742592147,0.712,0.0326159220916524,0.0,0.0
U56,A,N,CH_ISDD,9,16,16,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.848,0.848,8.0,1.0,-0.09587248859499012,-0.22662593426892075,-0.1407613495213657,0.13075344567393063,0.03991646761202162,0.673,0.03497426717381178,0.0,0.0
U56,A,N,CH_ISDD,9,21,21,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.876,0.876,8.0,1.0,-0.09630622382494629,-0.21999856158400094,-0.13859370642505248,0.12369233775905465,0.038579246661275525,0.65,0.032828365756781296,0.0,0.0
U56,A,N,CH_ISDD,9,26,26,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.891,0.891,8.0,1.0,-0.09455225557726471,-0.21463729832125428,-0.13497974654428796,0.12008504274398957,0.037825197774841245,0.603,0.034085772843468004,0.0,0.0
U56,A,N,CH_ISDD,9,32,32,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.904,0.904,8.0,1.0,-0.09324691447676023,-0.20979348287505087,-0.1327753982709718,0.11654656839829064,0.03655082797116799,0.586,0.0336712965258671,0.0,1.0
U56,A,N,CH_ISDD,9,42,42,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.907,0.907,8.0,1.0,-0.09408197110785779,-0.20041454536563194,-0.12705880115736373,0.10633257425777415,0.03435170806949315,0.524,0.032526183515174625,0.0,1.0
U56,A,N,CH_ISDD,9,52,52,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.922,0.922,8.0,1.0,-0.09351683231671461,-0.1911781902829911,-0.1254454347804267,0.09766135796627648,0.032824093271569495,0.492,0.03505760921968952,0.0,1.0
U56,A,N,CH_ISDD,9,63,63,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.925,0.925,8.0,1.0,-0.09243558112839716,-0.1903803104984889,-0.1253705151155174,0.09794472937009176,0.03069278887356097,0.495,0.0326418231149091,0.0,1.0
U56,A,N,CH_ISDD,9,79,79,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.942,0.942,8.0,1.0,-0.09853084085882632,-0.17885579246911934,-0.12598758958915446,0.080324951610293,0.02633718108375524,0.502,0.03413792654891217,0.0,1.0
U56,A,N,CH_ISDD,9,100,100,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.945,0.945,8.0,1.0,-0.0985493182776146,-0.1766187896477986,-0.12107283246329509,0.07806947137018401,0.02616938656456528,0.428,0.03354713729610127,0.0,1.0
U56,A,N,CH_ISDD,9,126,126,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.972,0.972,8.0,1.0,-0.0985493182776147,-0.17247552353137607,-0.12040761780348946,0.07392620525376137,0.024680448751559426,0.416,0.03433152719203899,0.0,1.0
U56,A,N,CH_ISDD,9,160,160,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.968,0.968,8.0,1.0,-0.09854931827761482,-0.1675572845752999,-0.12581409077906536,0.06900796629768507,0.022254393098882625,0.46,0.03371577599896995,0.0,1.0
U56,A,N,CH_ISDD,9,200,200,40,8.0,0.0,0.013708388792491255,-0.12581409077906602,0.11759921031908638,0.978,0.978,8.0,1.0,-0.09854931827761504,-0.16502985961377198,-0.1258140907790657,0.06648054133615694,0.020774190118068955,0.451,0.033341541073951944,0.0,1.0
