gate,panel,value
G1 fast==engine,U56,1.0408340855860843e-17
G1 fast==engine,B136,1.3877787807814457e-17
G1 fast==engine,SMALL439,1.3877787807814457e-17
G3a max|mean target gross - 0.75|,ALL,0.006502604176629845
G3b realised gross spread pp,ALL,0.5979715562370869
G4 idea-318 provenance,B136,0.00041174038980240635
G5 4b-passer provenance,U56,1.0
