window,arm,char,strata,corr_within
full,EWall,breadth,3,-0.6405533181702998
full,EWall,breadth,5,-0.557682426110761
full,EWall,breadth,7,-0.48061606303003174
full,EWall,breadth,21,-0.435430688961844
full,EWall,disp,3,0.5849005857625817
full,EWall,disp,5,0.44431674092237655
full,EWall,disp,7,0.3698884819779784
full,EWall,disp,21,0.3215057144525193
full,EWall,corr,3,-0.2207378749593737
full,EWall,corr,5,-0.08792619095937966
full,EWall,corr,7,0.003076009322327652
full,EWall,corr,21,0.046582857829826074
full,EWall,evol,3,0.8509129847806066
full,EWall,evol,5,0.7985331170546462
full,EWall,evol,7,0.7793733630378615
full,EWall,evol,21,0.7357298359400184
full,top10,breadth,3,-0.332544810279008
full,top10,breadth,5,-0.2686077888742189
full,top10,breadth,7,-0.21298377810865285
full,top10,breadth,21,-0.24436318079030586
full,top10,disp,3,0.6337232178409322
full,top10,disp,5,0.6044177763572479
full,top10,disp,7,0.6187637616857798
full,top10,disp,21,0.641982248214246
full,top10,corr,3,-0.096779193530984
full,top10,corr,5,-0.015948562422521736
full,top10,corr,7,0.015178903555844342
full,top10,corr,21,-0.044258750586845086
full,top10,evol,3,0.6438897654362638
full,top10,evol,5,0.6454700312164352
full,top10,evol,7,0.6724936272265557
full,top10,evol,21,0.748199845837584
full,top20,breadth,3,0.40112631287985234
full,top20,breadth,5,0.38926313281664376
full,top20,breadth,7,0.31350350745939426
full,top20,breadth,21,0.26328224573382275
full,top20,disp,3,0.06123208357229607
full,top20,disp,5,0.15450155313921957
full,top20,disp,7,0.3122383773840886
full,top20,disp,21,0.3946174564079871
full,top20,corr,3,0.43481097852689404
full,top20,corr,5,0.4327592188787169
full,top20,corr,7,0.3814009517681378
full,top20,corr,21,0.28468249163400794
full,top20,evol,3,0.06613284154197065
full,top20,evol,5,0.20343434417412595
full,top20,evol,7,0.41846618951911907
full,top20,evol,21,0.5987919051097597
IS,EWall,breadth,3,-0.5698011322506314
IS,EWall,breadth,5,-0.4888132610858889
IS,EWall,breadth,7,-0.3979489785002655
IS,EWall,breadth,21,-0.38540514897054606
IS,EWall,disp,3,0.5186430619826533
IS,EWall,disp,5,0.38511191048353177
IS,EWall,disp,7,0.32781150714271146
IS,EWall,disp,21,0.32755391734691464
IS,EWall,corr,3,-0.20779287081029704
IS,EWall,corr,5,-0.025238394908486773
IS,EWall,corr,7,0.0685783713289843
IS,EWall,corr,21,0.09468218569846948
IS,EWall,evol,3,0.8333684235875752
IS,EWall,evol,5,0.7773178518785189
IS,EWall,evol,7,0.7645875166624745
IS,EWall,evol,21,0.7546304238547176
IS,top10,breadth,3,-0.11798592018644947
IS,top10,breadth,5,0.057726767211163425
IS,top10,breadth,7,0.04878258226241875
IS,top10,breadth,21,0.0034733312387000667
IS,top10,disp,3,0.5811793052590287
IS,top10,disp,5,0.5104818484961935
IS,top10,disp,7,0.5658476364209497
IS,top10,disp,21,0.5908668113563208
IS,top10,corr,3,-0.09597645878612675
IS,top10,corr,5,0.04977002289165169
IS,top10,corr,7,0.0529554167271871
IS,top10,corr,21,-0.017877178001474727
IS,top10,evol,3,0.52188529311259
IS,top10,evol,5,0.4654042363466885
IS,top10,evol,7,0.5516275211048688
IS,top10,evol,21,0.6409828414074208
IS,top20,breadth,3,0.5481783492263766
IS,top20,breadth,5,0.6127586394027654
IS,top20,breadth,7,0.5420339956257605
IS,top20,breadth,21,0.49919814808355245
IS,top20,disp,3,0.09631355427562929
IS,top20,disp,5,0.14489034749123475
IS,top20,disp,7,0.3071657575015219
IS,top20,disp,21,0.373378227907044
IS,top20,corr,3,0.3770172328594225
IS,top20,corr,5,0.39031939217697154
IS,top20,corr,7,0.3355493454762109
IS,top20,corr,21,0.23583616885061187
IS,top20,evol,3,-0.004714654005665577
IS,top20,evol,5,0.08927077055139297
IS,top20,evol,7,0.2997139702393306
IS,top20,evol,21,0.4669007039294595
OOS,EWall,breadth,3,-0.5863434621224957
OOS,EWall,breadth,5,-0.4644110654880329
OOS,EWall,breadth,7,-0.39753484725694427
OOS,EWall,breadth,21,-0.31758496858542945
OOS,EWall,disp,3,0.543898517680554
OOS,EWall,disp,5,0.4170101734082973
OOS,EWall,disp,7,0.3509735613078911
OOS,EWall,disp,21,0.30030098011443973
OOS,EWall,corr,3,-0.19916177596102375
OOS,EWall,corr,5,-0.06904559118239896
OOS,EWall,corr,7,0.0030355622132776936
OOS,EWall,corr,21,0.05333159089003024
OOS,EWall,evol,3,0.8195952068828354
OOS,EWall,evol,5,0.7649438685865426
OOS,EWall,evol,7,0.7418523969480918
OOS,EWall,evol,21,0.6886022970083753
OOS,top10,breadth,3,-0.2985701229851317
OOS,top10,breadth,5,-0.2690311619449267
OOS,top10,breadth,7,-0.1908764653572563
OOS,top10,breadth,21,-0.1723842894679437
OOS,top10,disp,3,0.5839649534301499
OOS,top10,disp,5,0.5818361933633465
OOS,top10,disp,7,0.5713718594512592
OOS,top10,disp,21,0.5838555832190699
OOS,top10,corr,3,-0.04618808295631264
OOS,top10,corr,5,0.003865022196181659
OOS,top10,corr,7,0.0361657465239692
OOS,top10,corr,21,0.024016470259275013
OOS,top10,evol,3,0.6509446919200784
OOS,top10,evol,5,0.688561693173288
OOS,top10,evol,7,0.696694345843588
OOS,top10,evol,21,0.7533229413790591
OOS,top20,breadth,3,0.29677822980240104
OOS,top20,breadth,5,0.25324381411392194
OOS,top20,breadth,7,0.22333527541605322
OOS,top20,breadth,21,0.22375529701094937
OOS,top20,disp,3,0.11836487314077725
OOS,top20,disp,5,0.22291888611676627
OOS,top20,disp,7,0.30788074938552196
OOS,top20,disp,21,0.36210381279667875
OOS,top20,corr,3,0.405323816201005
OOS,top20,corr,5,0.3820438530845173
OOS,top20,corr,7,0.3448796500149105
OOS,top20,corr,21,0.29116583136414664
OOS,top20,evol,3,0.2099219523307886
OOS,top20,evol,5,0.3739473862778968
OOS,top20,evol,7,0.5244104327497395
OOS,top20,evol,21,0.658493632924939
