uni,book,n,rows,published,adm,adm_frac,D1,D2,D3,mean_D3_frac,min_D3_frac,pub_frac,grid,q,tau
universe.json(56),TOP3,3,32,18,16,0.8888888888888888,1.0,0.8888888888888888,1.0,0.9861111111111112,0.95,0.5625,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOP5,5,32,12,12,1.0,1.0,1.0,1.0,1.0,1.0,0.375,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOP10,10,32,22,19,0.8636363636363636,1.0,0.8636363636363636,1.0,1.0,1.0,0.6875,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOP20,20,32,22,18,0.8181818181818182,1.0,0.8181818181818182,1.0,1.0,1.0,0.6875,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOP40,40,32,24,24,1.0,1.0,1.0,1.0,1.0,1.0,0.75,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOPALL,56,32,24,23,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9979166666666667,0.975,0.75,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),V1u,5,32,24,9,0.375,0.9166666666666666,0.375,0.9166666666666666,0.9520833333333334,0.775,0.75,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOP3,3,32,19,10,0.5263157894736842,0.9473684210526315,0.5263157894736842,1.0,0.9460526315789475,0.825,0.59375,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOP5,5,32,14,10,0.7142857142857143,1.0,0.7142857142857143,1.0,0.9785714285714286,0.925,0.4375,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOP10,10,32,18,7,0.3888888888888889,1.0,0.4444444444444444,0.8888888888888888,0.9527777777777777,0.575,0.5625,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOP20,20,32,27,9,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.84375,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOP40,40,32,28,24,0.8571428571428571,1.0,0.9285714285714286,0.9285714285714286,0.9785714285714285,0.75,0.875,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,TOPALL,136,32,24,24,1.0,1.0,1.0,1.0,1.0,1.0,0.75,"q=0.05,tau=0.80",0.05,0.8
universe_broad.json,V1u,5,32,17,13,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8720588235294118,0.275,0.53125,"q=0.05,tau=0.80",0.05,0.8
universe.json(56),TOP3,3,32,18,16,0.8888888888888888,1.0,0.8888888888888888,1.0,0.9861111111111112,0.95,0.5625,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),TOP5,5,32,12,12,1.0,1.0,1.0,1.0,1.0,1.0,0.375,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),TOP10,10,32,22,19,0.8636363636363636,1.0,0.8636363636363636,1.0,1.0,1.0,0.6875,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),TOP20,20,32,22,18,0.8181818181818182,1.0,0.8181818181818182,1.0,1.0,1.0,0.6875,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),TOP40,40,32,24,24,1.0,1.0,1.0,1.0,1.0,1.0,0.75,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),TOPALL,56,32,24,23,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9979166666666667,0.975,0.75,"q=0.05,tau=0.90",0.05,0.9
universe.json(56),V1u,5,32,24,9,0.375,0.9166666666666666,0.375,0.9166666666666666,0.9520833333333334,0.775,0.75,"q=0.05,tau=0.90",0.05,0.9
universe_broad.json,TOP3,3,32,19,10,0.5263157894736842,0.9473684210526315,0.5263157894736842,0.7368421052631579,0.9460526315789475,0.825,0.59375,"q=0.05,tau=0.90",0.05,0.9
