panel,rungset,window,leg,legkey,resample,ref_wrongway,Dstar,P5,P10,P20,P40,P80,P160
U56,FINE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,FULL,full_cagr,cagr,INDEPENDENT,0,40.0,0.122,0.0955,0.0765,0.036,0.007,0.0005
U56,FINE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.0305,0.0235,0.011,0.0015,0.0,0.0
U56,FINE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,IS,is_cagr,cagr,INDEPENDENT,0,80.0,0.2005,0.177,0.122,0.097,0.0435,0.016
U56,FINE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,IS,is_dd,dd,INDEPENDENT,0,20.0,0.1,0.073,0.0385,0.02,0.0035,0.0
U56,FINE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,OOS,oos_cagr,cagr,INDEPENDENT,0,10.0,0.073,0.0455,0.029,0.0075,0.001,0.0
U56,FINE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,FINE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.0305,0.0235,0.011,0.0015,0.0,0.0
U56,COARSE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,FULL,full_cagr,cagr,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,IS,is_cagr,cagr,INDEPENDENT,0,5.0,0.026,0.0105,0.002,0.0,0.0,0.0
U56,COARSE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,IS,is_dd,dd,INDEPENDENT,0,5.0,0.0055,0.0015,0.0,0.0,0.0,0.0
U56,COARSE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,OOS,oos_cagr,cagr,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,COARSE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,FULL,full_cagr,cagr,INDEPENDENT,0,5.0,0.0215,0.0125,0.002,0.0,0.0,0.0
B136,FINE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.027,0.015,0.002,0.0,0.0,0.0
B136,FINE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,IS,is_cagr,cagr,INDEPENDENT,0,5.0,0.032,0.028,0.0155,0.0035,0.0,0.0
B136,FINE,IS,is_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,IS,is_dd,dd,INDEPENDENT,0,20.0,0.094,0.0515,0.022,0.005,0.0,0.0
B136,FINE,OOS,oos_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,OOS,oos_cagr,cagr,INDEPENDENT,0,5.0,0.0305,0.0055,0.001,0.0,0.0,0.0
B136,FINE,OOS,oos_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,FINE,OOS,oos_dd,dd,INDEPENDENT,0,5.0,0.027,0.015,0.002,0.0,0.0,0.0
B136,COARSE,FULL,full_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,FULL,full_cagr,cagr,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,FULL,full_dd,dd,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,FULL,full_dd,dd,INDEPENDENT,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,COARSE,IS,is_cagr,cagr,PAIRED,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
