selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,panel,m,cost,dOOS
S0 do-nothing,-,0.8919165372280253,0.12486792010130943,-0.2005204833110833,broad,0.2,10.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.0024084908824904,0.14246580311471213,-0.21988300801323357,broad,0.2,10.0,0.11049195365446507
S2 IS-argmax (causal only),R3/NEG,0.9259208560764993,0.13505879156909284,-0.22229241262252641,broad,0.2,10.0,0.03400431884847399
S2LF IS-argmax (leak-free) [post-hoc],R3/NEG,0.9259208560764993,0.13505879156909284,-0.22229241262252641,broad,0.2,10.0,0.03400431884847399
S3 clause+positive,PRICE/NEG,1.0024084908824904,0.14246580311471213,-0.21988300801323357,broad,0.2,10.0,0.11049195365446507
C-PRICE/NEG,PRICE/NEG,1.0024084908824904,0.14246580311471213,-0.21988300801323357,broad,0.2,10.0,0.11049195365446507
C-REBASED/NEG,REBASED/NEG,0.910569481592954,0.12331195957798058,-0.2157261753524291,broad,0.2,10.0,0.018652944364928703
ORACLE-OOS,PRICE/NEG,1.0024084908824904,0.14246580311471213,-0.21988300801323357,broad,0.2,10.0,0.11049195365446507
S0 do-nothing,-,0.7433679864583757,0.10117263278720867,-0.20155317029654185,broad,0.2,25.0,0.0
S1 IS-argmax (all),R3/NEG,0.7976236996068472,0.11364717295921145,-0.22338831345032995,broad,0.2,25.0,0.05425571314847155
S2 IS-argmax (causal only),R3/NEG,0.7976236996068472,0.11364717295921145,-0.22338831345032995,broad,0.2,25.0,0.05425571314847155
S2LF IS-argmax (leak-free) [post-hoc],R3/NEG,0.7976236996068472,0.11364717295921145,-0.22338831345032995,broad,0.2,25.0,0.05425571314847155
S3 clause+positive,R3/NEG,0.7976236996068472,0.11364717295921145,-0.22338831345032995,broad,0.2,25.0,0.05425571314847155
C-PRICE/NEG,PRICE/NEG,0.8582785600837952,0.1191515391500182,-0.22088693110225688,broad,0.2,25.0,0.11491057362541957
C-REBASED/NEG,REBASED/NEG,0.7586684555193605,0.09999111287044515,-0.21690964277661506,broad,0.2,25.0,0.015300469060984812
ORACLE-OOS,PRICE/NEG,0.8582785600837952,0.1191515391500182,-0.22088693110225688,broad,0.2,25.0,0.11491057362541957
S0 do-nothing,-,0.8919165372280253,0.12486792010130943,-0.2005204833110833,broad,0.5,10.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.1529008767373576,0.15884950197672665,-0.22380287388420173,broad,0.5,10.0,0.2609843395093323
S2 IS-argmax (causal only),REBASED/POS,0.8826914007877742,0.12923471790458207,-0.25335414966595426,broad,0.5,10.0,-0.009225136440251136
S2LF IS-argmax (leak-free) [post-hoc],REBASED/POS,0.8826914007877742,0.12923471790458207,-0.25335414966595426,broad,0.5,10.0,-0.009225136440251136
S3 clause+positive,ABSTAIN,0.8919165372280253,0.12486792010130943,-0.2005204833110833,broad,0.5,10.0,0.0
C-PRICE/NEG,PRICE/NEG,1.1529008767373576,0.15884950197672665,-0.22380287388420173,broad,0.5,10.0,0.2609843395093323
C-REBASED/NEG,REBASED/NEG,0.9155037258247607,0.10890868508658147,-0.207801080018284,broad,0.5,10.0,0.023587188596735364
ORACLE-OOS,PRICE/NEG,1.1529008767373576,0.15884950197672665,-0.22380287388420173,broad,0.5,10.0,0.2609843395093323
S0 do-nothing,-,0.7433679864583757,0.10117263278720867,-0.20155317029654185,broad,0.5,25.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.022842762031954,0.13854044939546695,-0.22506361433374877,broad,0.5,25.0,0.27947477557357836
S2 IS-argmax (causal only),REBASED/POS,0.7600652434099279,0.10861642295928453,-0.2660297864493172,broad,0.5,25.0,0.01669725695155222
S2LF IS-argmax (leak-free) [post-hoc],REBASED/POS,0.7600652434099279,0.10861642295928453,-0.2660297864493172,broad,0.5,25.0,0.01669725695155222
S3 clause+positive,ABSTAIN,0.7433679864583757,0.10117263278720867,-0.20155317029654185,broad,0.5,25.0,0.0
C-PRICE/NEG,PRICE/NEG,1.022842762031954,0.13854044939546695,-0.22506361433374877,broad,0.5,25.0,0.27947477557357836
C-REBASED/NEG,REBASED/NEG,0.7550774152160407,0.08760754614038202,-0.2143517171198891,broad,0.5,25.0,0.011709428757665008
ORACLE-OOS,PRICE/NEG,1.022842762031954,0.13854044939546695,-0.22506361433374877,broad,0.5,25.0,0.27947477557357836
S0 do-nothing,-,0.8919165372280253,0.12486792010130943,-0.2005204833110833,broad,1.0,10.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.3493096091683485,0.17771308947585984,-0.21364407428421672,broad,1.0,10.0,0.4573930719403232
S2 IS-argmax (causal only),REBASED/POS,0.9020822281796629,0.1326956670576631,-0.27715885522678274,broad,1.0,10.0,0.010165690951637552
S2LF IS-argmax (leak-free) [post-hoc],REBASED/POS,0.9020822281796629,0.1326956670576631,-0.27715885522678274,broad,1.0,10.0,0.010165690951637552
S3 clause+positive,ABSTAIN,0.8919165372280253,0.12486792010130943,-0.2005204833110833,broad,1.0,10.0,0.0
C-PRICE/NEG,PRICE/NEG,1.3493096091683485,0.17771308947585984,-0.21364407428421672,broad,1.0,10.0,0.4573930719403232
C-REBASED/NEG,REBASED/NEG,0.9476661172109568,0.10071442958108778,-0.20272941510968057,broad,1.0,10.0,0.05574957998293151
ORACLE-OOS,PRICE/NEG,1.3493096091683485,0.17771308947585984,-0.21364407428421672,broad,1.0,10.0,0.4573930719403232
S0 do-nothing,-,0.7433679864583757,0.10117263278720867,-0.20155317029654185,broad,1.0,25.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.2268754794946617,0.1595695617201187,-0.21519235814918947,broad,1.0,25.0,0.48350749303628604
S2 IS-argmax (causal only),REBASED/POS,0.7873178320936824,0.11332287440775324,-0.2906666307776833,broad,1.0,25.0,0.043949845635306795
S2LF IS-argmax (leak-free) [post-hoc],REBASED/POS,0.7873178320936824,0.11332287440775324,-0.2906666307776833,broad,1.0,25.0,0.043949845635306795
S3 clause+positive,ABSTAIN,0.7433679864583757,0.10117263278720867,-0.20155317029654185,broad,1.0,25.0,0.0
C-PRICE/NEG,PRICE/NEG,1.2268754794946617,0.1595695617201187,-0.21519235814918947,broad,1.0,25.0,0.48350749303628604
C-REBASED/NEG,REBASED/NEG,0.7905893045745587,0.08235274904516832,-0.21153387769696652,broad,1.0,25.0,0.04722131811618302
ORACLE-OOS,PRICE/NEG,1.2268754794946617,0.1595695617201187,-0.21519235814918947,broad,1.0,25.0,0.48350749303628604
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,0.2,10.0,0.0
S1 IS-argmax (all),REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,small,0.2,10.0,0.2460770325066422
S2 IS-argmax (causal only),REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,small,0.2,10.0,0.2460770325066422
S2LF IS-argmax (leak-free) [post-hoc],REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,small,0.2,10.0,0.2460770325066422
S3 clause+positive,ABSTAIN,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,0.2,10.0,0.0
C-PRICE/NEG,PRICE/NEG,0.9855635582291418,0.1712763871534808,-0.26530839924148764,small,0.2,10.0,0.49823271972127375
C-DVOL/NEG,DVOL/NEG,1.0071029248014634,0.16636493181238432,-0.2498197940197836,small,0.2,10.0,0.5197720862935953
C-VOLSH/NEG,VOLSH/NEG,0.8648462561985564,0.13633992734028433,-0.24216451855976417,small,0.2,10.0,0.37751541769068836
C-REBASED/NEG,REBASED/NEG,0.7334078710145102,0.12097270158348716,-0.2829844453852425,small,0.2,10.0,0.2460770325066422
ORACLE-OOS,DVOL/NEG,1.0071029248014634,0.16636493181238432,-0.2498197940197836,small,0.2,10.0,0.5197720862935953
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,0.2,25.0,0.0
S1 IS-argmax (all),REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,small,0.2,25.0,0.2463025201862279
S2 IS-argmax (causal only),REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,small,0.2,25.0,0.2463025201862279
S2LF IS-argmax (leak-free) [post-hoc],REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,small,0.2,25.0,0.2463025201862279
S3 clause+positive,ABSTAIN,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,0.2,25.0,0.0
C-PRICE/NEG,PRICE/NEG,0.7985411383051935,0.13339308212197376,-0.26771764752775684,small,0.2,25.0,0.49694098396879993
C-DVOL/NEG,DVOL/NEG,0.812538560823601,0.1292016473061508,-0.25192256114864076,small,0.2,25.0,0.5109384064872075
C-VOLSH/NEG,VOLSH/NEG,0.6725856968701011,0.10128009227051238,-0.24420088116264704,small,0.2,25.0,0.3709855425337075
C-REBASED/NEG,REBASED/NEG,0.5479026745226214,0.08477528528935796,-0.28714609562715665,small,0.2,25.0,0.2463025201862279
ORACLE-OOS,DVOL/NEG,0.812538560823601,0.1292016473061508,-0.25192256114864076,small,0.2,25.0,0.5109384064872075
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,0.5,10.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.1288184840956321,0.19637228663832507,-0.2719966296614311,small,0.5,10.0,0.641487645587764
S2 IS-argmax (causal only),DVOL/NEG,1.3342408724198576,0.21643369714594862,-0.2516338437544038,small,0.5,10.0,0.8469100339119895
S2LF IS-argmax (leak-free) [post-hoc],R3/NEG,0.5565641722454711,0.08707518894768551,-0.2524102105764219,small,0.5,10.0,0.06923333373760304
S3 clause+positive,ABSTAIN,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,0.5,10.0,0.0
C-PRICE/NEG,PRICE/NEG,1.1288184840956321,0.19637228663832507,-0.2719966296614311,small,0.5,10.0,0.641487645587764
C-DVOL/NEG,DVOL/NEG,1.3342408724198576,0.21643369714594862,-0.2516338437544038,small,0.5,10.0,0.8469100339119895
C-VOLSH/NEG,VOLSH/NEG,1.0433752261897646,0.15519899236133128,-0.22423399161236146,small,0.5,10.0,0.5560443876818966
C-REBASED/NEG,REBASED/NEG,0.7558828334182729,0.12481369832337941,-0.3247230246343993,small,0.5,10.0,0.2685519949104049
ORACLE-OOS,DVOL/NEG,1.3342408724198576,0.21643369714594862,-0.2516338437544038,small,0.5,10.0,0.8469100339119895
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,0.5,25.0,0.0
S1 IS-argmax (all),PRICE/NEG,0.9441765488047559,0.15907811448176257,-0.27445139824831466,small,0.5,25.0,0.6425763944683623
S2 IS-argmax (causal only),DVOL/NEG,1.1362105316593751,0.1796109086408031,-0.2540593286890408,small,0.5,25.0,0.8346103773229816
S2LF IS-argmax (leak-free) [post-hoc],MOM/POS,0.44637113868574485,0.06514689157568188,-0.2778572765274606,small,0.5,25.0,0.14477098434935132
S3 clause+positive,ABSTAIN,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,0.5,25.0,0.0
C-PRICE/NEG,PRICE/NEG,0.9441765488047559,0.15907811448176257,-0.27445139824831466,small,0.5,25.0,0.6425763944683623
C-DVOL/NEG,DVOL/NEG,1.1362105316593751,0.1796109086408031,-0.2540593286890408,small,0.5,25.0,0.8346103773229816
C-VOLSH/NEG,VOLSH/NEG,0.8489954984580602,0.1222867774283114,-0.22640003781380702,small,0.5,25.0,0.5473953441216667
C-REBASED/NEG,REBASED/NEG,0.5740565904080454,0.0893995918878665,-0.3552559134146335,small,0.5,25.0,0.2724564360716518
ORACLE-OOS,DVOL/NEG,1.1362105316593751,0.1796109086408031,-0.2540593286890408,small,0.5,25.0,0.8346103773229816
S0 do-nothing,-,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,1.0,10.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.1904378531295554,0.20592381821310424,-0.2735153643605547,small,1.0,10.0,0.7031070146216873
S2 IS-argmax (causal only),DVOL/NEG,1.5667265602002018,0.23957809391413054,-0.2387476320947708,small,1.0,10.0,1.0793957216923338
S2LF IS-argmax (leak-free) [post-hoc],REBASED/NEG,0.8753283131464482,0.14927646436033903,-0.3316341291215372,small,1.0,10.0,0.3879974746385802
S3 clause+positive,ABSTAIN,0.487330838507868,0.07232854473169592,-0.2743260458646113,small,1.0,10.0,0.0
C-PRICE/NEG,PRICE/NEG,1.1904378531295554,0.20592381821310424,-0.2735153643605547,small,1.0,10.0,0.7031070146216873
C-DVOL/NEG,DVOL/NEG,1.5667265602002018,0.23957809391413054,-0.2387476320947708,small,1.0,10.0,1.0793957216923338
C-VOLSH/NEG,VOLSH/NEG,1.0761955614567502,0.15048644374501974,-0.21951884839317526,small,1.0,10.0,0.5888647229488821
C-REBASED/NEG,REBASED/NEG,0.8753283131464482,0.14927646436033903,-0.3316341291215372,small,1.0,10.0,0.3879974746385802
ORACLE-OOS,DVOL/NEG,1.5667265602002018,0.23957809391413054,-0.2387476320947708,small,1.0,10.0,1.0793957216923338
S0 do-nothing,-,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,1.0,25.0,0.0
S1 IS-argmax (all),PRICE/NEG,1.0120177953004281,0.17012572253489622,-0.27595096686549736,small,1.0,25.0,0.7104176409640346
S2 IS-argmax (causal only),DVOL/NEG,1.3625758756717592,0.20391832765842755,-0.24086860255149212,small,1.0,25.0,1.0609757213353657
S2LF IS-argmax (leak-free) [post-hoc],REBASED/NEG,0.7015668393634996,0.11457681787762453,-0.36105521737190327,small,1.0,25.0,0.3999666850271061
S3 clause+positive,ABSTAIN,0.30160015433639353,0.038112002378476006,-0.35137641538009357,small,1.0,25.0,0.0
C-PRICE/NEG,PRICE/NEG,1.0120177953004281,0.17012572253489622,-0.27595096686549736,small,1.0,25.0,0.7104176409640346
C-DVOL/NEG,DVOL/NEG,1.3625758756717592,0.20391832765842755,-0.24086860255149212,small,1.0,25.0,1.0609757213353657
C-VOLSH/NEG,VOLSH/NEG,0.8856965494656185,0.12041649501510698,-0.2217154419020978,small,1.0,25.0,0.584096395129225
C-REBASED/NEG,REBASED/NEG,0.7015668393634996,0.11457681787762453,-0.36105521737190327,small,1.0,25.0,0.3999666850271061
ORACLE-OOS,DVOL/NEG,1.3625758756717592,0.20391832765842755,-0.24086860255149212,small,1.0,25.0,1.0609757213353657
