rung,n,n_low,n_high,rate_low,rate_high,S1_rate_gap,med_turn_low,med_turn_high,S2_turn_gap,sp_gross_pass,sp_gross_turn
0 bps,1621,1338,283,0.28699551569506726,0.31095406360424027,-0.02395854790917301,8.208759352934159,10.912638352483793,-2.7038789995496337,0.18768523544884008,0.31265733415718766
5 bps,392,320,72,0.3375,0.2361111111111111,0.10138888888888892,6.301395600982906,7.191646983148709,-0.8902513821658022,0.018992814743140088,-0.09489037667839968
10 bps,6893,5515,1378,0.271260199456029,0.15820029027576196,0.11305990918026707,7.946416534812509,10.953791256357814,-3.007374721545305,-0.05216153889146052,0.23828961594185843
25 bps,6604,5253,1351,0.14563106796116504,0.050333086602516654,0.09529798135864839,7.96148222339364,10.953791256357814,-2.992309032964174,-0.11554477073020863,0.24229773702569238
ALL rungs,26950,22852,4098,0.18790477857517943,0.1268911664226452,0.06101361215253423,8.208759352934159,10.912638352483793,-2.7038789995496337,0.024932546270322865,0.19068068784074296
