obj,panel,est,basis,b,lo,hi,width,seb
SPY_COMP,U56,BLOCK21,OLS,-0.5115930759725044,-0.526129804485722,-0.49705634745928673,0.029073457026435268,0.006818352961171492
MEDBOOK_PAIRED,U56,BLOCK21,OLS,-0.4993369827018028,-0.5259892977965043,-0.47268466760710137,0.0533046301894029,
SPY_COMP,U56,BLOCK5,OLS,-0.5031166028107815,-0.5332325132824586,-0.47300069233910447,0.06023182094335411,0.014125661572081175
MEDBOOK_PAIRED,U56,BLOCK5,OLS,-0.5205349936544965,-0.5324338569350189,-0.5086361303739741,0.02379772656104473,
SPY_COMP,U56,IID,OLS,-0.500496872395985,-0.5407429538412882,-0.4602507909506817,0.08049216289060651,0.018877148895545613
MEDBOOK_PAIRED,U56,IID,OLS,-0.4946252165742982,-0.5109533243218634,-0.478297108826733,0.032656215495130425,
SPY_COMP,B136,BLOCK21,OLS,-0.5103144026003065,-0.5452526399187554,-0.47537616528185755,0.06987647463689783,0.016387540956120494
MEDBOOK_PAIRED,B136,BLOCK21,OLS,-0.5011699597091586,-0.5332239325432315,-0.46911598687508566,0.06410794566814582,
SPY_COMP,B136,BLOCK5,OLS,-0.4984054719389699,-0.5166133925234146,-0.4801975513545251,0.03641584116888957,0.008540300461747087
MEDBOOK_PAIRED,B136,BLOCK5,OLS,-0.5012045746185043,-0.5283499195578557,-0.47405922967915287,0.054290689878702864,
SPY_COMP,B136,IID,OLS,-0.49961575441013845,-0.534666664401745,-0.46456484441853185,0.07010181998321319,0.016440389301879254
MEDBOOK_PAIRED,B136,IID,OLS,-0.49618290583076297,-0.5215821639172544,-0.47078364774427145,0.05079851617298303,
SPY_COMP,U56,BLOCK21,REDRAW,-0.49991494879989906,-0.515968544486823,-0.4755701221553182,0.04039842233150487,
MEDBOOK_PAIRED,U56,BLOCK21,REDRAW,-0.5002754530452672,-0.5158529155901701,-0.47661561004623243,0.03923730554393767,
SPY_COMP,B136,BLOCK21,REDRAW,-0.4953618064128996,-0.5221145173410572,-0.47775295433786097,0.044361563003196214,
MEDBOOK_PAIRED,B136,BLOCK21,REDRAW,-0.49674958174051365,-0.5145612509657718,-0.483025887306772,0.03153536365899978,
SPY_COMP,U56,BLOCK21,TAPE,-0.5025363957345567,-0.5182994170756665,-0.4754433127824515,0.042856104293215014,
MEDBOOK_PAIRED,U56,BLOCK21,TAPE,-0.5006001945756424,-0.5230661375501084,-0.4787533701784703,0.04431276737163814,
SPY_COMP,B136,BLOCK21,TAPE,-0.49924941681915136,-0.5222649685692292,-0.4781040260442646,0.04416094252496461,
MEDBOOK_PAIRED,B136,BLOCK21,TAPE,-0.4995652584495181,-0.518731702910644,-0.47648380115669636,0.0422479017539476,
