mech,cost,D_pass,D_n,D_turn,D_CAGR,D_bind,W_pass,W_n,W_turn,W_CAGR,W_bind
CAND20,0.0,2,2,27.07887812631417,0.1414638717095571,,6,6,10.717516339196871,0.1435845545931227,
CAND20,2.0,2,2,27.07887812631417,0.13530084839244694,,6,6,10.717516339196871,0.14113717448671873,
CAND20,5.0,2,2,27.07887812631417,0.12611824349221012,,6,6,10.717516339196871,0.13747565840797651,
CAND20,7.5,2,2,27.07887812631417,0.11852246410785683,,6,6,10.717516339196871,0.13443313073755936,
CAND20,10.0,0,2,27.07887812631417,0.11097758560538451,L_H1,6,6,10.717516339196871,0.13139852318468703,
CAND20,15.0,0,2,27.07887812631417,0.09603917798055295,L_H1|L_CAGR,6,6,10.717516339196871,0.1253529882371874,
CAND20,25.0,0,2,27.07887812631417,0.06675841208913269,L_H1|L_H2|L_OOS|L_CAGR,1,6,10.717516339196871,0.11335608037589869,L_H1|L_DD
CAND20,50.0,0,2,27.07887812631417,-0.0030877396461482798,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,10.717516339196871,0.08390571883144567,L_H1|L_H2|L_OOS|L_DD|L_CAGR
R3_55,0.0,2,2,28.15295035045211,0.14185450087838003,,6,6,11.108908623526766,0.1416689010705707,
R3_55,2.0,2,2,28.15295035045211,0.1354463280993241,,6,6,11.108908623526766,0.13913660354549404,
R3_55,5.0,2,2,28.15295035045211,0.12590101292073674,,6,6,11.108908623526766,0.13534840695233763,
R3_55,7.5,2,2,28.15295035045211,0.1180075241960925,,6,6,11.108908623526766,0.13220094733217905,
R3_55,10.0,0,2,28.15295035045211,0.11016902697879227,L_H1,6,6,11.108908623526766,0.1290619828184172,
R3_55,15.0,0,2,28.15295035045211,0.09465548690141334,L_H1|L_CAGR,6,6,11.108908623526766,0.12280944989455538,
R3_55,25.0,0,2,28.15295035045211,0.06427172867966502,L_H1|L_H2|L_OOS|L_CAGR,1,6,11.108908623526766,0.1104053471400502,L_H1|L_CAGR
R3_55,50.0,0,2,28.15295035045211,-0.00807086877119556,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,11.108908623526766,0.07997584684641061,L_H1|L_H2|L_OOS|L_DD|L_CAGR
R3_84,0.0,2,2,25.79296750015936,0.14045254885920788,,6,6,10.240826961968333,0.14382895879492372,
R3_84,2.0,2,2,25.79296750015936,0.13458675404965748,,6,6,10.240826961968333,0.14148971853040124,
R3_84,5.0,2,2,25.79296750015936,0.12584420037974886,,6,6,10.240826961968333,0.13798957589079466,
R3_84,7.5,2,2,25.79296750015936,0.11860987316993876,,6,6,10.240826961968333,0.13508076233446908,
R3_84,10.0,2,2,25.79296750015936,0.11142171730369288,,6,6,10.240826961968333,0.132179177357742,
R3_84,15.0,0,2,25.79296750015936,0.09718275069945381,L_H1|L_CAGR,6,6,10.240826961968333,0.12639762333693313,
R3_84,25.0,0,2,25.79296750015936,0.06924611824275018,L_H1|L_H2|L_OOS|L_CAGR,2,6,10.240826961968333,0.11492049267335187,L_H1|L_DD
R3_84,50.0,0,2,25.79296750015936,0.0024572358016030638,L_H1|L_H2|L_OOS|L_DD|L_CAGR,0,6,10.240826961968333,0.08672278038598447,L_H1|L_H2|L_OOS|L_DD|L_CAGR
