gate,value,bar,verdict
G1,3.469446951953614e-18,1e-12,PASS
G2,0.0,1e-12,PASS
G3,1.0461431119225517,0.04,PASS
G4a,0.01388888888888895,1e-09,FAIL
G4b,0.6666666666666666,1e-09,FAIL
G5,2.55351295663786e-14,1e-09,PASS
