panel,cadence,REC,DISJ,TWOLEG
B136,M,1.0,0.8999999999999999,0.9444444444444445
B136,Q,1.0,1.0,1.0
B136,W,,,
SMALL663,M,,,
SMALL663,Q,,,
SMALL663,W,,,
U56,M,1.0,1.0,1.0
U56,Q,1.0,1.0,1.0
U56,W,,,
