panel,form,cadence,cash_bps,slope_Sharpe,r2_Sharpe,slope_Sharpe_x,r2_Sharpe_x,slope_CAGR,r2_CAGR,slope_MaxDD,r2_MaxDD,Sharpe_span,Sharpe_x_span
B136,EWall,M,0.0,0.0006530118885209478,0.4692565754285374,0.0006530118885209478,0.4692565754285374,0.189171385501695,0.9999764608585143,-0.31817425751291567,0.9994941914311457,0.0008019687168265843,0.0008019687168265843
B136,EWall,M,150.0,-0.37342833907316075,0.8209902437437073,0.002846799530408822,0.9587549266869196,0.1735713583033573,0.999995200834364,-0.31951386077970634,0.9994933915602582,0.3655406320120498,0.002270080757427184
B136,EWall,M,300.0,-0.7479346950723993,0.8207195871334345,0.005035351586722318,0.9907700487582201,0.15777895498556052,0.9999993166092122,-0.3208552084416021,0.9994925906967668,0.7320077999989592,0.004024031132730754
B136,EWall,W,0.0,0.0016431479600018369,0.9068423703785724,0.0016431479600018369,0.9068423703785724,0.18991829991871745,0.9999954253629363,-0.31793865135693944,0.9990850938325707,0.001312222922112527,0.001312222922112527
B136,EWall,W,150.0,-0.36739051119754024,0.8209764274703484,0.002258783241297675,0.9540353314034916,0.17427511957947894,0.9999985785553677,-0.3192264342165327,0.9990769139952793,0.35960906441748697,0.001787854230864916
B136,EWall,W,300.0,-0.7365037860387853,0.8212293754741742,0.0028737980441058365,0.9744752170057202,0.15844132215252033,0.9999788436465964,-0.32051562802663564,0.9990687048100336,0.7205905926045819,0.002280489553021403
B136,MA-DG,M,0.0,0.00706054678391023,0.9997197151927157,0.00706054678391023,0.9997197151927157,0.11333112908955818,0.99998508823205,-0.15843724786801494,0.9997571766260541,0.005647993532640561,0.005647993532640561
B136,MA-DG,M,150.0,-0.6175272481997512,0.8182695797066757,0.00797443243051074,0.9998371562020122,0.10289448587104633,0.9999957477299021,-0.15918697162655443,0.9997586674252797,0.6051773424334981,0.006379333875094373
B136,MA-DG,M,300.0,-1.2428540319288959,0.8199059734785598,0.008885182279080259,0.9999075981764132,0.09227221640420301,0.999999980242968,-0.15993786524498654,0.999760152130936,1.2167248071767598,0.007108151157331988
B136,MA-DG,W,0.0,-0.00037708699573926,0.7535254326669908,-0.00037708699573926,0.7535254326669908,0.1040055842810187,0.9999988924687218,-0.16477045230504245,0.9998973851077257,0.000346453432967575,0.000346453432967575
B136,MA-DG,W,150.0,-0.6513934223243872,0.8221040754111842,-1.1745575692560316e-05,0.0031313454966568344,0.09350936555491249,0.9999983994156328,-0.16540634615862304,0.9998963076301387,0.6368937293293011,0.00016209648175669056
