window,series,CAGR,Sharpe,MaxDD,H1,H2
full 2010-2026,SMALL439 EW (panel),0.14538790098335208,0.7347455263619282,-0.4603277953826983,0.9021555341030518,0.6247290056180456
full 2010-2026,IWM,0.11112987333310098,0.5868145543078317,-0.4113329525474889,0.710809490071072,0.4929228968350556
full 2010-2026,SPY,0.1419382505874296,0.8633605953916615,-0.3371723528339827,0.8925501359171699,0.8524362653375671
full 2010-2026,RSP,0.12537700741465274,0.7522901750643004,-0.39041289619423525,0.8502752034143016,0.6775912060107133
IS 2010-2016,SMALL439 EW (panel),0.16874619392187395,0.9125804705378167,-0.28358128172544694,1.0023546935195784,0.8148092204461119
IS 2010-2016,IWM,0.12912352556263484,0.6923600020604329,-0.28914762015958606,0.6955673041699038,0.716580842545867
IS 2010-2016,SPY,0.1248144588446356,0.83999511670386,-0.18605456334553838,0.778609277650643,0.9465919439229694
IS 2010-2016,RSP,0.13300680506396612,0.8245204624010617,-0.22880895457509298,0.7987666122501145,0.8945206663234502
OOS 2017-2026,SMALL439 EW (panel),0.12875683745266353,0.6351153641844327,-0.4603277953826991,0.874327239869777,0.3883483182994093
OOS 2017-2026,IWM,0.09827274989872148,0.5204372670633095,-0.4113329525474885,0.6286072771556507,0.40641915130120426
OOS 2017-2026,SPY,0.15450717694493266,0.8820107671822842,-0.33717235283398284,0.9747568823748656,0.7820064072856457
OOS 2017-2026,RSP,0.11988128617717808,0.7055759795398633,-0.39041289619423547,0.7970758857581982,0.6006036411955231
