panel,cadence,mode,cap,gross,cost_bps,d_turn_pct,d_CAGR_pp,rate,d_risk_gross,d_maxw,d_Sharpe,d_OOS_Sharpe,clears_bar
U56,W,RATCHET,0.015,0.75,0.0,-13.162002152433349,3.5382314184584818,0.26882167146617164,0.09724591876119626,0.15635400459614548,-0.051723229582021135,-0.10018071385159355,False
U56,W,RATCHET,0.015,0.75,10.0,-13.162002152433349,3.572350481862774,0.27141391108208635,0.09724591876119626,0.15635400459614548,-0.03681016210946342,-0.08459072993549666,False
U56,W,RATCHET,0.015,0.75,25.0,-13.162002152433349,3.6231175101102853,0.275271001185823,0.09724591876119626,0.15635400459614548,-0.014385578483568473,-0.061144474324857034,False
U56,W,RATCHET,0.015,0.75,50.0,-13.162002152433349,3.7066393405532194,0.28161667940982277,0.09724591876119626,0.15635400459614548,0.023098952092029057,-0.021937578411884928,False
U56,W,RAT_CAP,0.015,0.75,0.0,-15.905835754229347,-0.45927991398604373,-0.02887493125684525,-0.026475684123940746,-0.0005376766989298419,-0.00034296655205912074,0.0009434078972156978,False
U56,W,RAT_CAP,0.015,0.75,10.0,-15.905835754229347,-0.4057272386782218,-0.025508074202912557,-0.026475684123940746,-0.0005376766989298419,0.004343228602263993,0.00566092554045472,False
U56,W,RAT_CAP,0.015,0.75,25.0,-15.905835754229347,-0.3259320395218701,-0.020491349499519702,-0.026475684123940746,-0.0005376766989298419,0.011382987717602155,0.01274829161943658,False
U56,W,RAT_CAP,0.015,0.75,50.0,-15.905835754229347,-0.1943543883953458,-0.01221906169524397,-0.026475684123940746,-0.0005376766989298419,0.023133404366648902,0.024580470964012724,False
U56,W,RAT_BUD,0.015,0.75,0.0,-21.780715674563346,2.4536956462826387,0.1126545005657547,0.032132276493136214,0.14491769299830032,-0.06194769531683719,-0.12104209782277486,False
U56,W,RAT_BUD,0.015,0.75,10.0,-21.780715674563346,2.5197002657990186,0.11568491611786916,0.032132276493136214,0.14491769299830032,-0.04624023825300472,-0.10438674175751861,False
U56,W,RAT_BUD,0.015,0.75,25.0,-21.780715674563346,2.618021780330504,0.12019907056534263,0.032132276493136214,0.14491769299830032,-0.022627277636600995,-0.07934326616888776,False
U56,W,RAT_BUD,0.015,0.75,50.0,-21.780715674563346,2.7800749060492347,0.1276392818118438,0.032132276493136214,0.14491769299830032,0.016829229873440044,-0.037476864163883405,False
U56,W,RATCHET,0.015,1.0,0.0,-13.523153987409565,3.5393860528634136,0.26172785255264275,0.09669510237607859,0.15640645568846215,-0.05012023818598199,-0.0975672461227528,False
U56,W,RATCHET,0.015,1.0,10.0,-13.523153987409565,3.5749156476698962,0.2643551682542581,0.09669510237607859,0.15640645568846215,-0.03508641280782032,-0.08179383933539142,False
U56,W,RATCHET,0.015,1.0,25.0,-13.523153987409565,3.627782396170609,0.2682645187319597,0.09669510237607859,0.15640645568846215,-0.012480630991289043,-0.05807244721629545,False
U56,W,RATCHET,0.015,1.0,50.0,-13.523153987409565,3.714761199758465,0.27469636175237017,0.09669510237607859,0.15640645568846215,0.02530582938957915,-0.018407310452745795,False
U56,W,RAT_CAP,0.015,1.0,0.0,-16.251611271645704,-0.46300849548592815,-0.028490005559863606,-0.027365417279587412,-0.0005376766989298419,0.0012951657784532333,0.003605980118638996,False
U56,W,RAT_CAP,0.015,1.0,10.0,-16.251611271645704,-0.40802552468117703,-0.02510677359069386,-0.027365417279587412,-0.0005376766989298419,0.006079304769805116,0.008472809098266865,False
