gross,n,pass_rate,within_var,r2_shape_within
0.2,60,0.0,0.0,
0.25,60,0.0,0.0,
0.3,60,0.0,0.0,
0.35,60,0.0,0.0,
0.4,60,0.0,0.0,
0.45,60,0.0,0.0,
0.5,60,0.0,0.0,
0.55,60,0.0,0.0,
0.6,60,0.0,0.0,
0.65,60,0.0,0.0,
0.7,60,0.016666666666666666,0.016388888888888894,1.0
0.75,60,0.06666666666666667,0.06222222222222222,1.0
0.8,60,0.08333333333333333,0.07638888888888888,1.0
0.85,60,0.05,0.04749999999999998,1.0
0.9,60,0.1,0.09000000000000001,1.0
0.95,60,0.16666666666666666,0.13888888888888892,1.0
1.0,60,0.2,0.16,1.0
