claim_class,book_identity,n_units,n_recoverable,frac
R_EXPLICIT,B_ROW,637,637,1.0
R_EXPLICIT,B_KEY,637,295,0.4631083202511774
R_EXPLICIT,B_VALUE,637,3,0.004709576138147566
R_EXPLICIT,B_VALUE_RD,637,3,0.004709576138147566
R_PASSCOUNT,B_ROW,4101,4101,1.0
R_PASSCOUNT,B_KEY,4101,1029,0.25091441111923923
R_PASSCOUNT,B_VALUE,4101,91,0.022189709826871493
R_PASSCOUNT,B_VALUE_RD,4101,91,0.022189709826871493
C_ALL,B_ROW,4738,4738,1.0
C_ALL,B_KEY,4738,1324,0.27944280287040946
C_ALL,B_VALUE,4738,94,0.019839594765723934
C_ALL,B_VALUE_RD,4738,94,0.019839594765723934
