panel,window,n,pass4a,pass4b
U56,FULL,80,0,6
U56,H1,80,0,6
U56,H2,80,0,9
U56,IS,80,0,5
U56,OOS,80,0,12
B136,FULL,80,0,3
B136,H1,80,7,10
B136,H2,80,20,0
B136,IS,80,7,6
B136,OOS,80,14,1
SMALL,FULL,80,18,0
SMALL,H1,80,22,0
SMALL,H2,80,0,0
SMALL,IS,80,22,0
SMALL,OOS,80,13,0
