sclass,construction,partition,panel,stat,resolved,jack_se,se_over_ratio,zrel,resolvable
LEVEL,C_POOLED,ALIGNED,U56,CAGR,3.176591363067447,0.9347219234254335,0.2942531212207376,0.08135364911138017,True
SPREAD,C_POOLED,ALIGNED,U56,VOL,4.828193750803119,4.107498613085317,0.8507319351884084,0.03912034953994952,False
RATIO,C_POOLED,ALIGNED,U56,SHARPE,5.813049631065163,0.7149755046124159,0.12299490800690209,0.04502948599680733,False
LEVEL,C_POOLED,ALIGNED,U56,MAXDD,1.73218113055968,0.23924453682175456,0.13811750549692975,0.18400812425756927,True
SPREAD,C_POOLED,ALIGNED,U56,ULCER,2.999279640773039,3.7201468134860978,1.2403467695753976,0.11965770045288728,False
RATIO,C_POOLED,ALIGNED,U56,CALMAR,2.5558934948725165,0.296021532086065,0.11581919695790378,0.1522603051403933,True
LEVEL,C_POOLED,ALIGNED,B136,CAGR,3.845683652888669,0.6725868840105047,0.1748939706741853,0.08222929973139505,True
SPREAD,C_POOLED,ALIGNED,B136,VOL,5.59544224129002,2.104588935425757,0.3761255759009582,0.03720484858331723,False
RATIO,C_POOLED,ALIGNED,B136,SHARPE,3.2568434342269614,0.3211961215059408,0.09862191044568261,0.11106583578056291,True
LEVEL,C_POOLED,ALIGNED,B136,MAXDD,1.818797314007543,0.37753102879743106,0.20757179807219867,0.17982381587236415,True
SPREAD,C_POOLED,ALIGNED,B136,ULCER,2.71546399468363,1.5907708075196543,0.5858191493733983,0.10746444421961822,True
RATIO,C_POOLED,ALIGNED,B136,CALMAR,2.8555217160637403,0.39369099481440667,0.1378700755801287,0.21020720806527346,True
LEVEL,C_POOLED,ALIGNED,SMALL,CAGR,10.550252015283416,4.443856589556072,0.42120857237519693,0.10401380523323284,True
SPREAD,C_POOLED,ALIGNED,SMALL,VOL,4.0368449909614155,3.216027087054485,0.7966684612005762,0.05371823042081622,True
RATIO,C_POOLED,ALIGNED,SMALL,SHARPE,7.485885166997372,1.2253996186952987,0.16369468557942266,0.1252081280042901,True
LEVEL,C_POOLED,ALIGNED,SMALL,MAXDD,1.173713969601412,0.05073913250212277,0.04322955491392298,0.32063514607473653,True
SPREAD,C_POOLED,ALIGNED,SMALL,ULCER,2.4620576768914715,0.3449448889701754,0.14010430876895363,0.1790077073756581,True
RATIO,C_POOLED,ALIGNED,SMALL,CALMAR,3.9676442921449193,0.5912483190458693,0.14901747120234884,0.3926366794494701,True
