panel,H,k,DD_HEAD,CAGR_HEAD,SWAP,MINHEAD,RELMIN,MINHEAD_med,MINHEAD_IS,MINHEAD_OOS,n_dd_binds,n_cagr_binds,pass4b,pass4b_oos,pass4b_both,pass4a
U56,5,9,1.99799036120334,2.972415715486773,-0.9744253542834335,1.4147269534167028,0.08066433514692414,1.659123806708926,-0.9484869050893506,1.7899646382643155,6,3,8,8,8,0
U56,7,9,1.563533666224121,3.2133140581824753,-1.6497803919583545,1.3118866233599518,0.06637789459741619,1.0920255338710634,-0.6747313969617117,1.4133122400015021,8,1,7,8,7,0
U56,10,9,0.7719380538708241,3.76907278497299,-2.9971347311021663,0.6336810298094792,0.03359464852368337,0.9003103027851983,-0.901421351294909,0.7060116766657553,8,1,7,7,7,0
U56,13,9,0.11633349076319217,4.482256117684722,-4.365922626921529,0.11633349076319217,0.005750442646098692,0.7661916143364506,-0.4872164247285922,0.11633349076318929,9,0,7,7,7,0
U56,16,9,0.7339542415823238,4.443192743934976,-3.7092385023526524,0.6652104144780817,0.03627985151474028,0.8614229811100355,-0.3341162643823278,0.7339542415822952,7,2,8,8,8,0
U56,21,9,-0.6507142382922508,4.210956792567613,-4.861671030859864,-0.6507142382922508,-0.03216524219939701,0.11243890841464432,-0.25069400105429573,-0.650714238292261,9,0,5,5,5,0
U56,26,9,-0.3620198100152377,5.209151463242532,-5.57117127325777,-0.3620198100152377,-0.017894882553484277,0.027161327621913478,-0.10059814163738366,-0.3620198100152504,9,0,5,5,5,0
U56,32,9,-1.4135509248008107,5.120228275733338,-6.533779200534149,-1.4135509248008107,-0.06987277238119896,-0.9470306944568768,-0.7987325949245416,-1.4135509248008244,9,0,0,0,0,0
U56,42,9,-2.0223911321898607,4.856190113526477,-6.878581245716337,-2.0223911321898607,-0.09996815308593848,-2.3209399852324535,-1.2739601373016876,-2.0223911321898633,9,0,0,0,0,0
U56,52,9,-2.2916167284562388,4.798981434030866,-7.0905981624871055,-2.2916167284562388,-0.11327615527890088,-1.4829419382536484,-1.1510794793645491,-2.291616728456255,9,0,1,1,1,0
U56,63,9,-4.75520904104138,6.055901592730549,-10.811110633771928,-4.75520904104138,-0.2350531792807704,-5.575645505219421,-1.0505102417960426,-4.755209041041389,9,0,0,0,0,0
B136,5,9,-0.8785205115939876,3.2451763452335993,-4.123696856827587,-0.8785205115939876,-0.04342753827267831,-0.8770306893174096,-2.7212005719936614,-0.6971855228906639,9,0,2,4,2,0
B136,7,9,-2.065930662542488,4.005648260817116,-6.0715789233596045,-2.065930662542488,-0.10212428933899191,-2.024378313271341,-2.555135280327628,-2.065930662542523,9,0,0,0,0,0
B136,10,9,-5.688748688999169,3.877152570006015,-9.565901259005186,-5.688748688999169,-0.2812095428106915,-5.894355694685011,-3.513780416087265,-5.462168314831893,9,0,0,0,0,0
B136,13,9,-5.290196891103649,5.215170283720434,-10.505367174824082,-5.290196891103649,-0.2615080979060659,-4.418337752168572,-1.7001146605037312,-5.290196891103672,9,0,0,0,0,0
B136,16,9,-2.756694728586618,5.977779861557001,-8.73447459014362,-2.756694728586618,-0.13627054149774193,-2.6526268126638106,-1.6919477335027802,-2.756694728586631,9,0,0,0,0,0
B136,21,9,-6.130502126416005,5.493346833889708,-11.623848960305715,-6.130502126416005,-0.30304655635485894,-5.461132385094864,-1.6761676247288175,-6.130502126416012,9,0,0,0,0,0
B136,26,9,-5.719772821662186,6.9039147711033,-12.623687592765485,-5.719772821662186,-0.282743145829425,-6.200900912933799,-0.5000471752826299,-5.719772821662189,9,0,0,0,0,0
B136,32,9,-5.513432308230414,6.440231100874103,-11.953663409104516,-5.513432308230414,-0.2725432012339325,-5.669386746322641,-0.8226386451198957,-5.51343230823044,9,0,0,0,0,0
B136,42,9,-5.974353812299003,6.345304978473783,-12.319658790772786,-5.974353812299003,-0.2953277418274365,-6.05306981731743,-2.9832990071924943,-5.974353812299023,9,0,0,0,0,0
B136,52,9,-5.982047397916296,5.8891639671602105,-11.871211365076507,-5.982047397916296,-0.29570805563848557,-6.498088106298777,-1.1962439443027892,-5.982047397916295,9,0,0,0,0,0
B136,63,9,-8.207843462495752,7.691146027396922,-15.898989489892678,-8.207843462495752,-0.4057349047627248,-8.050826252226601,-1.4094160985135664,-8.207843462495777,9,0,0,0,0,0
