panel,wsel,rule,split,feasible,pre_start,pre_len,post_len,live_share
U56,252,RAW,2016-12-31,True,0,2007,2436,0.9995017438963627
B136,252,RAW,2016-12-31,True,0,2007,2436,0.9995017438963627
SMALL663,252,RAW,2016-12-31,True,0,1502,2436,0.9993342210386151
U56,504,RAW,2016-12-31,True,0,2007,2436,0.8784255107125062
B136,504,RAW,2016-12-31,True,0,2007,2436,0.8784255107125062
SMALL663,504,RAW,2016-12-31,True,0,1502,2436,0.8375499334221038
U56,1008,RAW,2016-12-31,True,0,2007,2436,0.6273044344793224
B136,1008,RAW,2016-12-31,True,0,2007,2436,0.6273044344793224
SMALL663,1008,RAW,2016-12-31,True,0,1502,2436,0.5019973368841545
U56,2016,RAW,2016-12-31,True,0,2007,2436,0.12506228201295466
B136,2016,RAW,2016-12-31,True,0,2007,2436,0.12506228201295466
SMALL663,2016,RAW,2016-12-31,True,0,1502,2436,0.0
U56,ALL,RAW,2012-12-31,True,0,999,3444,0.0
B136,ALL,RAW,2012-12-31,True,0,999,3444,0.0
SMALL663,ALL,RAW,2012-12-31,True,0,494,3444,0.0
U56,ALL,RAW,2014-12-31,True,0,1503,2940,0.0
B136,ALL,RAW,2014-12-31,True,0,1503,2940,0.0
SMALL663,ALL,RAW,2014-12-31,True,0,998,2940,0.0
U56,ALL,RAW,2016-12-31,True,0,2007,2436,0.12506228201295466
B136,ALL,RAW,2016-12-31,True,0,2007,2436,0.12506228201295466
SMALL663,ALL,RAW,2016-12-31,True,0,1502,2436,0.0
U56,ALL,RAW,2018-12-31,True,0,2509,1934,0.3001195695496214
B136,ALL,RAW,2018-12-31,True,0,2509,1934,0.3001195695496214
SMALL663,ALL,RAW,2018-12-31,True,0,2004,1934,0.12375249500998003
U56,ALL,RAW,2020-12-31,True,0,3014,1429,0.4173855341738553
B136,ALL,RAW,2020-12-31,True,0,3014,1429,0.4173855341738553
SMALL663,ALL,RAW,2020-12-31,True,0,2509,1429,0.3001195695496214
U56,252,RAW,2012-12-31,True,0,999,3444,0.998998998998999
B136,252,RAW,2012-12-31,True,0,999,3444,0.998998998998999
SMALL663,252,RAW,2012-12-31,True,0,494,3444,0.9979757085020243
U56,252,RAW,2014-12-31,True,0,1503,2940,0.9993346640053227
B136,252,RAW,2014-12-31,True,0,1503,2940,0.9993346640053227
SMALL663,252,RAW,2014-12-31,True,0,998,2940,0.998997995991984
U56,252,RAW,2018-12-31,True,0,2509,1934,0.9996014348345954
B136,252,RAW,2018-12-31,True,0,2509,1934,0.9996014348345954
SMALL663,252,RAW,2018-12-31,True,0,2004,1934,0.9995009980039921
U56,252,RAW,2020-12-31,True,0,3014,1429,0.9996682149966821
B136,252,RAW,2020-12-31,True,0,3014,1429,0.9996682149966821
SMALL663,252,RAW,2020-12-31,True,0,2509,1429,0.9996014348345954
U56,504,RAW,2012-12-31,True,0,999,3444,0.7557557557557557
B136,504,RAW,2012-12-31,True,0,999,3444,0.7557557557557557
SMALL663,504,RAW,2012-12-31,True,0,494,3444,0.5060728744939271
U56,504,RAW,2014-12-31,True,0,1503,2940,0.8376580172987359
B136,504,RAW,2014-12-31,True,0,1503,2940,0.8376580172987359
SMALL663,504,RAW,2014-12-31,True,0,998,2940,0.7555110220440882
U56,504,RAW,2018-12-31,True,0,2509,1934,0.9027500996412914
B136,504,RAW,2018-12-31,True,0,2509,1934,0.9027500996412914
SMALL663,504,RAW,2018-12-31,True,0,2004,1934,0.8782435129740519
U56,504,RAW,2020-12-31,True,0,3014,1429,0.9190444591904446
B136,504,RAW,2020-12-31,True,0,3014,1429,0.9190444591904446
SMALL663,504,RAW,2020-12-31,True,0,2509,1429,0.9027500996412914
U56,1008,RAW,2012-12-31,True,0,999,3444,0.25125125125125125
B136,1008,RAW,2012-12-31,True,0,999,3444,0.25125125125125125
SMALL663,1008,RAW,2012-12-31,True,0,494,3444,0.0
U56,1008,RAW,2014-12-31,True,0,1503,2940,0.5023286759813705
B136,1008,RAW,2014-12-31,True,0,1503,2940,0.5023286759813705
SMALL663,1008,RAW,2014-12-31,True,0,998,2940,0.250501002004008
U56,1008,RAW,2018-12-31,True,0,2509,1934,0.7018732562774014
