universe,grid,rule,pick,IS_Sh,OOS_Sh,vs_default,vs_oosbest,pass4b_oos,pass4b_full,interior,n_interior
universe.json,GROSS/top20,R0,0.8,0.9928968957179195,1.1697376112618685,8.060965013556576e-05,-0.00018934660463343356,True,True,True,2.0
universe.json,GROSS/top20,Rm(m=0pp),0.8,0.9928968957179195,1.1697376112618685,8.060965013556576e-05,-0.00018934660463343356,True,True,True,2.0
universe.json,GROSS/top20,Rm(m=1pp),0.75,0.9928957406191273,1.169657001611733,0.0,-0.0002699562547689993,True,True,False,2.0
universe.json,GROSS/top20,Rm(m=2pp),,,,,,,,,
universe.json,GROSS/EWall,R0,1.0,0.969925047972074,1.114042864184762,-2.25763664447598e-05,-2.4716653024947632e-05,False,False,False,2.0
universe.json,GROSS/EWall,Rm(m=0pp),,,,,,,,,
universe.json,GROSS/EWall,Rm(m=1pp),,,,,,,,,
universe.json,GROSS/EWall,Rm(m=2pp),,,,,,,,,
universe.json,BAND/ew-all,R0,0.08,1.0938523026187743,1.160015091653258,0.04594965110205118,-0.07384137753301978,True,True,True,4.0
universe.json,BAND/ew-all,Rm(m=0pp),0.08,1.0938523026187743,1.160015091653258,0.04594965110205118,-0.07384137753301978,True,True,True,4.0
universe.json,BAND/ew-all,Rm(m=1pp),0.08,1.0938523026187743,1.160015091653258,0.04594965110205118,-0.07384137753301978,True,True,True,4.0
universe.json,BAND/ew-all,Rm(m=2pp),0.08,1.0938523026187743,1.160015091653258,0.04594965110205118,-0.07384137753301978,True,True,True,4.0
universe.json,N/ranked,R0,20.0,0.9928957406191273,1.169657001611733,0.0,-0.09906218893215746,True,True,False,2.0
universe.json,N/ranked,Rm(m=0pp),20.0,0.9928957406191273,1.169657001611733,0.0,-0.09906218893215746,True,True,False,2.0
universe.json,N/ranked,Rm(m=1pp),20.0,0.9928957406191273,1.169657001611733,0.0,-0.09906218893215746,True,True,False,2.0
universe.json,N/ranked,Rm(m=2pp),,,,,,,,,
universe.json,CRYPTO/CAND20,R0,0.15,1.1487614855725419,1.2122294413911539,0.042572439779420934,-0.024313927424823634,False,False,False,2.0
universe.json,CRYPTO/CAND20,Rm(m=0pp),0.15,1.1487614855725419,1.2122294413911539,0.042572439779420934,-0.024313927424823634,False,False,False,2.0
universe.json,CRYPTO/CAND20,Rm(m=1pp),0.15,1.1487614855725419,1.2122294413911539,0.042572439779420934,-0.024313927424823634,False,False,False,2.0
universe.json,CRYPTO/CAND20,Rm(m=2pp),,,,,,,,,
universe.json,CRYPTO/EWall,R0,0.15,1.1435462637271918,1.1621080326765871,0.04804259212538042,-0.02955215747182427,False,False,False,2.0
universe.json,CRYPTO/EWall,Rm(m=0pp),0.15,1.1435462637271918,1.1621080326765871,0.04804259212538042,-0.02955215747182427,False,False,False,2.0
