4a_H1_gt_v2,4a_H2_gt_v2,4a_DD_no_worse,4b_H1_gt_SPY,4b_H2_gt_SPY,4b_OOS_gt_SPY,4b_DD_cap,4b_CAGR_floor,panel,cadence
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,0,0,0,0,0,1,U56,D
1,0,1,0,0,0,0,1,U56,D
1,0,1,0,0,0,0,1,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,0,0,U56,D
1,0,1,0,0,0,1,0,U56,D
1,0,1,0,0,0,1,0,U56,D
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,0,0,0,0,0,0,1,U56,W
1,1,0,0,0,0,0,1,U56,W
0,1,1,0,0,0,0,1,U56,W
0,1,1,0,0,0,0,1,U56,W
0,1,1,0,0,0,0,1,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,0,0,U56,W
0,1,1,0,0,0,1,0,U56,W
0,1,1,0,0,0,1,0,U56,W
0,1,1,0,0,0,1,0,U56,W
0,1,1,0,0,0,1,0,U56,W
0,1,1,0,0,0,1,0,U56,W
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,0,0,0,0,0,1,U56,M
1,1,1,0,0,0,0,1,U56,M
1,1,1,0,0,0,0,1,U56,M
1,1,1,0,0,0,0,1,U56,M
