panel,anchor,ladder,chooser,k,anchor_rung,pick,moved,S_OBS_MARGIN,S_OBS_RATIO,S_PBOOT_TOP,S_PBOOT_MARGIN,d,pick_OOS_Sharpe,anchor_OOS_Sharpe,pick_CAGR,pick_Sharpe,pick_MaxDD,pick_H1,pick_H2,pick_OOS_CAGR,pick_OOS_MaxDD,i2011_pick,i2011_moved,i2011_d,i2011_S_OBS_MARGIN,i2011_S_OBS_RATIO,i2011_S_PBOOT_TOP,i2011_S_PBOOT_MARGIN,i2012_pick,i2012_moved,i2012_d,i2012_S_OBS_MARGIN,i2012_S_OBS_RATIO,i2012_S_PBOOT_TOP,i2012_S_PBOOT_MARGIN,i2013_pick,i2013_moved,i2013_d,i2013_S_OBS_MARGIN,i2013_S_OBS_RATIO,i2013_S_PBOOT_TOP,i2013_S_PBOOT_MARGIN,i2014_pick,i2014_moved,i2014_d,i2014_S_OBS_MARGIN,i2014_S_OBS_RATIO,i2014_S_PBOOT_TOP,i2014_S_PBOOT_MARGIN
U56,A,N,CH_ISSHARPE,9,20,40,True,0.009061837892411615,0.06639360738822844,0.429,0.14200000000000002,-0.06776183784551182,1.1010141536542355,1.1687759914997473,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.14033524612049586,-0.22984198631406594,40,True,-0.07554089878856396,0.2375858091168847,0.4142194694538669,0.729,0.603,8,True,-0.364504161328989,0.003249878248488439,0.01706842006577201,0.201,0.064,5,True,-0.26270314396089967,0.022773988577586824,0.15389930165420215,0.502,0.131,5,True,-0.388381415286825,4.78221192991784e-05,0.0003313797571771088,0.413,0.010999999999999954
U56,A,N,CH_ISCAGR,9,20,5,True,0.16907300413033446,0.356246340061545,0.8,0.6950000000000001,-0.2628778746538627,0.9058981168458846,1.1687759914997473,0.1789829066444839,0.9892280896266107,-0.25853595033656995,1.194420469731575,0.8351361958727229,0.17190400059573552,-0.2585359503365696,40,True,-0.07554089878856396,0.18822791044547554,0.4669769128599986,0.424,0.015000000000000013,5,True,-0.14196647303744747,0.12522146670637924,0.2209683728537985,0.662,0.51,5,True,-0.26270314396089967,0.2856575740191172,0.4502267613181027,0.892,0.837,5,True,-0.388381415286825,0.29133474153489075,0.4602605945399649,0.875,0.8140000000000001
U56,A,N,CH_ISDD,9,20,40,True,0.09825218727897246,0.11759921031908638,0.939,0.9219999999999999,-0.06776183784551182,1.1010141536542355,1.1687759914997473,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.14033524612049586,-0.22984198631406594,40,True,-0.07554089878856396,0.09825218727897246,0.11759921031908638,0.973,0.967,40,True,-0.006957918966031373,0.09825218727897246,0.11759921031908638,0.858,0.798,40,True,-0.0591671809051989,0.09825218727897246,0.11759921031908638,0.878,0.833,40,True,-0.14193567427683962,0.09825218727897246,0.11759921031908638,0.898,0.853
U56,A,H,CH_ISSHARPE,4,126,252,True,0.008682580057707844,0.4378617558223762,0.424,0.16899999999999998,0.027592625355688183,1.1963686168554355,1.1687759914997473,0.15912649336850393,1.1666934896483823,-0.21843527860630385,1.224335820741266,1.1295976327022477,0.17359942687788488,-0.21843527860630374,21,True,-0.14577133590043356,0.016479573710612726,0.06317942963935039,0.401,0.027000000000000024,252,True,-0.016076337645668737,0.046969570754055535,0.5137261051918504,0.513,0.281,252,True,-0.07582001015492545,0.022618037811826967,0.3743408828565258,0.493,0.174,252,True,-0.13457069355679419,0.01872088158126669,0.3131360087323889,0.54,0.25800000000000006
U56,A,H,CH_ISCAGR,4,126,252,True,0.019100927029833126,0.24853088487223934,0.538,0.30900000000000005,0.027592625355688183,1.1963686168554355,1.1687759914997473,0.15912649336850393,1.1666934896483823,-0.21843527860630385,1.224335820741266,1.1295976327022477,0.17359942687788488,-0.21843527860630374,63,True,-0.16286215433821294,0.008432157375527743,0.04050886937232184,0.319,0.04999999999999999,252,True,-0.016076337645668737,0.13523969398967703,0.6255318169850044,0.693,0.5509999999999999,252,True,-0.07582001015492545,0.09546593571714795,0.7161448896631747,0.701,0.572,252,True,-0.13457069355679419,0.08163353687159494,0.7333141803588991,0.728,0.615
U56,A,H,CH_ISDD,4,126,21,True,0.07020693314125906,0.2305712256274721,0.522,0.22800000000000004,-0.050565423659729714,1.1182105678400176,1.1687759914997473,0.14366167985566558,1.1161284641319222,-0.20241628648552024,1.2103415611599029,1.0507552505315503,0.15411578085439204,-0.20241628648552012,21,True,-0.14577133590043356,0.07020693314125906,0.2305712256274721,0.623,0.435,21,True,0.018545222373413273,0.07020693314125906,0.2305712256274721,0.5,0.22499999999999998,21,True,-0.05083950509945567,0.07020693314125906,0.2305712256274721,0.545,0.29100000000000004,21,True,-0.1033065592668243,0.07020693314125906,0.2305712256274721,0.555,0.31500000000000006
U56,A,GROSS,CH_ISSHARPE,10,0.75,0.75,False,9.777060389650415e-05,0.07795950761834587,0.789,0.67,0.0,1.1687759914997473,1.1687759914997473,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.17042230856703666,-0.19127563591226404,0.3,True,-0.0029160340949170305,3.063169676790656e-05,0.0401631503684883,0.467,0.05600000000000005,0.3,True,-0.0033756347538509424,5.727146264536308e-07,0.001339525683648515,0.47,0.06799999999999995,0.5,True,-0.0021640376227174407,2.465502382360906e-06,0.017542518448833536,0.012,0.03400000000000003,0.75,False,0.0,0.00014061674573802405,0.0855836787466762,0.762,0.612
U56,A,GROSS,CH_ISCAGR,10,0.75,0.75,False,0.06708403930317232,0.11136984134566874,0.999,0.998,0.0,1.1687759914997473,1.1687759914997473,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.17042230856703666,-0.19127563591226404,0.75,False,0.0,0.06291569983148787,0.107193741307552,0.93,0.886,0.75,False,0.0,0.06475206878845641,0.10906063110996307,0.978,0.965,0.75,False,0.0,0.0671982427653999,0.1114690872327445,1.0,1.0,0.75,False,0.0,0.06708293227779547,0.11136590926986031,1.0,1.0
U56,A,GROSS,CH_ISDD,10,0.75,0.3,True,0.06696759121619086,0.1129953920708287,1.0,1.0,-0.0021427340201125578,1.1666332574796348,1.1687759914997473,0.06191553867891364,1.140499404891281,-0.07990333123577376,1.2032872488449897,1.0987852799176288,0.06737302975501991,-0.07990333123577409,0.3,True,-0.0029160340949170305,0.06696759121619086,0.1129953920708287,1.0,1.0,0.3,True,-0.0033756347538509424,0.06696759121619086,0.1129953920708287,1.0,1.0,0.3,True,-0.004085426535987757,0.06696759121619086,0.1129953920708287,1.0,1.0,0.3,True,9.631822215605546e-05,0.06696759121619086,0.1129953920708287,1.0,1.0
U56,A,CADENCE,CH_ISSHARPE,4,W,W,False,0.007054950294689179,0.2162853271373104,0.3,0.0040000000000000036,0.0,1.1687759914997473,1.1687759914997473,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.17042230856703666,-0.19127563591226404,D,True,-0.1986832989422498,0.058143639826483705,0.2717914088269614,0.58,0.375,Q,True,-0.09412866159726985,0.01026154940425394,0.12222721725332478,0.404,0.062,M,True,-0.10261535568467361,0.006080255796704256,0.1522670314054491,0.358,0.07500000000000001,M,True,-0.21325483902301645,0.02722194730047432,0.5143011327848948,0.37,0.08500000000000002
