panel,chooser,n_E,n_distinct_picks,modal_pick,modal_share,pick_at_REC,OOS_Sharpe_min,OOS_Sharpe_max,OOS_CAGR_min,OOS_CAGR_max,OOS_MaxDD_min,OOS_MaxDD_max,n_4b,n_4b_WIN,n_4a,n_L4,n_L4_WIN
B136,IS_CAGR,16,2,B136-qroll-q0.12-w1008-d0.50,0.75,B136-qroll-q0.12-w1008-d0.50,0.9837536839257804,1.419236628599937,0.11178915843654114,0.16768478487843486,-0.17314358462261425,-0.13364761848616025,15,12,0,16,12
B136,IS_LEGS,16,3,B136-band0.08-g1.00,0.375,B136-band0.08-g1.00,0.9024166768609116,1.419236628599937,0.09157136503736574,0.16768478487843486,-0.19499148724221516,-0.11168656212774997,11,3,0,16,9
B136,IS_SHARPE,16,4,B136-qroll-q0.12-w1008-d1.00,0.3125,B136-band0.08-g1.00,0.9024166768609116,1.419236628599937,0.04570045137967127,0.16768478487843486,-0.19499148724221516,-0.05677700095717031,11,3,2,16,9
U56,IS_CAGR,16,2,U56-qroll-q0.12-w1008-d1.00,0.9375,U56-qroll-q0.17-w1008-d0.50,1.1661810346546007,1.5813152911779536,0.12970475134052162,0.19484483090494642,-0.1303043404054739,-0.12490692742385445,16,13,0,16,13
U56,IS_LEGS,16,3,U56-qroll-q0.12-w1008-d1.00,0.625,U56-band0.08-g1.00,1.1661810346546007,1.57756798043266,0.12970475134052162,0.19341149295424143,-0.1591099751297823,-0.11711109040493961,16,12,0,16,12
U56,IS_SHARPE,16,3,U56-qroll-q0.12-w1008-d1.00,0.625,U56-band0.08-g1.00,1.1661810346546007,1.57756798043266,0.12970475134052162,0.19341149295424143,-0.1591099751297823,-0.11711109040493961,16,12,0,16,12
