panel,construction,offset,cost,window,CAGR,Sharpe,MaxDD,H1,H2,pass4b,pass4a,L1_H1,L2_H2,L3_DD,L4_CAGR,m_H1,m_H2,m_DD_pp,m_CAGR_pp,turnover_per_yr
B136,AGG,0,0,FULL,0.12750130880362853,1.1315046447745376,-0.19522126719439925,1.3082610017138525,0.9703589831499476,True,False,True,True,True,True,0.3511872945820681,0.14544462872039732,0.7074452649958873,2.1641103743581596,1.193600404600444
B136,AGG,0,0,IS,0.1370536203242112,1.2094680466534118,-0.12578885196339462,1.1386950876975803,1.338998595490487,True,False,True,True,True,True,0.30092953875398465,0.2786324270590099,0.6561320612696014,3.2335286310280846,
B136,AGG,0,0,OOS,0.11970750489186788,1.0674602964648259,-0.1952212671943988,1.2596370390655358,0.862191755814646,True,False,True,True,True,True,0.2685251486969632,0.11541311817728594,0.7074452649959234,1.2907235204226875,
B136,AGG,0,10,FULL,0.12615411774696073,1.120587579336585,-0.1952853875677134,1.3001767923643215,0.9568034381888421,True,False,True,True,True,True,0.3431030852325371,0.13188908375929176,0.7010332276644715,2.029391268691379,1.193600404600444
B136,AGG,0,10,IS,0.13608132219020908,1.2015171691578557,-0.1261385621869271,1.1305709840115268,1.3311614339037703,True,False,True,True,True,True,0.2928054350679311,0.27079526547229316,0.6211610389163541,3.136298817627872,
B136,AGG,0,10,OOS,0.11805694584324233,1.0541122419816042,-0.1952853875677132,1.2473929208997385,0.8476335610911416,True,False,True,True,True,True,0.2562810305311659,0.10085492345378155,0.7010332276644854,1.125667615560133,
B136,AGG,0,25,FULL,0.12413571219140995,1.1041715192935664,-0.19538156216412794,1.2880424548993865,0.9364116578144226,True,False,True,True,True,True,0.3309687477676021,0.11149730338487229,0.6914157680230182,1.8275507131363014,1.193600404600444
B136,AGG,0,25,IS,0.13462424716161814,1.1895838265949275,-0.12666287791964137,1.1183759632712598,1.3194047440234993,True,False,True,True,True,True,0.2806104143276641,0.25903857559202215,0.5687294656449265,2.9905913147687784,
B136,AGG,0,25,OOS,0.11558466789360833,1.0340257910478028,-0.1953815621641275,1.2289552667715502,0.8257408099388801,True,False,True,True,True,True,0.2378433764029776,0.07896217230152003,0.6914157680230543,0.8784398205967325,
B136,AGG,0,50,FULL,0.12077804241373213,1.0767102111098616,-0.1955418372559119,1.2677985181404317,0.9022826982500574,True,False,True,True,True,True,0.31072481100864724,0.07736834382050706,0.6753882588446225,1.4917837353685195,1.193600404600444
B136,AGG,0,50,IS,0.13219944300596853,1.169677529764728,-0.12753607226830488,1.0980293040049507,1.2998079340495179,True,False,True,True,True,True,0.260263755061355,0.23944176561804076,0.4814100307785757,2.7481108992038177,
B136,AGG,0,50,OOS,0.1114736830005385,1.0003895993419325,-0.19554183725591223,1.1980463777238741,0.789120007550286,True,False,True,True,True,True,0.2069344873553015,0.04234136991292592,0.6753882588445809,0.4673413312897501,
B136,AGG,1,0,FULL,0.12219975512182168,1.0996182045635743,-0.20527326060550044,1.3100646034027748,0.9032477301949233,False,False,True,True,False,True,0.35299089627099034,0.07833337576537303,-0.29775407611423166,1.6339550061774746,1.2683548927322614
B136,AGG,1,0,IS,0.1371084486067098,1.210895272436215,-0.12539579403265855,1.142571912925961,1.337098622139769,True,False,True,True,True,True,0.3048063639823654,0.2767324537082918,0.6954378543432088,3.2390114592779433,
B136,AGG,1,0,OOS,0.11008830962096927,1.00675197286678,-0.20527326060550033,1.2006083344157026,0.8051933453419245,False,False,True,True,False,True,0.20949644404712997,0.05841470770456447,-0.2977540761142289,0.32880399333282684,
B136,AGG,1,10,FULL,0.12077961619355082,1.0882686637709509,-0.20648076587743192,1.3023282941357788,0.8884557322505634,False,False,True,True,False,True,0.34525458700399436,0.0635413778210131,-0.41850460330737915,1.4919411133503881,1.2683548927322614
B136,AGG,1,10,IS,0.13614202087814742,1.2032627916843766,-0.12574303351300098,1.1349123569266797,1.3292876290545053,True,False,True,True,True,True,0.297146807983084,0.26892146062302813,0.6607139063089656,3.1423686864217064,
B136,AGG,1,10,OOS,0.10830431874640789,0.9922905034791962,-0.2064807658774318,1.1886953392106976,0.7880973512580854,False,False,True,True,False,True,0.19758344884212498,0.04131871362072537,-0.4185046033073764,0.15040490587668875,
B136,AGG,1,25,FULL,0.11865202781872775,1.0711808722240883,-0.20829013918842043,1.2907079349098538,0.866176060572484,False,False,True,True,False,True,0.3336342277780694,0.041261706142933674,-0.5994419344062307,1.2791822758680806,1.2683548927322614
B136,AGG,1,25,IS,0.1346937436174942,1.1917992429616677,-0.12626364651457223,1.1234026976611238,1.3175685923923892,True,False,True,True,True,True,0.2856371487175281,0.2572024239609121,0.608652606151841,2.9975409603563845,
B136,AGG,1,25,OOS,0.10563249831367938,0.9704991230544021,-0.20829013918842032,1.1707335358595077,0.762356149847969,False,False,True,True,False,False,0.17962164549093507,0.01557751221060888,-0.599441934406228,-0.11677713739616236,
