scope,cost,n,pass4a,pass4b,pass4b_oos,both
arms,0.0,69,1,7,8,0
picks,0.0,108,3,13,13,0
arms,10.0,69,1,7,7,0
picks,10.0,108,3,14,10,0
arms,25.0,69,1,4,5,0
picks,25.0,108,3,9,9,0
