flavour,etf_share,gross,cadence,premium,sd_seed,min,max,count,dCAGR
ALL36,0.0,0.5,M,-0.07835430747054051,0.08826442720311095,-0.21190596480762913,0.02660148689329178,6,-0.010576989110110513
ALL36,0.0,0.5,W,-0.08674093565476598,0.12625667905644988,-0.24435038387703145,0.07436479433977405,6,-0.013924131915222756
ALL36,0.0,0.75,M,-0.07781347720874758,0.08753072475566154,-0.20990120325102057,0.027549844551171043,6,-0.016329304911554487
ALL36,0.0,0.75,W,-0.08632184094801199,0.12618774931198892,-0.24374128135954143,0.07506574414648726,6,-0.021340021888982947
ALL36,0.0,1.0,M,-0.07712357589111112,0.08673868340511788,-0.20751900312899518,0.028635801976159447,6,-0.022366764589627202
ALL36,0.0,1.0,W,-0.08568548299022309,0.12614715831162798,-0.2428940692399646,0.07604319936576442,6,-0.028967083176894743
ALL36,0.25,0.5,M,-0.05239139194391642,0.06324710744895799,-0.11465072829983858,0.03648810574298578,6,-0.011523657081793296
ALL36,0.25,0.5,W,-0.10107967897997266,0.06130416899756569,-0.1647745048734961,-0.017035066792272957,6,-0.01821033688872546
ALL36,0.25,0.75,M,-0.050291372523600296,0.06321249643888883,-0.11403492464950316,0.038303467080453846,6,-0.017490821509845045
ALL36,0.25,0.75,W,-0.10080730966539286,0.06141248738137922,-0.16383065510336214,-0.0167168263883255,6,-0.02785764467953829
ALL36,0.25,1.0,M,-0.04784103742166235,0.06320270357230319,-0.11303480965185075,0.04049757445510216,6,-0.02352995944515468
ALL36,0.25,1.0,W,-0.10027287628634719,0.06152797466044692,-0.1625747963396481,-0.01612412683268527,6,-0.03776407126118797
ALL36,0.5,0.5,M,-0.08175865456958525,0.06875880446108192,-0.16805440600738109,0.03636345437826016,6,-0.012246987085207994
ALL36,0.5,0.5,W,-0.14446681709726153,0.08711551494247947,-0.2765792202688283,-0.048747381682798796,6,-0.020137493675393785
ALL36,0.5,0.75,M,-0.08064922373961246,0.06906224207496002,-0.166659972145364,0.03839661531649197,6,-0.01866261777258234
ALL36,0.5,0.75,W,-0.14479786076577406,0.08692670300230267,-0.27626288393646825,-0.04850654376661523,6,-0.030751096936046867
ALL36,0.5,1.0,M,-0.07924339190963538,0.06938442299923941,-0.1649611031993442,0.040756023310137945,6,-0.025230033144916342
ALL36,0.5,1.0,W,-0.14491516076760405,0.08674225427264272,-0.2757029534842814,-0.048054231921508817,6,-0.041647371965283154
ALL36,0.75,0.5,M,-0.04187805878492856,0.03760039162230981,-0.10153609884578307,0.004046217512829964,6,-0.00926279534512194
ALL36,0.75,0.5,W,-0.09988265176483774,0.05342702881372972,-0.18268346503809796,-0.023416064989577268,6,-0.015249497422118305
ALL36,0.75,0.75,M,-0.04012334420954724,0.037317734948225066,-0.0996995569053204,0.005354507785215734,6,-0.013876296852362024
ALL36,0.75,0.75,W,-0.10026353455406595,0.05324945209290976,-0.18296036976860186,-0.024075326550553333,6,-0.02306454114646206
ALL36,0.75,1.0,M,-0.03811979030030697,0.03704776444437734,-0.09765666397038986,0.0069041780257736995,6,-0.018434014112694852
ALL36,0.75,1.0,W,-0.10044809110478942,0.0530795162210142,-0.1830501885774608,-0.024527201594995218,6,-0.030935057899723024
ALL36,1.0,0.5,M,-0.12141214986606552,,-0.12141214986606552,-0.12141214986606552,1,-0.01214618568607162
ALL36,1.0,0.5,W,-0.20964378458605992,,-0.20964378458605992,-0.20964378458605992,1,-0.019398069886190195
ALL36,1.0,0.75,M,-0.11977483422377366,,-0.11977483422377366,-0.11977483422377366,1,-0.018301755845012924
ALL36,1.0,0.75,W,-0.21000551800902667,,-0.21000551800902667,-0.21000551800902667,1,-0.029351628527237272
ALL36,1.0,1.0,M,-0.11793324026229224,,-0.11793324026229224,-0.11793324026229224,1,-0.024477851599415068
ALL36,1.0,1.0,W,-0.21020542489601335,,-0.21020542489601335,-0.21020542489601335,1,-0.03941573063036041
EQ24,0.125,0.5,M,-0.12658742631795328,0.09679287723680427,-0.2090015856860814,0.01825593663177094,6,-0.012546478008654568
EQ24,0.125,0.5,W,-0.1377991740736614,0.06858195846975333,-0.20765509067944377,-0.04006837115215367,6,-0.016440810849023196
EQ24,0.125,0.75,M,-0.12477716855253052,0.09658505513320305,-0.20690719287603854,0.020325172981462192,6,-0.01943716434882296
EQ24,0.125,0.75,W,-0.13727641047012137,0.06846169346034069,-0.20727951560461488,-0.03965237117843934,6,-0.025495115333300362
EQ24,0.125,1.0,M,-0.12277381013367415,0.09631909454130957,-0.2044667167471167,0.0224308842919132,6,-0.026712089548618107
EQ24,0.125,1.0,W,-0.13648567299392778,0.06834997229795665,-0.20662843582351853,-0.038954687528388154,6,-0.0350334301103992
EQ24,0.25,0.5,M,-0.07182843247311221,0.06881852100412046,-0.13515878553370086,0.05168073279710539,6,-0.00969954428617803
EQ24,0.25,0.5,W,-0.09360239897315671,0.062469180053810455,-0.17679304354603853,-0.014810494345318226,6,-0.014115034060625456
EQ24,0.25,0.75,M,-0.06965639985231965,0.0693317775542203,-0.13512419534626163,0.05425609208475057,6,-0.014785369334241719
EQ24,0.25,0.75,W,-0.09278293228182959,0.06286805469002917,-0.1776513867831494,-0.014079722137310569,6,-0.021660701890897822
EQ24,0.25,1.0,M,-0.06721770367185387,0.06984832650545829,-0.1348123930900489,0.05705652174759823,6,-0.019966037621209336
EQ24,0.25,1.0,W,-0.09170373020068594,0.06334819173697635,-0.1784018370805205,-0.013048959653740866,6,-0.029430373929562752
EQ24,0.5,0.5,M,-0.17087260470505308,0.13807393806003407,-0.40121495560204457,0.02146305849511898,6,-0.016707926874166112
EQ24,0.5,0.5,W,-0.17029645136970215,0.08462606834655895,-0.3110838876371882,-0.09373833470522819,6,-0.02073087655956814
EQ24,0.5,0.75,M,-0.173210978783611,0.1430049169612468,-0.41368408856335803,0.023506768367761777,6,-0.02612902103218299
EQ24,0.5,0.75,W,-0.17087779019137392,0.08475179618050575,-0.31177561832279466,-0.0943697081344208,6,-0.032007376831552824
EQ24,0.5,1.0,M,-0.17589112956335237,0.14891328059184997,-0.4286062617505062,0.025881866829487565,6,-0.03633989163092418
EQ24,0.5,1.0,W,-0.17125325070575906,0.08492309916591155,-0.312305669039901,-0.09468885641709557,6,-0.043815184471330926
EQ24,0.667,0.5,M,-0.054157157540358804,0.09067087357524276,-0.1939028623960889,0.02730281480341734,6,-0.006813429240301372
EQ24,0.667,0.5,W,-0.09891224092173782,0.0814852229189449,-0.19020657048368517,0.05038136388448278,6,-0.013882264625195631
EQ24,0.667,0.75,M,-0.05282383082765627,0.0910520135537016,-0.19169247550691682,0.02976095860961081,6,-0.010291556822963085
EQ24,0.667,0.75,W,-0.09911288509989537,0.08147681484723847,-0.18994756267030433,0.05008497392898614,6,-0.0211844309839682
EQ24,0.667,1.0,M,-0.05117312960408884,0.09141451733851652,-0.1891107375707768,0.03241193696461919,6,-0.01374729919158472
EQ24,0.667,1.0,W,-0.09901817791173223,0.08149432315721149,-0.189375409495115,0.05009659123557819,6,-0.028626555800115232
NONEQ12,0.125,0.5,M,-0.08323266205050439,0.09436281909486458,-0.198527997856202,0.045324570955100896,6,-0.010817438579861949
NONEQ12,0.125,0.5,W,-0.11716033218870246,0.07159551162274759,-0.18322507846637237,0.006152388649606211,6,-0.01668724214105577
NONEQ12,0.125,0.75,M,-0.08143411127541372,0.09412295721396785,-0.1963338428645135,0.047167010588175184,6,-0.01661209244169763
NONEQ12,0.125,0.75,W,-0.1168528608752764,0.07136202379979506,-0.18292107106809619,0.006112333414090676,6,-0.02569799447947163
NONEQ12,0.125,1.0,M,-0.07940711843843891,0.09384180541604657,-0.19386535279311978,0.04912769401708483,6,-0.02263598738294263
NONEQ12,0.125,1.0,W,-0.11631939420825259,0.07112925555906652,-0.18234962256760645,0.006294175702393989,6,-0.03508736969818586
NONEQ12,0.25,0.5,M,-0.034524744486109836,0.06312044971491935,-0.11678657769878953,0.04162335610565071,6,-0.00954230039208385
NONEQ12,0.25,0.5,W,-0.10116275489248472,0.05343732511237116,-0.15293192650955878,-0.02605958235528738,6,-0.016919491562377004
NONEQ12,0.25,0.75,M,-0.032380082855071324,0.06298891230322287,-0.11470633671601949,0.04289146064035787,6,-0.014410680413136904
NONEQ12,0.25,0.75,W,-0.1004490489630835,0.05355965526045822,-0.15252835452006308,-0.025341978740412996,6,-0.025785690723295247
NONEQ12,0.25,1.0,M,-0.0299406664958722,0.06288810299532,-0.11238955354582969,0.0444992020405488,6,-0.019300709894049046
