sleeve,weighting,gross,cost,window,n,CAGR,Sharpe,MaxDD,H1,H2,vol,spySharpe,edge,turnover,L1_H1,L2_H2,L3_S,L4_DDcap,L5_CAGRfloor,pass4b,pass4a
ALL56,EW,0.05,0.0,FULL,4444,0.00875831731530563,1.1255967278359986,-0.01625211779320468,1.199579117309318,1.0662425063694132,0.007774144320602735,0.8845060132920908,0.24109071454390785,0.06549734977016806,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,IS,2007,0.008364088079718002,1.1128491838021815,-0.008768053031757872,1.039678396096655,1.29476453582944,0.0075101174803295775,0.8986386739891564,0.21421050981302503,0.06330577070488917,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,OOS,2437,0.00908310193282591,1.1361840882996015,-0.016252117793204457,1.280944109520564,0.9846482841901603,0.007986509300240112,0.8739575612872552,0.2622265270123463,0.06730223248827012,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,ISH1_HALF,1003,0.009309323579608453,1.039678396096655,-0.008768053031757872,1.461794440109826,0.545339127367192,0.008951279790785954,0.8377534152899397,0.20192498080671517,0.07157542578992131,True,False,True,True,False,False,True
ALL56,EW,0.05,0.0,ISH2_HALF,1004,0.0074206779568744,1.29476453582944,-0.00640899536670525,1.6346374385049025,1.0368789565873968,0.005722854495527987,1.0603109088217444,0.23445362700769556,0.055044352328109065,False,True,True,True,False,False,False
ALL56,EW,0.05,0.0,CAL0912,999,0.009069133405946728,1.0129367774039,-0.008768053031757872,1.4472835063345049,0.502015911598806,0.008952634241187453,0.8104611305183171,0.20247564688558284,0.07133575881923375,True,False,True,True,False,False,True
ALL56,EW,0.05,0.0,CAL0910,497,0.013989720421643259,1.4309620984491997,-0.008768053031757872,1.7188710062944832,1.0719270544416486,0.009742051289041017,1.0390922765109214,0.39186982193827835,0.07647929693812643,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,CAL1112,502,0.004221079168235553,0.5244524031287868,-0.008175122294776238,0.16449870231738994,1.1663374714878831,0.00809401426145848,0.5441043455968064,-0.0196519424680196,0.06624345115969259,False,False,False,True,False,False,True
ALL56,EW,0.05,0.0,CAL1316,1008,0.0076658238453490846,1.3338934254811015,-0.006408995366705916,1.795212691086819,0.9781730994130451,0.005737452662184374,1.101671080912679,0.2322223445684224,0.0553474789129941,False,True,True,True,False,False,False
ALL56,EW,0.05,0.0,Y2009,245,0.01896417854564514,1.6499517022057932,-0.008768053031757872,0.6956510364339823,3.773489844951854,0.011425973993238001,1.1866895086101603,0.4632621935956329,0.08897570672076147,True,True,True,True,False,False,True
ALL56,EW,0.05,0.0,Y2010,252,0.00917672494489219,1.1788014993996798,-0.005965740342901649,-0.39428327556114956,3.370500953178728,0.007774969696029533,0.8718097148012244,0.30699178459845544,0.06433000964945351,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,Y2011,252,0.0014016368693599013,0.14773225491501452,-0.008175122294776238,1.3532575622254872,-0.3942352146819141,0.009805214781633096,0.19671325116551447,-0.04898099625049995,0.07445504727948908,True,False,False,True,False,False,True
ALL56,EW,0.05,0.0,Y2012,250,0.0070711107058401,1.1967531442776163,-0.005335682035317979,1.3861541899720302,0.976877597286472,0.005902365943090414,1.237652695894811,-0.04089955161719483,0.0579661622709377,False,False,False,True,False,False,True
ALL56,EW,0.05,0.0,Y2013,252,0.01308800469520821,2.574683119448922,-0.0029063948714335153,1.9891893621519732,3.339440118749657,0.005055442075149186,2.5846791583532798,-0.00999603890435763,0.053297663757736355,False,True,False,True,False,False,False
ALL56,EW,0.05,0.0,Y2014,252,0.005202456495160712,1.0218357274421508,-0.0037837666940234715,1.9933593475730973,0.10519782365351334,0.0050907704536663385,1.1796547172746248,-0.157818989832474,0.049208280176173236,True,False,False,True,False,False,False
ALL56,EW,0.05,0.0,Y2015,252,0.0034459651507183775,0.5206223232690493,-0.005465878483315034,1.2111074266636455,0.0904384857632871,0.006649905131771733,0.15647338963609952,0.3641489336329498,0.06024478411466759,True,True,True,True,False,False,False
ALL56,EW,0.05,0.0,Y2016,252,0.008954104469159452,1.4854969705755108,-0.004614764382121828,1.2579873317594645,1.9394761480824956,0.0060130852880185695,0.932883861426454,0.5526131091490568,0.05863918760339923,True,True,True,True,False,False,True
ALL56,EW,0.1,0.0,FULL,4444,0.01753591536810739,1.1257025339335003,-0.03232137074375918,1.1998688999547726,1.0662172893450124,0.015550683145779376,0.8845060132920908,0.2411965206414095,0.12883903892587326,True,True,True,True,False,False,False
ALL56,EW,0.1,0.0,IS,2007,0.01674579646807528,1.1131528298307793,-0.017477919353101168,1.0400544467893278,1.2949425031003707,0.015020794556501653,0.8986386739891564,0.21451415584162292,0.12450668269211031,True,True,True,True,False,False,False
ALL56,EW,0.1,0.0,OOS,2437,0.01818708162680216,1.1361407950950244,-0.03232137074375885,1.2804447753534902,0.9850273200320427,0.0159768365694044,0.8739575612872552,0.2621832338077692,0.13240696627965343,True,True,True,True,False,False,False
ALL56,EW,0.1,0.0,ISH1_HALF,1003,0.01863060190358934,1.0400544467893278,-0.017477919353101168,1.4623425881189736,0.5455866548177383,0.017902863204531078,0.8377534152899397,0.20230103149938805,0.14051282348365313,True,False,True,True,False,False,True
ALL56,EW,0.1,0.0,ISH2_HALF,1004,0.014866350639237469,1.2949425031003707,-0.012796761241103849,1.6349788790411768,1.0369752449609042,0.011446700804762261,1.0603109088217444,0.23463159427862634,0.10851648427187383,False,True,True,True,False,False,False
ALL56,EW,0.1,0.0,CAL0912,999,0.018146272632236782,1.0133340176693684,-0.017477919353101168,1.4478397480127385,0.5023063380299992,0.017905629384180645,0.8104611305183171,0.20287288715105123,0.14005527864924297,True,False,True,True,False,False,True
ALL56,EW,0.1,0.0,CAL0910,497,0.028086446966873124,1.4315159707059757,-0.017477919353101168,1.71969334614128,1.0721208329150838,0.019482960402855097,1.0390922765109214,0.3924236941950543,0.14998261914083452,True,True,True,True,False,False,False
ALL56,EW,0.1,0.0,CAL1112,502,0.008399783700051122,0.5247421026435009,-0.01631933098438576,0.16476821742389683,1.1667753251827542,0.016190176635755546,0.5441043455968064,-0.019362242953305575,0.13022681605099395,False,False,False,True,False,False,True
ALL56,EW,0.1,0.0,CAL1316,1008,0.015359725217183096,1.334042493037082,-0.012796761241103738,1.79550406004699,0.9782778497901697,0.011475804130084501,1.101671080912679,0.23237141212440293,0.10909691348459491,False,True,True,True,False,False,False
ALL56,EW,0.1,0.0,Y2009,245,0.03816835504146732,1.6507861580625758,-0.017477919353101168,0.6974589336160641,3.7726628960785638,0.022850146685973363,1.1866895086101603,0.46409664945241547,0.17447701103851004,True,True,True,True,False,False,True
ALL56,EW,0.1,0.0,Y2010,252,0.018378466521055348,1.178978384045541,-0.011921749786078073,-0.3941184304567012,3.3709241413774866,0.015549651125808948,0.8718097148012244,0.30716866924431663,0.1261686270180945,True,True,True,True,False,False,False
ALL56,EW,0.1,0.0,Y2011,252,0.002714869074052606,0.14800127145156244,-0.01631933098438576,1.353076622210235,-0.39359460684707637,0.01961363767856378,0.19671325116551447,-0.048711979713952025,0.14581997516141343,True,False,False,True,False,False,True
