book,memo_g,keep4b_memo,n4b,band,span,edge,n4a,binder
K1,0.75,True,4,4,0.65-0.80,interior,0,CAGR
K2,0.75,True,5,5,0.65-0.85,interior,0,CAGR
K3,0.75,True,7,7,0.70-1.00,interior,0,CAGR
K4,1.0,True,3,3,0.90-1.00,EDGE,0,CAGR
K5,1.0,True,2,2,0.95-1.00,EDGE,0,CAGR
K6,0.75,True,4,4,0.60-0.75,EDGE,6,CAGR
K7,0.375,False,2,2,0.75-0.80,n/a,5,CAGR
K8,1.0,True,5,5,0.80-1.00,EDGE,0,CAGR
LIVE,0.75,False,2,2,0.95-1.00,n/a,0,CAGR
V1,0.75,False,0,0,none,n/a,0,H1
