panel,tau,mode,bps,kind,on_share,d_real,clears_two,clears_signed,band
U56,0.05,skip,10,ROT,0.882051282051282,-0.11533682366785225,False,False,0.28228154232112845
U56,0.05,skip,10,RS1,0.882051282051282,-0.11533682366785225,True,True,0.1119463478340007
U56,0.05,skip,10,RS2,0.882051282051282,-0.11533682366785225,False,False,0.11715063902296552
U56,0.05,skip,10,RS4,0.882051282051282,-0.11533682366785225,False,False,0.13295571963381048
U56,0.05,skip,10,RS8,0.882051282051282,-0.11533682366785225,False,True,0.144015540985724
U56,0.05,skip,10,RS16,0.882051282051282,-0.11533682366785225,False,False,0.17965753518933336
U56,0.05,skip,25,ROT,0.882051282051282,-0.022338160871479107,False,False,0.1922554129617554
U56,0.05,skip,25,RS1,0.882051282051282,-0.022338160871479107,False,True,0.16052305726343463
U56,0.05,skip,25,RS2,0.882051282051282,-0.022338160871479107,False,False,0.19339966966506195
U56,0.05,skip,25,RS4,0.882051282051282,-0.022338160871479107,False,False,0.16449830688338074
U56,0.05,skip,25,RS8,0.882051282051282,-0.022338160871479107,False,True,0.2353264342436503
U56,0.05,skip,25,RS16,0.882051282051282,-0.022338160871479107,False,False,0.18470045307290328
U56,0.05,half,10,ROT,0.882051282051282,0.009601001948608134,False,False,0.03715965468964644
U56,0.05,half,10,RS1,0.882051282051282,0.009601001948608134,False,False,0.038003794087722254
U56,0.05,half,10,RS2,0.882051282051282,0.009601001948608134,False,False,0.0380459321526998
U56,0.05,half,10,RS4,0.882051282051282,0.009601001948608134,False,False,0.03009105151223279
U56,0.05,half,10,RS8,0.882051282051282,0.009601001948608134,False,False,0.042463875302214626
U56,0.05,half,10,RS16,0.882051282051282,0.009601001948608134,False,False,0.035457238470825825
U56,0.05,half,25,ROT,0.882051282051282,0.04804448147720164,False,False,0.07472952156446344
U56,0.05,half,25,RS1,0.882051282051282,0.04804448147720164,False,False,0.0758408126482284
U56,0.05,half,25,RS2,0.882051282051282,0.04804448147720164,False,False,0.07568348168782713
U56,0.05,half,25,RS4,0.882051282051282,0.04804448147720164,False,False,0.06822151043956692
U56,0.05,half,25,RS8,0.882051282051282,0.04804448147720164,False,False,0.08058365759206221
U56,0.05,half,25,RS16,0.882051282051282,0.04804448147720164,False,False,0.07381896113540831
U56,0.1,skip,10,ROT,0.7056410256410256,0.005754783910255412,False,False,0.11008049281748333
U56,0.1,skip,10,RS1,0.7056410256410256,0.005754783910255412,False,False,0.09712962311026851
U56,0.1,skip,10,RS2,0.7056410256410256,0.005754783910255412,False,False,0.08206991047145351
U56,0.1,skip,10,RS4,0.7056410256410256,0.005754783910255412,False,False,0.13508400924437014
U56,0.1,skip,10,RS8,0.7056410256410256,0.005754783910255412,False,False,0.12723832134152724
U56,0.1,skip,10,RS16,0.7056410256410256,0.005754783910255412,False,False,0.1085270689965383
U56,0.1,skip,25,ROT,0.7056410256410256,0.07293466511266189,False,False,0.15467928181654833
U56,0.1,skip,25,RS1,0.7056410256410256,0.07293466511266189,False,False,0.16512509629458672
U56,0.1,skip,25,RS2,0.7056410256410256,0.07293466511266189,False,False,0.12927617790019585
U56,0.1,skip,25,RS4,0.7056410256410256,0.07293466511266189,False,False,0.20341517014579114
U56,0.1,skip,25,RS8,0.7056410256410256,0.07293466511266189,False,False,0.1393082426411847
U56,0.1,skip,25,RS16,0.7056410256410256,0.07293466511266189,False,False,0.17609653255485536
U56,0.1,half,10,ROT,0.7056410256410256,-0.0017488061139490085,False,False,0.0488031152261148
U56,0.1,half,10,RS1,0.7056410256410256,-0.0017488061139490085,False,False,0.03546007740902013
U56,0.1,half,10,RS2,0.7056410256410256,-0.0017488061139490085,False,False,0.030636242058877494
U56,0.1,half,10,RS4,0.7056410256410256,-0.0017488061139490085,False,True,0.03276220101569716
U56,0.1,half,10,RS8,0.7056410256410256,-0.0017488061139490085,False,False,0.03247126241837717
U56,0.1,half,10,RS16,0.7056410256410256,-0.0017488061139490085,False,False,0.026021012763521423
U56,0.1,half,25,ROT,0.7056410256410256,0.027570400139121487,False,False,0.07718971794116603
U56,0.1,half,25,RS1,0.7056410256410256,0.027570400139121487,False,False,0.06509634346221382
U56,0.1,half,25,RS2,0.7056410256410256,0.027570400139121487,False,False,0.0595022932986109
U56,0.1,half,25,RS4,0.7056410256410256,0.027570400139121487,False,False,0.06257730295014574
U56,0.1,half,25,RS8,0.7056410256410256,0.027570400139121487,False,False,0.06209730901537869
U56,0.1,half,25,RS16,0.7056410256410256,0.027570400139121487,False,False,0.05353572004584328
U56,0.2,skip,10,ROT,0.3384615384615385,0.011287804536451285,False,False,0.0699891786293032
U56,0.2,skip,10,RS1,0.3384615384615385,0.011287804536451285,False,False,0.08583744272177651
U56,0.2,skip,10,RS2,0.3384615384615385,0.011287804536451285,False,False,0.08074015087269548
U56,0.2,skip,10,RS4,0.3384615384615385,0.011287804536451285,False,False,0.09205922856058169
U56,0.2,skip,10,RS8,0.3384615384615385,0.011287804536451285,False,False,0.0909486909754893
U56,0.2,skip,10,RS16,0.3384615384615385,0.011287804536451285,False,False,0.09998706319334327
U56,0.2,skip,25,ROT,0.3384615384615385,0.03867174354974212,False,False,0.0851491308679353
U56,0.2,skip,25,RS1,0.3384615384615385,0.03867174354974212,False,False,0.06614412613291254
U56,0.2,skip,25,RS2,0.3384615384615385,0.03867174354974212,False,False,0.10046493774200127
U56,0.2,skip,25,RS4,0.3384615384615385,0.03867174354974212,False,False,0.10158767680571601
U56,0.2,skip,25,RS8,0.3384615384615385,0.03867174354974212,False,False,0.12053882372147862
U56,0.2,skip,25,RS16,0.3384615384615385,0.03867174354974212,False,False,0.09495926957301748
U56,0.2,half,10,ROT,0.3384615384615385,0.005275120793291066,False,False,0.03060498362040276
U56,0.2,half,10,RS1,0.3384615384615385,0.005275120793291066,False,False,0.04104443326739937
U56,0.2,half,10,RS2,0.3384615384615385,0.005275120793291066,False,False,0.034249593926197086
U56,0.2,half,10,RS4,0.3384615384615385,0.005275120793291066,False,False,0.022896753922578617
U56,0.2,half,10,RS8,0.3384615384615385,0.005275120793291066,False,False,0.040806055672733654
U56,0.2,half,10,RS16,0.3384615384615385,0.005275120793291066,False,False,0.031427999096012016
U56,0.2,half,25,ROT,0.3384615384615385,0.01798698253532849,False,False,0.04421967236442548
U56,0.2,half,25,RS1,0.3384615384615385,0.01798698253532849,False,False,0.05396481146706811
U56,0.2,half,25,RS2,0.3384615384615385,0.01798698253532849,False,False,0.04411060027247515
U56,0.2,half,25,RS4,0.3384615384615385,0.01798698253532849,False,False,0.03747210697985803
U56,0.2,half,25,RS8,0.3384615384615385,0.01798698253532849,False,False,0.055116560813311066
U56,0.2,half,25,RS16,0.3384615384615385,0.01798698253532849,False,False,0.044384763892781676
U56,0.3,skip,10,ROT,0.052307692307692305,-0.019991662991074355,False,False,0.048697054253834526
U56,0.3,skip,10,RS1,0.052307692307692305,-0.019991662991074355,False,False,0.04506490165307331
U56,0.3,skip,10,RS2,0.052307692307692305,-0.019991662991074355,False,False,0.03384204125395329
U56,0.3,skip,10,RS4,0.052307692307692305,-0.019991662991074355,False,True,0.022565870302686974
U56,0.3,skip,10,RS8,0.052307692307692305,-0.019991662991074355,False,False,0.030921655681664717
U56,0.3,skip,10,RS16,0.052307692307692305,-0.019991662991074355,False,False,0.05832073680865202
U56,0.3,skip,25,ROT,0.052307692307692305,-0.015872608108652098,False,False,0.04345847464750863
U56,0.3,skip,25,RS1,0.052307692307692305,-0.015872608108652098,False,False,0.03948769029026655
U56,0.3,skip,25,RS2,0.052307692307692305,-0.015872608108652098,False,False,0.03855246323671935
U56,0.3,skip,25,RS4,0.052307692307692305,-0.015872608108652098,False,True,0.026794853902225135
U56,0.3,skip,25,RS8,0.052307692307692305,-0.015872608108652098,False,False,0.034403600389828926
U56,0.3,skip,25,RS16,0.052307692307692305,-0.015872608108652098,False,False,0.052853832846124105
U56,0.3,half,10,ROT,0.052307692307692305,-0.009494920684260055,False,False,0.023301697328384385
U56,0.3,half,10,RS1,0.052307692307692305,-0.009494920684260055,False,False,0.0298508456384734
U56,0.3,half,10,RS2,0.052307692307692305,-0.009494920684260055,False,False,0.013589944732447234
U56,0.3,half,10,RS4,0.052307692307692305,-0.009494920684260055,False,False,0.013051214361755381
U56,0.3,half,10,RS8,0.052307692307692305,-0.009494920684260055,False,False,0.018107971926837774
U56,0.3,half,10,RS16,0.052307692307692305,-0.009494920684260055,False,False,0.020298925156620795
U56,0.3,half,25,ROT,0.052307692307692305,-0.0075543623709124486,False,False,0.02119178209735506
U56,0.3,half,25,RS1,0.052307692307692305,-0.0075543623709124486,False,False,0.02759448359055483
U56,0.3,half,25,RS2,0.052307692307692305,-0.0075543623709124486,False,False,0.011873504488950526
U56,0.3,half,25,RS4,0.052307692307692305,-0.0075543623709124486,False,False,0.012968742458760008
U56,0.3,half,25,RS8,0.052307692307692305,-0.0075543623709124486,False,False,0.02045954476895906
U56,0.3,half,25,RS16,0.052307692307692305,-0.0075543623709124486,False,False,0.01836221547540262
U56,0.5,skip,10,ROT,0.0041025641025641026,0.0019179439496423978,False,False,0.005366668348314674
U56,0.5,skip,10,RS1,0.0041025641025641026,0.0019179439496423978,False,False,0.011561546783904753
U56,0.5,skip,10,RS2,0.0041025641025641026,0.0019179439496423978,False,False,0.007502178088318212
U56,0.5,skip,10,RS4,0.0041025641025641026,0.0019179439496423978,False,False,0.00805651013533959
