percentile,claim_set,n,gap_fires,pboot_fires,agree,kappa,gap_OOS,pboot_OOS,anchor_OOS,allpicks_OOS,gap_minus_pboot,gap_minus_anchor,t_gap_vs_anchor,mean_d_fire,gap_4a,gap_4b,pboot_4a,pboot_4b
50.0,CS_ALL,72,18,16,0.6944444444444444,0.15384615384615363,0.8295543549639839,0.8254090877577643,0.82677225429474,0.8357236643069704,0.0041452672062195495,0.002782100669243825,0.3350032917058147,0.0111284026769753,0,19,0,19
50.0,CS_SHARPE,24,5,3,0.75,0.11111111111111147,0.8371376029877785,0.827275842661428,0.8267722542947401,0.8403061916687328,0.009861760326350555,0.010365348693038269,0.6672954742392349,0.049753673726583694,0,8,0,7
50.0,CS_LARGE,48,8,13,0.6875,0.09999999999999996,0.9734956114065603,0.9782066826738394,0.9802785049729764,0.9817896690534226,-0.004711071267279099,-0.006782893566416134,-1.1624145278486449,-0.040697361398496806,0,19,0,19
50.0,CS_NODEG,54,12,2,0.7777777777777778,0.08474576271186447,0.8304547001749312,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.005565402076924575,0.0036824458801910922,0.331894490934919,0.016571006460859915,0,14,0,17
75.0,CS_ALL,72,1,16,0.7638888888888888,-0.02684563758389323,0.8276387100154783,0.8254090877577643,0.82677225429474,0.8357236643069704,0.002229622257713948,0.0008664557207381488,1.0,0.06238481189314671,0,23,0,19
75.0,CS_SHARPE,24,0,3,0.875,0.0,0.8267722542947401,0.827275842661428,0.8267722542947401,0.8403061916687328,-0.000503588366687846,0.0,,,0,8,0,7
75.0,CS_LARGE,48,1,13,0.7083333333333334,-0.040247678018576226,0.9815781885540836,0.9782066826738394,0.9802785049729764,0.9817896690534226,0.0033715058802442632,0.0012996835811072231,1.0,0.06238481189314671,0,23,0,19
75.0,CS_NODEG,54,1,2,0.9444444444444444,-0.0253164556962038,0.8279275285890575,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.0030382304910508973,0.0011552742943175317,1.0,0.06238481189314671,0,17,0,17
90.0,CS_ALL,72,0,16,0.7777777777777778,0.0,0.82677225429474,0.8254090877577643,0.82677225429474,0.8357236643069704,0.0013631665369756574,0.0,,,0,24,0,19
90.0,CS_SHARPE,24,0,3,0.875,0.0,0.8267722542947401,0.827275842661428,0.8267722542947401,0.8403061916687328,-0.000503588366687846,0.0,,,0,8,0,7
90.0,CS_LARGE,48,0,13,0.7291666666666666,-4.099285014000579e-16,0.9802785049729764,0.9782066826738394,0.9802785049729764,0.9817896690534226,0.0020718222991370494,0.0,,,0,24,0,19
90.0,CS_NODEG,54,0,2,0.9629629629629629,-2.9976021664879274e-15,0.8267722542947399,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.0018829561967332875,0.0,,,0,18,0,17
95.0,CS_ALL,72,0,16,0.7777777777777778,0.0,0.82677225429474,0.8254090877577643,0.82677225429474,0.8357236643069704,0.0013631665369756574,0.0,,,0,24,0,19
95.0,CS_SHARPE,24,0,3,0.875,0.0,0.8267722542947401,0.827275842661428,0.8267722542947401,0.8403061916687328,-0.000503588366687846,0.0,,,0,8,0,7
95.0,CS_LARGE,48,0,13,0.7291666666666666,-4.099285014000579e-16,0.9802785049729764,0.9782066826738394,0.9802785049729764,0.9817896690534226,0.0020718222991370494,0.0,,,0,24,0,19
95.0,CS_NODEG,54,0,2,0.9629629629629629,-2.9976021664879274e-15,0.8267722542947399,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.0018829561967332875,0.0,,,0,18,0,17
97.5,CS_ALL,72,0,16,0.7777777777777778,0.0,0.82677225429474,0.8254090877577643,0.82677225429474,0.8357236643069704,0.0013631665369756574,0.0,,,0,24,0,19
97.5,CS_SHARPE,24,0,3,0.875,0.0,0.8267722542947401,0.827275842661428,0.8267722542947401,0.8403061916687328,-0.000503588366687846,0.0,,,0,8,0,7
97.5,CS_LARGE,48,0,13,0.7291666666666666,-4.099285014000579e-16,0.9802785049729764,0.9782066826738394,0.9802785049729764,0.9817896690534226,0.0020718222991370494,0.0,,,0,24,0,19
97.5,CS_NODEG,54,0,2,0.9629629629629629,-2.9976021664879274e-15,0.8267722542947399,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.0018829561967332875,0.0,,,0,18,0,17
99.0,CS_ALL,72,0,16,0.7777777777777778,0.0,0.82677225429474,0.8254090877577643,0.82677225429474,0.8357236643069704,0.0013631665369756574,0.0,,,0,24,0,19
99.0,CS_SHARPE,24,0,3,0.875,0.0,0.8267722542947401,0.827275842661428,0.8267722542947401,0.8403061916687328,-0.000503588366687846,0.0,,,0,8,0,7
99.0,CS_LARGE,48,0,13,0.7291666666666666,-4.099285014000579e-16,0.9802785049729764,0.9782066826738394,0.9802785049729764,0.9817896690534226,0.0020718222991370494,0.0,,,0,24,0,19
99.0,CS_NODEG,54,0,2,0.9629629629629629,-2.9976021664879274e-15,0.8267722542947399,0.8248892980980066,0.8267722542947399,0.8387006170864676,0.0018829561967332875,0.0,,,0,18,0,17
