claimset,window,n,old,retired,share
COMMITTED,FULL,25,18,18,1.0
COMMITTED,IS,129,105,105,1.0
COMMITTED,OOS,539,451,451,1.0
ALL,FULL,220,209,209,1.0
ALL,IS,132,108,108,1.0
ALL,OOS,545,457,457,1.0
