con,gate,cad,band,total_cost_pp,timing_cost_pp,turnover_cost_pp
RESPREAD,MA,W,0.0,3.7338547724387494,2.8191324608499047,0.9147223115888448
RESPREAD,MA,W,0.02,2.989980674962789,2.2542398729604063,0.7357408020023826
RESPREAD,MA,W,0.03,2.8887693763884226,2.2463933301995365,0.6423760461888861
RESPREAD,MA,W,0.05,1.908725331912553,1.4133018572755285,0.4954234746370245
RESPREAD,MA,W,0.08,1.776174299609079,1.4202311157066383,0.35594318390244073
RESPREAD,MA,W,0.12,0.9430739414260758,0.6939758838798937,0.24909805754618208
RESPREAD,MA,M,0.0,1.1349319244493783,0.7341814369101751,0.40075048753920317
RESPREAD,MA,M,0.02,0.8607880735561624,0.47086747593345635,0.38992059762270603
RESPREAD,MA,M,0.03,0.683921129460896,0.30184390011889217,0.38207722934200383
RESPREAD,MA,M,0.05,0.08612968540280264,-0.2650360978771582,0.35116578327996084
RESPREAD,MA,M,0.08,0.0849759645291881,-0.20098115831210794,0.28595712284129604
RESPREAD,MA,M,0.12,-0.21251069736702988,-0.42811392691655126,0.21560322954952138
RESPREAD,MA,Q,0.0,1.1354419650740244,0.9275181464587279,0.20792381861529652
RESPREAD,MA,Q,0.02,0.5709644954037918,0.36284250285905095,0.20812199254474084
RESPREAD,MA,Q,0.03,0.1262372836076553,-0.08071666446418657,0.20695394807184186
RESPREAD,MA,Q,0.05,-0.20520158672399091,-0.4106865659956771,0.20548497927168619
RESPREAD,MA,Q,0.08,-0.32880760702649336,-0.517960015758856,0.1891524087323626
RESPREAD,MA,Q,0.12,-0.23629351341452054,-0.39464950651486586,0.15835599310034532
RESPREAD,MAVOL,W,0.0,6.55571356283231,5.352757872935676,1.2029556898966343
RESPREAD,MAVOL,W,0.02,5.888622592889958,4.873505396421329,1.015117196468629
RESPREAD,MAVOL,W,0.03,5.8798727879115775,4.9570112341998485,0.9228615537117291
RESPREAD,MAVOL,W,0.05,5.395472061332263,4.617575480823444,0.7778965805088189
RESPREAD,MAVOL,W,0.08,4.858993641454767,4.207406402349556,0.6515872391052113
RESPREAD,MAVOL,W,0.12,4.132243248085166,3.584397850315524,0.5478453977696418
RESPREAD,MAVOL,M,0.0,4.173101618396946,3.61463383372993,0.5584677846670161
RESPREAD,MAVOL,M,0.02,3.8910263278025603,3.342475856860627,0.5485504709419331
