k_w,k_n,n_kept,P_orient,median,L90,U90,L95,U95,point_bar_vs_band
2,4,320380,0.21358666666666667,2.652453690542322,1.8834274993987592,6.671091129950564,1.8534602214526226,8.540706841301395,BELOW the band
2,6,181167,0.120778,2.9160398675116785,2.294548313315023,5.527887670419951,2.27011533336665,6.523777744778275,BELOW the band
2,10,82848,0.055232,3.2684910664882887,2.7667497083275174,5.1412534498144,2.747042664347225,5.731096362582734,BELOW the band
4,2,1178923,0.7859486666666666,1.508861785346586,0.6114280369342575,16.208481983546587,0.5794834092566273,32.57213922885693,inside the band
4,6,515470,0.34364666666666666,1.6580260130611193,1.262946288733589,3.2230275908369728,1.2468528614281171,3.7994213537882415,BELOW the band
4,10,288647,0.19243133333333334,1.827275157204402,1.5202135118361115,2.922201937234603,1.5074713529232366,3.2688624358637406,BELOW the band
6,2,1318222,0.8788146666666666,1.34305897535513,0.5116406044377851,14.495702671606923,0.47845813638593043,29.109959192906462,inside the band
6,4,984029,0.6560193333333333,1.3161713601861529,0.8524631309773952,3.4408823126913575,0.8323714368484606,4.4028814734013935,inside the band
6,10,475068,0.316712,1.5114953990009496,1.237334379838464,2.443126287020432,1.225642503477488,2.7340514903233877,BELOW the band
10,2,1417104,0.944736,1.244574910248843,0.44537820470677936,13.497735646135562,0.4080938801820947,27.099128006852567,inside the band
10,4,1210518,0.807012,1.1690258823568596,0.7148426217232922,3.0940355381501976,0.6921264259851043,3.9637956447850042,inside the band
10,6,1025218,0.6834786666666667,1.2076534492586362,0.8571263858587922,2.414812849844315,0.840388150756544,2.8476856345932773,inside the band
