panel,block_L,seeds,spacing,n_rungs,full_argmax,P_argmax_equals_full,modal_argmax,P_modal,width90_rungs,width90_set,width90_mass,peak_minus_runnerup_pp,runner_up,P_argmax_5,P_argmax_12,dist
U56,21,5,FULL9,9,12,0.56,12,0.56,4,5;8;10;12,0.9510000000000001,1.2674899626082592,5,0.36,0.56,5:0.360;8:0.015;10:0.016;12:0.560;15:0.014;20:0.035;25:0.000;30:0.000;40:0.000
U56,21,5,ALT5,5,5,0.64,5,0.64,3,5;10;15,0.9590000000000001,0.5528997750939846,10,0.64,,5:0.640;10:0.139;15:0.180;25:0.041;40:0.000
U56,21,5,COARSE3,3,5,0.717,5,0.717,2,5;15,0.9989999999999999,1.5026011197629918,15,0.717,,5:0.717;15:0.282;40:0.001
U56,21,10,FULL9,9,5,0.487,5,0.487,5,5;8;10;12;15,0.9220000000000002,0.39476478111254476,12,0.487,0.322,5:0.487;8:0.013;10:0.044;12:0.322;15:0.056;20:0.076;25:0.002;30:0.000;40:0.000
U56,21,10,ALT5,5,5,0.618,5,0.618,3,5;10;15,0.971,0.6462332558380695,10,0.618,,5:0.618;10:0.129;15:0.224;25:0.029;40:0.000
U56,21,10,COARSE3,3,5,0.677,5,0.677,2,5;15,1.0,1.3458802039619915,15,0.677,,5:0.677;15:0.323;40:0.000
U56,21,20,FULL9,9,12,0.319,5,0.406,5,5;8;10;12;15,0.915,0.02281432684916318,10,0.406,0.319,5:0.406;8:0.027;10:0.102;12:0.319;15:0.061;20:0.085;25:0.000;30:0.000;40:0.000
U56,21,20,ALT5,5,10,0.24,5,0.5,3,5;10;15,0.99,0.4313105520502347,5,0.5,,5:0.500;10:0.240;15:0.250;25:0.010;40:0.000
U56,21,20,COARSE3,3,5,0.608,5,0.608,2,5;15,1.0,0.5553661701614088,15,0.608,,5:0.608;15:0.392;40:0.000
U56,21,40,FULL9,9,12,0.41,12,0.41,4,5;8;10;12,0.9179999999999999,0.6147480896236512,10,0.38,0.41,5:0.380;8:0.038;10:0.090;12:0.410;15:0.028;20:0.054;25:0.000;30:0.000;40:0.000
U56,21,40,ALT5,5,10,0.294,5,0.492,3,5;10;15,0.994,0.2550469135098714,5,0.492,,5:0.492;10:0.294;15:0.208;25:0.006;40:0.000
U56,21,40,COARSE3,3,5,0.62,5,0.62,2,5;15,1.0,0.735186279996114,15,0.62,,5:0.620;15:0.380;40:0.000
U56,63,5,FULL9,9,12,0.546,12,0.546,4,5;8;10;12,0.9410000000000001,1.2674899626082592,5,0.362,0.546,5:0.362;8:0.015;10:0.018;12:0.546;15:0.008;20:0.048;25:0.001;30:0.002;40:0.000
U56,63,5,ALT5,5,5,0.635,5,0.635,3,5;10;15,0.9440000000000001,0.5528997750939846,10,0.635,,5:0.635;10:0.154;15:0.155;25:0.056;40:0.000
U56,63,5,COARSE3,3,5,0.731,5,0.731,2,5;15,1.0,1.5026011197629918,15,0.731,,5:0.731;15:0.269;40:0.000
U56,63,10,FULL9,9,5,0.517,5,0.517,5,5;8;10;12;15,0.9080000000000001,0.39476478111254476,12,0.517,0.281,5:0.517;8:0.011;10:0.052;12:0.281;15:0.047;20:0.086;25:0.006;30:0.000;40:0.000
U56,63,10,ALT5,5,5,0.625,5,0.625,3,5;10;15,0.9690000000000001,0.6462332558380695,10,0.625,,5:0.625;10:0.143;15:0.201;25:0.031;40:0.000
U56,63,10,COARSE3,3,5,0.705,5,0.705,2,5;15,1.0,1.3458802039619915,15,0.705,,5:0.705;15:0.295;40:0.000
U56,63,20,FULL9,9,12,0.286,5,0.423,5,5;8;10;12;15,0.9119999999999999,0.02281432684916318,10,0.423,0.286,5:0.423;8:0.049;10:0.098;12:0.286;15:0.056;20:0.087;25:0.001;30:0.000;40:0.000
U56,63,20,ALT5,5,10,0.248,5,0.513,3,5;10;15,0.987,0.4313105520502347,5,0.513,,5:0.513;10:0.248;15:0.226;25:0.013;40:0.000
U56,63,20,COARSE3,3,5,0.619,5,0.619,2,5;15,1.0,0.5553661701614088,15,0.619,,5:0.619;15:0.381;40:0.000
U56,63,40,FULL9,9,12,0.378,5,0.39,4,5;8;10;12,0.918,0.6147480896236512,10,0.39,0.378,5:0.390;8:0.055;10:0.095;12:0.378;15:0.014;20:0.068;25:0.000;30:0.000;40:0.000
U56,63,40,ALT5,5,10,0.3,5,0.497,3,5;10;15,0.9949999999999999,0.2550469135098714,5,0.497,,5:0.497;10:0.300;15:0.198;25:0.005;40:0.000
U56,63,40,COARSE3,3,5,0.638,5,0.638,2,5;15,1.0,0.735186279996114,15,0.638,,5:0.638;15:0.362;40:0.000
U56,126,5,FULL9,9,12,0.542,12,0.542,4,5;8;10;12,0.9410000000000001,1.2674899626082592,5,0.37,0.542,5:0.370;8:0.007;10:0.022;12:0.542;15:0.007;20:0.051;25:0.001;30:0.000;40:0.000
U56,126,5,ALT5,5,5,0.623,5,0.623,3,5;10;15,0.946,0.5528997750939846,10,0.623,,5:0.623;10:0.150;15:0.173;25:0.054;40:0.000
U56,126,5,COARSE3,3,5,0.698,5,0.698,2,5;15,1.0,1.5026011197629918,15,0.698,,5:0.698;15:0.302;40:0.000
U56,126,10,FULL9,9,5,0.521,5,0.521,6,5;8;10;12;15;20,0.998,0.39476478111254476,12,0.521,0.286,5:0.521;8:0.004;10:0.044;12:0.286;15:0.040;20:0.103;25:0.002;30:0.000;40:0.000
U56,126,10,ALT5,5,5,0.609,5,0.609,3,5;10;15,0.971,0.6462332558380695,10,0.609,,5:0.609;10:0.154;15:0.208;25:0.029;40:0.000
U56,126,10,COARSE3,3,5,0.681,5,0.681,2,5;15,1.0,1.3458802039619915,15,0.681,,5:0.681;15:0.319;40:0.000
U56,126,20,FULL9,9,12,0.291,5,0.432,6,5;8;10;12;15;20,1.0,0.02281432684916318,10,0.432,0.291,5:0.432;8:0.027;10:0.095;12:0.291;15:0.044;20:0.111;25:0.000;30:0.000;40:0.000
U56,126,20,ALT5,5,10,0.241,5,0.503,3,5;10;15,0.992,0.4313105520502347,5,0.503,,5:0.503;10:0.241;15:0.248;25:0.008;40:0.000
U56,126,20,COARSE3,3,5,0.612,5,0.612,2,5;15,1.0,0.5553661701614088,15,0.612,,5:0.612;15:0.388;40:0.000
U56,126,40,FULL9,9,12,0.393,5,0.397,4,5;8;10;12,0.908,0.6147480896236512,10,0.397,0.393,5:0.397;8:0.033;10:0.085;12:0.393;15:0.015;20:0.077;25:0.000;30:0.000;40:0.000
U56,126,40,ALT5,5,10,0.298,5,0.485,3,5;10;15,0.9969999999999999,0.2550469135098714,5,0.485,,5:0.485;10:0.298;15:0.214;25:0.003;40:0.000
U56,126,40,COARSE3,3,5,0.626,5,0.626,2,5;15,1.0,0.735186279996114,15,0.626,,5:0.626;15:0.374;40:0.000
B136,21,5,FULL9,9,10,0.753,10,0.753,3,5;8;10,0.9,2.1978558382447,15,0.129,0.001,5:0.129;8:0.018;10:0.753;12:0.001;15:0.082;20:0.016;25:0.000;30:0.001;40:0.000
B136,21,5,ALT5,5,10,0.772,10,0.772,2,5;10,0.908,2.1978558382447,15,0.136,,5:0.136;10:0.772;15:0.089;25:0.002;40:0.001
B136,21,5,COARSE3,3,15,0.591,15,0.591,2,5;15,0.997,1.6489919000929554,5,0.406,,5:0.406;15:0.591;40:0.003
B136,21,10,FULL9,9,10,0.804,10,0.804,3,5;8;10,0.905,1.879516250284297,15,0.1,0.005,5:0.100;8:0.001;10:0.804;12:0.005;15:0.081;20:0.005;25:0.004;30:0.000;40:0.000
B136,21,10,ALT5,5,10,0.809,10,0.809,2,5;10,0.91,1.879516250284297,15,0.101,,5:0.101;10:0.809;15:0.086;25:0.004;40:0.000
B136,21,10,COARSE3,3,15,0.654,15,0.654,2,5;15,0.999,1.623257924169386,5,0.345,,5:0.345;15:0.654;40:0.001
B136,21,20,FULL9,9,10,0.769,10,0.769,5,5;8;10;12;15,0.992,1.673730587344048,15,0.108,0.013,5:0.108;8:0.000;10:0.769;12:0.013;15:0.102;20:0.002;25:0.006;30:0.000;40:0.000
B136,21,20,ALT5,5,10,0.777,10,0.777,3,5;10;15,0.992,1.673730587344048,15,0.108,,5:0.108;10:0.777;15:0.107;25:0.008;40:0.000
B136,21,20,COARSE3,3,15,0.693,15,0.693,2,5;15,1.0,1.5071073320249369,5,0.307,,5:0.307;15:0.693;40:0.000
B136,21,40,FULL9,9,10,0.738,10,0.738,5,5;8;10;12;15,0.991,1.4900899502236493,15,0.147,0.011,5:0.147;8:0.002;10:0.738;12:0.011;15:0.093;20:0.002;25:0.007;30:0.000;40:0.000
B136,21,40,ALT5,5,10,0.744,10,0.744,3,5;10;15,0.991,1.4900899502236493,15,0.15,,5:0.150;10:0.744;15:0.097;25:0.009;40:0.000
B136,21,40,COARSE3,3,15,0.627,15,0.627,2,5;15,1.0,1.1166824958957493,5,0.373,,5:0.373;15:0.627;40:0.000
B136,63,5,FULL9,9,10,0.738,10,0.738,5,5;8;10;12;15,0.969,2.1978558382447,15,0.134,0.0,5:0.134;8:0.022;10:0.738;12:0.000;15:0.075;20:0.027;25:0.002;30:0.000;40:0.002
B136,63,5,ALT5,5,10,0.767,10,0.767,2,5;10,0.906,2.1978558382447,15,0.139,,5:0.139;10:0.767;15:0.087;25:0.005;40:0.002
B136,63,5,COARSE3,3,15,0.561,15,0.561,2,5;15,0.9930000000000001,1.6489919000929554,5,0.432,,5:0.432;15:0.561;40:0.007
B136,63,10,FULL9,9,10,0.798,10,0.798,4,10;12;15;20,0.9,1.879516250284297,15,0.097,0.002,5:0.097;8:0.001;10:0.798;12:0.002;15:0.095;20:0.005;25:0.001;30:0.001;40:0.000
B136,63,10,ALT5,5,10,0.804,10,0.804,2,5;10,0.901,1.879516250284297,15,0.097,,5:0.097;10:0.804;15:0.097;25:0.002;40:0.000
