subset,n,predictor,spearman,sign_acc,MAE,skill_vs_naive
IN OOS-window,486,A_NAIVE,,0.8395061728395061,2.6070266589467637,0.0
IN OOS-window,486,B_SHARE,0.38323282493236777,0.5493827160493827,2.5099879860720744,0.03722197183587406
IN OOS-window,486,C_SHARExD,0.26566984856980985,0.6358024691358025,2.4062504775989018,0.07701347458754992
IN OOS-window,486,D_BOUND,0.4345530267292355,0.8395061728395061,4.159591946638484,-0.5955310362338049
OUT OOS-window,648,A_NAIVE,,0.9151234567901234,3.4836149184890597,0.0
OUT OOS-window,648,B_SHARE,0.2880341577654632,0.7870370370370371,3.1243304583412805,0.10313552690364836
OUT OOS-window,648,C_SHARExD,0.07498633497735523,0.6820987654320988,3.0549712631216837,0.12304564809743401
OUT OOS-window,648,D_BOUND,0.42992644852466316,0.9151234567901234,4.714687199043816,-0.35338931235508264
OUT OOS-window minus TOP5/TOP40,486,A_NAIVE,,0.9403292181069959,3.955174316641792,0.0
OUT OOS-window minus TOP5/TOP40,486,B_SHARE,0.32045202340387835,0.8600823045267489,3.5195012354175437,0.1101526876808211
OUT OOS-window minus TOP5/TOP40,486,C_SHARExD,0.0022443454392234337,0.6810699588477366,3.4703471523442,0.12258047951455209
OUT OOS-window minus TOP5/TOP40,486,D_BOUND,0.5694344436157367,0.9403292181069959,4.264703987234929,-0.07825942570742339
