panel,reading,cohort,leg,unit,n,n_blobs,v_head,v_mean,v_sd,v_min,v_max,v_spread,n_neg,head_over_spread
BROAD,V_RAW,V_ALL,m4b_H1,Sharpe,13,4,0.32424057,0.32768063,0.00219551,0.32424057,0.33037873,0.00613817,0,52.82367953
BROAD,V_RAW,V_ALL,m4b_H2,Sharpe,13,4,0.07167483,0.06699641,0.00666997,0.05406713,0.07332477,0.01925764,0,3.72189035
BROAD,V_RAW,V_ALL,m4b_OOS,Sharpe,13,4,0.14410262,0.13904256,0.00780350,0.12532349,0.14710722,0.02178373,0,6.61514929
BROAD,V_RAW,V_ALL,m4b_DD,pp,13,4,-0.51061565,-0.51072147,0.00003055,-0.51073028,-0.51061565,0.00011464,13,-4454.20862822
BROAD,V_RAW,V_ALL,m4b_CAGR,pp,13,4,5.47386173,5.49008611,0.07229499,5.36387828,5.57043707,0.20655879,0,26.50026075
BROAD,V_RAW,V_ALL,m4a_H1,Sharpe,13,4,0.05170180,0.05408706,0.00091740,0.05170180,0.05503240,0.00333060,0,15.52326741
BROAD,V_RAW,V_ALL,m4a_H2,Sharpe,13,4,-0.07034978,-0.07884170,0.01148323,-0.09714231,-0.06657937,0.03056294,13,-2.30180026
BROAD,V_RAW,V_ALL,m4a_DD,pp,13,4,-8.49911851,-8.49940477,0.00012274,-8.49950860,-8.49911851,0.00039009,13,-21787.33860562
BROAD,V_RAW,V_ALL,full_Sharpe,level,13,4,1.06537201,1.06853686,0.00282239,1.06365032,1.07153489,0.00788458,-1,135.12102225
BROAD,V_RAW,V_ALL,full_CAGR,level,13,4,0.16059882,0.16129875,0.00051859,0.16043978,0.16184810,0.00140832,-1,114.03564089
BROAD,V_RAW,V_ALL,full_MaxDD,level,13,4,-0.20740188,-0.20740293,0.00000031,-0.20740302,-0.20740188,0.00000115,-1,-180921.05734243
BROAD,V_RAW,V_ALL,oos_Sharpe,level,13,4,1.01795376,1.01893811,0.00480467,1.00993607,1.02401507,0.01407900,-1,72.30298244
BROAD,V_RAW,V_POSTFIX,m4b_H1,Sharpe,12,4,0.32424057,0.32780071,0.00224376,0.32424057,0.33037873,0.00613817,0,52.82367953
BROAD,V_RAW,V_POSTFIX,m4b_H2,Sharpe,12,4,0.07167483,0.06807385,0.00575365,0.05406713,0.07332477,0.01925764,0,3.72189035
BROAD,V_RAW,V_POSTFIX,m4b_OOS,Sharpe,12,4,0.14410262,0.14018581,0.00699841,0.12532349,0.14710722,0.02178373,0,6.61514929
BROAD,V_RAW,V_POSTFIX,m4b_DD,pp,12,4,-0.51061565,-0.51072073,0.00003168,-0.51073028,-0.51061565,0.00011464,12,-4454.20862822
BROAD,V_RAW,V_POSTFIX,m4b_CAGR,pp,12,4,5.47386173,5.50060343,0.06499331,5.36387828,5.57043707,0.20655879,0,26.50026075
BROAD,V_RAW,V_POSTFIX,m4a_H1,Sharpe,12,4,0.05170180,0.05411569,0.00094927,0.05170180,0.05503240,0.00333060,0,15.52326741
BROAD,V_RAW,V_POSTFIX,m4a_H2,Sharpe,12,4,-0.07034978,-0.07731665,0.01061217,-0.09714231,-0.06657937,0.03056294,12,-2.30180026
BROAD,V_RAW,V_POSTFIX,m4a_DD,pp,12,4,-8.49911851,-8.49939612,0.00012389,-8.49950860,-8.49911851,0.00039009,12,-21787.33860562
BROAD,V_RAW,V_POSTFIX,full_Sharpe,level,12,4,1.06537201,1.06894407,0.00254441,1.06365032,1.07153489,0.00788458,-1,135.12102225
BROAD,V_RAW,V_POSTFIX,full_CAGR,level,12,4,0.16059882,0.16137033,0.00047406,0.16043978,0.16184810,0.00140832,-1,114.03564089
BROAD,V_RAW,V_POSTFIX,full_MaxDD,level,12,4,-0.20740188,-0.20740293,0.00000032,-0.20740302,-0.20740188,0.00000115,-1,-180921.05734243
BROAD,V_RAW,V_POSTFIX,oos_Sharpe,level,12,4,1.01795376,1.01968828,0.00420628,1.00993607,1.02401507,0.01407900,-1,72.30298244
BROAD,V_TRUNC,V_ALL,m4b_H1,Sharpe,13,4,0.32128737,0.32560524,0.00128640,0.32128737,0.32624693,0.00495957,0,64.78131594
BROAD,V_TRUNC,V_ALL,m4b_H2,Sharpe,13,4,0.05408584,0.05407514,0.00000856,0.05406713,0.05408584,0.00001871,0,2891.03749988
BROAD,V_TRUNC,V_ALL,m4b_OOS,Sharpe,13,4,0.12540762,0.12536089,0.00004110,0.12532258,0.12540762,0.00008505,0,1474.58304899
BROAD,V_TRUNC,V_ALL,m4b_DD,pp,13,4,-0.51061565,-0.51072147,0.00003055,-0.51073028,-0.51061565,0.00011464,13,-4454.20862822
BROAD,V_TRUNC,V_ALL,m4b_CAGR,pp,13,4,5.29319612,5.35847663,0.01884487,5.29319612,5.36392728,0.07073116,0,74.83542601
BROAD,V_TRUNC,V_ALL,m4a_H1,Sharpe,13,4,0.04784258,0.05283685,0.00154954,0.04784258,0.05375620,0.00591361,0,8.09024386
BROAD,V_TRUNC,V_ALL,m4a_H2,Sharpe,13,4,-0.09719301,-0.09711926,0.00003918,-0.09719301,-0.09707262,0.00012039,13,-807.28560293
BROAD,V_TRUNC,V_ALL,m4a_DD,pp,13,4,-8.49911851,-8.49940477,0.00012274,-8.49950860,-8.49911851,0.00039009,13,-21787.33860562
BROAD,V_TRUNC,V_ALL,full_Sharpe,level,13,4,1.06091299,1.06336161,0.00071376,1.06091299,1.06365375,0.00274076,-1,387.08693152
BROAD,V_TRUNC,V_ALL,full_CAGR,level,13,4,0.15973295,0.16038576,0.00018845,0.15973295,0.16044027,0.00070731,-1,225.83111129
BROAD,V_TRUNC,V_ALL,full_MaxDD,level,13,4,-0.20740188,-0.20740293,0.00000031,-0.20740302,-0.20740188,0.00000115,-1,-180921.05734243
BROAD,V_TRUNC,V_ALL,oos_Sharpe,level,13,4,1.01001878,1.00997442,0.00004125,1.00993607,1.01001901,0.00008293,-1,12178.49982600
BROAD,V_TRUNC,V_POSTFIX,m4b_H1,Sharpe,12,4,0.32128737,0.32555237,0.00132530,0.32128737,0.32624693,0.00495957,0,64.78131594
BROAD,V_TRUNC,V_POSTFIX,m4b_H2,Sharpe,12,4,0.05408584,0.05407581,0.00000858,0.05406713,0.05408584,0.00001871,0,2891.03749988
BROAD,V_TRUNC,V_POSTFIX,m4b_OOS,Sharpe,12,4,0.12540762,0.12536400,0.00004128,0.12532258,0.12540762,0.00008505,0,1474.58304899
BROAD,V_TRUNC,V_POSTFIX,m4b_DD,pp,12,4,-0.51061565,-0.51072073,0.00003168,-0.51073028,-0.51061565,0.00011464,12,-4454.20862822
BROAD,V_TRUNC,V_POSTFIX,m4b_CAGR,pp,12,4,5.29319612,5.35802649,0.01954710,5.29319612,5.36392728,0.07073116,0,74.83542601
BROAD,V_TRUNC,V_POSTFIX,m4a_H1,Sharpe,12,4,0.04784258,0.05276129,0.00158963,0.04784258,0.05375620,0.00591361,0,8.09024386
BROAD,V_TRUNC,V_POSTFIX,m4a_H2,Sharpe,12,4,-0.09719301,-0.09711734,0.00004018,-0.09719301,-0.09707262,0.00012039,12,-807.28560293
BROAD,V_TRUNC,V_POSTFIX,m4a_DD,pp,12,4,-8.49911851,-8.49939612,0.00012389,-8.49950860,-8.49911851,0.00039009,12,-21787.33860562
BROAD,V_TRUNC,V_POSTFIX,full_Sharpe,level,12,4,1.06091299,1.06333755,0.00073782,1.06091299,1.06365375,0.00274076,-1,387.08693152
BROAD,V_TRUNC,V_POSTFIX,full_CAGR,level,12,4,0.15973295,0.16038126,0.00019547,0.15973295,0.16044027,0.00070731,-1,225.83111129
BROAD,V_TRUNC,V_POSTFIX,full_MaxDD,level,12,4,-0.20740188,-0.20740293,0.00000032,-0.20740302,-0.20740188,0.00000115,-1,-180921.05734243
BROAD,V_TRUNC,V_POSTFIX,oos_Sharpe,level,12,4,1.01001878,1.00997761,0.00004136,1.00993607,1.01001901,0.00008293,-1,12178.49982600
SMALL,V_RAW,V_ALL,m4b_H1,Sharpe,11,3,-0.22373754,-0.22716760,0.01994178,-0.24839591,-0.20662584,0.04177007,11,-5.35640807
SMALL,V_RAW,V_ALL,m4b_H2,Sharpe,11,3,-0.45671521,-0.48325710,0.06118273,-0.54947382,-0.42234879,0.12712503,11,-3.59264584
SMALL,V_RAW,V_ALL,m4b_OOS,Sharpe,11,3,-0.43399322,-0.45425842,0.04653210,-0.50462343,-0.40794651,0.09667691,11,-4.48910909
SMALL,V_RAW,V_ALL,m4b_DD,pp,11,3,-16.28014319,-17.38216623,2.37401374,-19.95529805,-15.02944544,4.92585261,11,-3.30504067
SMALL,V_RAW,V_ALL,m4b_CAGR,pp,11,3,-2.00507584,-2.19272854,0.44586083,-2.67495954,-1.74803016,0.92692938,11,-2.16313764
SMALL,V_RAW,V_ALL,m4a_H1,Sharpe,11,3,-0.15616457,-0.01819782,0.14673968,-0.15616457,0.14254087,0.29870544,6,-0.52280457
SMALL,V_RAW,V_ALL,m4a_H2,Sharpe,11,3,-0.25538232,-0.29695526,0.06879038,-0.37193073,-0.23029437,0.14163635,11,-1.80308451
SMALL,V_RAW,V_ALL,m4a_DD,pp,11,3,-24.03050081,-25.44896328,2.43209855,-28.09785764,-23.08376149,5.01409615,11,-4.79258875
SMALL,V_RAW,V_ALL,full_Sharpe,level,11,3,0.50917359,0.49748959,0.02124923,0.47437431,0.51826808,0.04389378,-1,11.60013203
SMALL,V_RAW,V_ALL,full_CAGR,level,11,3,0.07805105,0.07668096,0.00420285,0.07215945,0.08092845,0.00876901,-1,8.90078379
SMALL,V_RAW,V_ALL,full_MaxDD,level,11,3,-0.36510517,-0.37612522,0.02374015,-0.40185639,-0.35259806,0.04925833,-1,-7.41204900
SMALL,V_RAW,V_ALL,oos_Sharpe,level,11,3,0.43984693,0.42476628,0.04382326,0.37756895,0.46894748,0.09137853,-1,4.81346039
SMALL,V_RAW,V_POSTFIX,m4b_H1,Sharpe,11,3,-0.22373754,-0.22716760,0.01994178,-0.24839591,-0.20662584,0.04177007,11,-5.35640807
SMALL,V_RAW,V_POSTFIX,m4b_H2,Sharpe,11,3,-0.45671521,-0.48325710,0.06118273,-0.54947382,-0.42234879,0.12712503,11,-3.59264584
