panel,rung,p,cost,draws,null_turn_med,null_gross_med,cand_turn,cand_gross,pass4b,pass4a,share4b,share4a,null_S_med,null_C_med,null_D_med,null_OOS_med,null_S_p95,cand_S,cand_C,cand_D,cand_OOS,cand_4a,cand_4b,pctile_S,pctile_C,pctile_D,pctile_OOS,top_fail,top_fail_share
U56,0.5x,0.01874775281246874,0.0,1000,4.831562516331351,0.7195032573289902,9.637599733674872,0.7150651465798046,783,0,0.783,0.0,1.1478011019145056,0.10969307997905542,-0.14709175026882615,1.2218922962015903,1.2203055019416078,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.7,1.0,0.0,0.651,-,0.783
U56,0.5x,0.01874775281246874,10.0,1000,4.831562516331351,0.7195032573289902,9.637599733674872,0.7150651465798046,383,0,0.383,0.0,1.096765677115684,0.10435346031861326,-0.1479380576243864,1.1722865808467149,1.1696081805710417,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,0.439,1.0,0.0,0.447,CAGR,0.617
U56,0.5x,0.01874775281246874,25.0,1000,4.831562516331351,0.7195032573289902,9.637599733674872,0.7150651465798046,23,0,0.023,0.0,1.020242615857991,0.096375718910786,-0.1492162491177625,1.0969721977795595,1.0920741498478816,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,0.111,0.999,0.0,0.223,CAGR,0.903
U56,1x,0.09966327545472074,0.0,1000,9.620782607183777,0.7195032573289902,9.637599733674872,0.7150651465798046,810,0,0.81,0.0,1.1440536881532601,0.11035247973900708,-0.15487172301823549,1.2347855444772873,1.2305480715296526,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.711,1.0,0.001,0.549,-,0.81
U56,1x,0.09966327545472074,10.0,1000,9.620782607183777,0.7195032573289902,9.637599733674872,0.7150651465798046,134,0,0.134,0.0,1.043581001386567,0.0997306022506278,-0.15596859874367758,1.1352044998140398,1.1299355107011448,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,0.823,1.0,0.001,0.673,CAGR,0.742
U56,1x,0.09966327545472074,25.0,1000,9.620782607183777,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.8918770924489121,0.08397635578735407,-0.1575521746612497,0.9851811420736262,0.9779232598954236,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,0.911,1.0,0.001,0.797,H1+CAGR,0.719
U56,2x,0.3180104608908537,0.0,1000,19.284967452031033,0.7195032573289902,9.637599733674872,0.7150651465798046,806,0,0.806,0.0,1.1432400001852574,0.11087149128146556,-0.1561214177955929,1.2273826336584666,1.2304066139285663,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.733,1.0,0.0,0.59,-,0.806
U56,2x,0.3180104608908537,10.0,1000,19.284967452031033,0.7195032573289902,9.637599733674872,0.7150651465798046,2,0,0.002,0.0,0.9414732018103338,0.08961618707101882,-0.1575251326918758,1.026157280866002,1.0296102738681536,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,0.996,1.0,0.001,0.967,H1+CAGR,0.593
U56,2x,0.3180104608908537,25.0,1000,19.284967452031033,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.6387439823316954,0.05856129120868647,-0.1606511205212901,0.7235343059481836,0.7278718393278122,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,1.0,1.0,0.01,1.0,H1+H2+OOS+CAGR,0.969
U56,4x,1.0,0.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,737,0,0.737,0.0,1.1293565127376564,0.10965836997505019,-0.1578890483614922,1.1955626700988256,1.2167995688547917,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.802,1.0,0.0,0.699,-,0.737
U56,4x,1.0,10.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.7495942066790108,0.06993575334461166,-0.15999916356028787,0.8104547436803518,0.8386026718297586,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,1.0,1.0,0.0,1.0,H1+H2+OOS+CAGR,0.742
U56,4x,1.0,25.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.18039516158223423,0.012857161916714488,-0.2218193363936738,0.23250891512010052,0.26952630927340715,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,1.0,1.0,0.923,1.0,H1+H2+OOS+DD+CAGR,0.748
U56,p=0 (forced only),0.0,0.0,1000,3.530808620957255,0.7195032573289902,9.637599733674872,0.7150651465798046,878,0,0.878,0.0,1.1571267129961305,0.10999390227014905,-0.13199167251504906,1.2160600090277385,1.2145029464534376,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.676,1.0,0.0,0.696,-,0.878
U56,p=0 (forced only),0.0,10.0,1000,3.530808620957255,0.7195032573289902,9.637599733674872,0.7150651465798046,535,0,0.535,0.0,1.119237865544713,0.10609043575155397,-0.13265447196554425,1.1800923071091431,1.176943781217221,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,0.193,1.0,0.0,0.383,-,0.535
U56,p=0 (forced only),0.0,25.0,1000,3.530808620957255,0.7195032573289902,9.637599733674872,0.7150651465798046,66,0,0.066,0.0,1.062480928500047,0.10025545501330368,-0.13382870456649226,1.1258924446927203,1.1202704018765761,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,0.0,0.996,0.0,0.052,CAGR,0.934
U56,p=1 (502 RANDROT),1.0,0.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,737,0,0.737,0.0,1.1293565127376564,0.10965836997505019,-0.1578890483614922,1.1955626700988256,1.2167995688547917,1.1737332649574452,0.13722318057535277,-0.18220023181479594,1.2436652338985876,False,True,0.802,1.0,0.0,0.699,-,0.737
U56,p=1 (502 RANDROT),1.0,10.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.7495942066790108,0.06993575334461166,-0.15999916356028787,0.8104547436803518,0.8386026718297586,1.0903234965107311,0.12632357265863292,-0.18308335704557788,1.164764331653914,False,True,1.0,1.0,0.0,1.0,H1+H2+OOS+CAGR,0.742
U56,p=1 (502 RANDROT),1.0,25.0,1000,36.481482529826735,0.7195032573289902,9.637599733674872,0.7150651465798046,0,0,0.0,0.0,0.18039516158223423,0.012857161916714488,-0.2218193363936738,0.23250891512010052,0.26952630927340715,0.9648891687602643,0.11016499141057334,-0.18440699236416414,1.04610965884594,False,True,1.0,1.0,0.923,1.0,H1+H2+OOS+DD+CAGR,0.748
B136,0.5x,0.044859607433310224,0.0,250,6.917817132530678,0.7418885869565217,13.77325913183038,0.739483695652174,146,0,0.584,0.0,1.0418861260291186,0.10964950163471587,-0.17380707619270136,0.9809839359214967,1.1382272366030406,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.62,1.0,0.012,0.56,-,0.584
B136,0.5x,0.044859607433310224,10.0,250,6.917817132530678,0.7418885869565217,13.77325913183038,0.739483695652174,43,0,0.172,0.0,0.9760045073401546,0.10202958295884823,-0.17517221873344369,0.9142307635374023,1.0738171832936114,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,0.328,1.0,0.02,0.404,H2+OOS+CAGR,0.332
B136,0.5x,0.044859607433310224,25.0,250,6.917817132530678,0.7418885869565217,13.77325913183038,0.739483695652174,2,0,0.008,0.0,0.8772247162295204,0.09069758812978579,-0.1779547710433429,0.8136235195674911,0.9770866920634771,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,0.12,0.992,0.052,0.22,H2+OOS+CAGR,0.692
B136,1x,0.14249794251756176,0.0,250,13.836860444426687,0.7418885869565217,13.77325913183038,0.739483695652174,172,0,0.688,0.0,1.0650615882218215,0.11325489958920232,-0.17682532245879345,1.0285986572108772,1.170785919214859,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.452,1.0,0.02,0.36,-,0.688
B136,1x,0.14249794251756176,10.0,250,13.836860444426687,0.7418885869565217,13.77325913183038,0.739483695652174,31,0,0.124,0.0,0.9342568163897506,0.09788875796653973,-0.1793975016394636,0.8985991747198891,1.0413169002465765,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,0.636,1.0,0.052,0.484,H2+OOS+CAGR,0.368
B136,1x,0.14249794251756176,25.0,250,13.836860444426687,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,0.7371841063058087,0.07546475551707499,-0.1838634261507519,0.7029047202341474,0.8463985534435794,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,0.856,1.0,0.164,0.664,H1+H2+OOS+CAGR,0.644
B136,2x,0.3606856849977386,0.0,250,27.54278892041188,0.7418885869565217,13.77325913183038,0.739483695652174,192,0,0.768,0.0,1.0716294074083228,0.11483381036432494,-0.17610237771454323,1.0495927067248034,1.1963099205068357,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.396,1.0,0.036,0.272,-,0.768
B136,2x,0.3606856849977386,10.0,250,27.54278892041188,0.7418885869565217,13.77325913183038,0.739483695652174,1,0,0.004,0.0,0.8119386454503805,0.08446623721978974,-0.1815138695658438,0.7907079269181007,0.9372088289678673,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,0.964,1.0,0.104,0.856,H1+H2+OOS+CAGR,0.396
B136,2x,0.3606856849977386,25.0,250,27.54278892041188,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,0.4238006593853584,0.04054337047430634,-0.20757374576607301,0.4029877294992637,0.5517514694526111,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,1.0,1.0,0.592,1.0,H1+H2+OOS+DD+CAGR,0.56
B136,4x,0.8926549009760578,0.0,250,55.070311823378084,0.7418885869565217,13.77325913183038,0.739483695652174,220,0,0.88,0.0,1.0792902578125556,0.11696351085775547,-0.1769264676634958,1.0709956655389483,1.1786274079861359,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.324,1.0,0.032,0.216,-,0.88
B136,4x,0.8926549009760578,10.0,250,55.070311823378084,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,0.5690572199370778,0.057061690770605966,-0.19070883399668376,0.5551793511063006,0.664043817841163,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,1.0,1.0,0.276,1.0,H1+H2+OOS+CAGR,0.744
B136,4x,0.8926549009760578,25.0,250,55.070311823378084,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,-0.19631700199872607,-0.02701562532247609,-0.4924321153710808,-0.21534752743858226,-0.09501556630009539,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
B136,p=0 (forced only),0.0,0.0,250,3.5163742343209963,0.7418885869565217,13.77325913183038,0.739483695652174,47,0,0.188,0.0,1.0165957807002317,0.10308271896707633,-0.15504710287522394,0.9337278055300318,1.0959514393523717,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.8,1.0,0.008,0.784,H2+CAGR,0.364
B136,p=0 (forced only),0.0,10.0,250,3.5163742343209963,0.7418885869565217,13.77325913183038,0.739483695652174,20,0,0.08,0.0,0.9822631083520971,0.09929901169290023,-0.15765867830339397,0.8982352867836484,1.0622307986649369,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,0.316,1.0,0.012,0.468,H2+OOS+CAGR,0.408
B136,p=0 (forced only),0.0,25.0,250,3.5163742343209963,0.7418885869565217,13.77325913183038,0.739483695652174,3,0,0.012,0.0,0.92971926012887,0.09351254364935757,-0.16190634027099166,0.8454566385909752,1.0119337992801127,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,0.02,0.996,0.02,0.1,H2+OOS+CAGR,0.684
B136,p=1 (502 RANDROT),1.0,0.0,250,59.87214387249974,0.7418885869565217,13.77325913183038,0.739483695652174,212,0,0.848,0.0,1.078484038275998,0.11652860239326301,-0.17727373868000068,1.064230827052023,1.183216547338295,1.0562327019173416,0.14653709778134982,-0.19983154054596763,0.9907714255507483,False,True,0.352,1.0,0.04,0.22,-,0.848
B136,p=1 (502 RANDROT),1.0,10.0,250,59.87214387249974,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,0.5201028858975467,0.05162593650962066,-0.19311589294358628,0.5016941672526934,0.6225441529998251,0.9569274633118441,0.13086243556020039,-0.20052048331108296,0.8919165372280253,False,False,1.0,1.0,0.34,1.0,H1+H2+OOS+CAGR,0.676
B136,p=1 (502 RANDROT),1.0,25.0,250,59.87214387249974,0.7418885869565217,13.77325913183038,0.739483695652174,0,0,0.0,0.0,-0.30840306654751887,-0.0388589055421803,-0.5784673053386612,-0.33646743390378253,-0.20622499010243084,0.8076698418725972,0.10774243748456414,-0.20155317029654207,0.7433679864583757,False,False,1.0,1.0,1.0,1.0,H1+H2+OOS+DD+CAGR,1.0
SMALL439,0.5x,0.0393744811273776,0.0,250,10.072963693159512,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.49963271846670954,0.06017404074070254,-0.3062138890194605,0.44718451827366423,0.6593939041176003,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.8,0.972,0.948,0.88,H1+H2+OOS+DD+CAGR,0.984
SMALL439,0.5x,0.0393744811273776,10.0,250,10.072963693159512,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.42400122111265126,0.04928041250270909,-0.32010829325031603,0.3701397773446495,0.583881291781978,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,0.632,0.868,0.824,0.788,H1+H2+OOS+DD+CAGR,1.0
SMALL439,0.5x,0.0393744811273776,25.0,250,10.072963693159512,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.31338985535472585,0.033598444535963945,-0.34554633823671843,0.25364416592767225,0.47296417858379697,0.28209235144048067,0.033773882403875355,-0.3513764153800948,0.30160015433639353,False,False,0.372,0.512,0.436,0.644,H1+H2+OOS+DD+CAGR,1.0
SMALL439,1x,0.1800408662129973,0.0,250,20.25464574478438,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.45047532193033213,0.05466161168418826,-0.3202505958334808,0.395523793418762,0.6221821802732919,0.5833081680049127,0.08731928260583177,-0.24627253994164033,0.6110770143505769,False,False,0.9,0.976,0.976,0.944,H1+H2+OOS+DD+CAGR,0.996
SMALL439,1x,0.1800408662129973,10.0,250,20.25464574478438,0.745220588235294,20.19590102343125,0.7451746323529411,0,0,0.0,0.0,0.3051809564100215,0.0334808583347993,-0.3477641806425175,0.2516722145312168,0.47643301977168995,0.462864671151153,0.0655831265149307,-0.27432604586461007,0.487330838507868,False,False,0.932,0.976,0.964,0.96,H1+H2+OOS+DD+CAGR,1.0
