rung_set,decomposition,rho_IS,rho_OOS,gap
R11,RAW,0.4216458717695109,0.4636545863571296,0.04200871458761868
R11,MECHPRED,0.4375555387585989,0.48708029482201975,0.04952475606342083
R11,DRAGFREE,0.26666567266202856,-0.11370650637714376,0.3803721790391723
R11,DIVTURN,0.43888613220780776,-0.11478313694542126,0.553669269153229
R11,PARTIAL,0.6790825839670634,0.8091991848030549,0.13011660083599141
FINE,RAW,0.4357930515996588,0.48273300463586827,0.04693995303620946
FINE,MECHPRED,0.4375555387585989,0.48708029482201975,0.04952475606342083
FINE,DRAGFREE,0.26666567266202856,-0.11370650637714376,0.3803721790391723
FINE,DIVTURN,0.44313983557941294,-0.08765182186234818,0.5307916574417612
FINE,PARTIAL,0.70533588000997,0.7946742290987496,0.08933834908877958
COARSE,RAW,0.3907025007253623,0.44041937936088316,0.04971687863552088
COARSE,MECHPRED,0.4375555387585989,0.48708029482201975,0.04952475606342083
COARSE,DRAGFREE,0.26666567266202856,-0.11370650637714376,0.3803721790391723
COARSE,DIVTURN,0.4886696637311646,0.017034247348403572,0.471635416382761
COARSE,PARTIAL,0.4953955135704529,0.8294232696354062,0.33402775606495333
CONT,RAW,0.4435818816436165,0.47850637513110406,0.03492449348748755
CONT,MECHPRED,0.4375555387585989,0.48708029482201975,0.04952475606342083
CONT,DRAGFREE,0.26666567266202856,-0.11370650637714376,0.3803721790391723
CONT,DIVTURN,0.4376518218623482,-0.10080971659919029,0.5384615384615384
CONT,PARTIAL,0.710888856676721,0.7876865017621099,0.07679764508538889
