test,panel,family,con,pick,oCAGR,oSharpe,oMaxDD,spy_oSharpe,live_oSharpe,ctrl_oSharpe,beats_spy,beats_live,beats_ctrl,cad,n_oos,IS_mean,qual_band,cov_unqual,cov_qual,cov_pub,MAE_unqual,MAE_qual,MAE_pub,MAE_zero,window,interior_inside,extreme_outside,H_DOMAIN
WF-A,U56,MA-THRESH,RESPREAD,"theta=+0.20,cad=Q",0.21384920836366406,0.9389440910869066,-0.32510635940216404,0.878646168321868,1.2816876607860581,1.1680190827943557,True,False,False,,,,,,,,,,,,,,,
WF-A,U56,MA-THRESH,DEGROSS,"theta=+0.30,cad=Q",0.010463121750692306,0.5676700137783639,-0.033800585095968394,0.878646168321868,1.2816876607860581,1.1680190827943557,False,False,False,,,,,,,,,,,,,,,
WF-A,U56,QUANTILE-M,RESPREAD,"theta=+0.30,cad=W",0.29695538425198076,1.0897316298205413,-0.32205533760018146,0.878646168321868,1.2816876607860581,1.1382169351146856,True,False,False,,,,,,,,,,,,,,,
WF-A,U56,QUANTILE-M,DEGROSS,"theta=+0.30,cad=W",0.01619101768002551,1.0736473612224007,-0.02033753101922664,0.878646168321868,1.2816876607860581,1.1382169351146856,True,False,False,,,,,,,,,,,,,,,
WF-A,B136,MA-THRESH,RESPREAD,"theta=+0.20,cad=Q",0.21106474661139196,1.0664525071109843,-0.2952507655794452,0.8820239235972316,1.2816876607860581,1.1283035038832874,True,False,False,,,,,,,,,,,,,,,
WF-A,B136,MA-THRESH,DEGROSS,"theta=-0.25,cad=Q",0.13580129917386707,1.1384051662705015,-0.24163593668050243,0.8820239235972316,1.2816876607860581,1.1283035038832874,True,False,True,,,,,,,,,,,,,,,
WF-A,B136,QUANTILE-M,RESPREAD,"theta=+0.30,cad=Q",0.2649615104321117,1.0593464766435776,-0.3192860762127061,0.8820239235972316,1.2816876607860581,1.1283035038832874,True,False,False,,,,,,,,,,,,,,,
WF-A,B136,QUANTILE-M,DEGROSS,"theta=+0.30,cad=Q",0.011973634580880077,1.007014636118324,-0.017856605567415196,0.8820239235972316,1.2816876607860581,1.1283035038832874,True,False,False,,,,,,,,,,,,,,,
WF-A,SMALL439,MA-THRESH,RESPREAD,"theta=+0.30,cad=M",0.24022985785064388,1.1041600612175628,-0.3077804460589927,0.882010501050508,1.2816876607860581,0.623487716376168,True,False,True,,,,,,,,,,,,,,,
WF-A,SMALL439,MA-THRESH,DEGROSS,"theta=-0.40,cad=Q",0.07975352536349556,0.5874263980687731,-0.3246766886644833,0.882010501050508,1.2816876607860581,0.6467213771466885,False,False,False,,,,,,,,,,,,,,,
WF-A,SMALL439,QUANTILE-M,RESPREAD,"theta=-0.12,cad=Q",0.09351835230738037,0.630666654070711,-0.3483239520605923,0.882010501050508,1.2816876607860581,0.6467213771466885,False,False,False,,,,,,,,,,,,,,,
WF-A,SMALL439,QUANTILE-M,DEGROSS,"theta=-0.12,cad=Q",0.070284119437932,0.6364559184268215,-0.2542594664480021,0.882010501050508,1.2816876607860581,0.6467213771466885,False,False,False,,,,,,,,,,,,,,,
WF-B,,,,,,,,,,,,,,D,27.0,-0.27152885528149,"[-1.049,+0.506]",1.0,1.0,0.4074074074074074,0.21595527452209598,0.22241078532906633,0.29014214459849647,0.24854557151077863,,,,
WF-B,,,,,,,,,,,,,,W,27.0,-0.2810819756348706,"[-1.116,+0.553]",0.9259259259259259,0.9629629629629629,0.6296296296296297,0.2602415992702184,0.24491039604811715,0.23725876501333706,0.4350963243338058,,,,
WF-B,,,,,,,,,,,,,,M,27.0,-0.09160183204463686,"[-0.713,+0.530]",0.9629629629629629,0.7407407407407407,0.4074074074074074,0.30492277079722396,0.37281684744306215,0.26467207631782,0.4489383567249342,,,,
WF-B,,,,,,,,,,,,,,Q,27.0,-0.24997852075499388,"[-0.787,+0.287]",0.7037037037037037,0.6296296296296297,0.3333333333333333,0.4615889446187846,0.45637772373877117,0.4137085737651702,0.5868192792913971,,,,
WF-B,,,,,,,,,,,,,,A,27.0,-0.2743271483790205,"[-1.046,+0.497]",0.8888888888888888,0.8888888888888888,0.1111111111111111,0.34506364250212834,0.38037250421980723,0.5502115071175332,0.2302159189184625,,,,
WF-C,,,,,,,,,,,,,,,,,,,,,,,,,IS,6/9,3/6,False
WF-C,,,,,,,,,,,,,,,,,,,,,,,,,OOS,8/9,5/6,False
