claim_set,ratio_defn,rows_bound,rows_already_compliant,rows_computable_from_committed,rows_needing_a_re_run,share_needing_a_re_run,n_stats_above_1,median_ratio
CS_STRICT,R_SPREAD,593172,6,573668,19498,0.032870735638229724,6,8.203285327867489
CS_STRICT,R_SD,593172,6,573668,19498,0.032870735638229724,6,5.526287075652985
CS_STRICT,R_MATCHED,593172,6,573668,19498,0.032870735638229724,6,6.319864688934668
CS_HALVES,R_SPREAD,2140569,0,0,2140569,1.0,6,8.203285327867489
CS_HALVES,R_SD,2140569,0,0,2140569,1.0,6,5.526287075652985
CS_HALVES,R_MATCHED,2140569,0,0,2140569,1.0,6,6.319864688934668
CS_ALL,R_SPREAD,2587354,6,573668,2013680,0.7782777308400783,6,8.203285327867489
CS_ALL,R_SD,2587354,6,573668,2013680,0.7782777308400783,6,5.526287075652985
CS_ALL,R_MATCHED,2587354,6,573668,2013680,0.7782777308400783,6,6.319864688934668
