panel,reb_rows,short_rows,short_share,min_n,median_n,years
U56,922,34,0.0368763557483731,8,20.0,"{""2009"": 14, ""2020"": 5, ""2022"": 15}"
B136,922,8,0.008676789587852495,8,20.0,"{""2009"": 3, ""2020"": 5}"
SMALL,818,0,0.0,20,20.0,{}
