ladder,k_rungs,uniform_null,bar,demanded_multiple,max_attainable_resolution_at_B
N,9,0.1111111111111111,0.9,8.1,0.999000999000999
H,4,0.25,0.9,3.6,0.999000999000999
GROSS,10,0.1,0.9,9.0,0.999000999000999
CADENCE,4,0.25,0.9,3.6,0.999000999000999
