panel,cadence,cost_bps,statistic,shipped_n5,n_rungs,n_beating_shipped,best_rung,best_value,rungs_beating
B136,M,0,OOS Sharpe,0.6690432594283101,6,5,20,0.9903196402068157,10;15;20;30;40
B136,M,0,full Sharpe,0.8702838544355382,6,5,20,1.0625145028804017,10;15;20;30;40
B136,M,0,full CAGR,0.09602637712057294,6,5,30,0.11740898015346746,10;15;20;30;40
B136,M,0,full MaxDD,-0.2030469271562746,6,3,10,-0.1594344648508842,10;15;20
B136,M,10,OOS Sharpe,0.5534048267597925,6,5,20,0.9114031070888764,10;15;20;30;40
B136,M,10,full Sharpe,0.7547206343953133,6,5,40,0.9968410883932316,10;15;20;30;40
B136,M,10,full CAGR,0.0818100335979346,6,5,40,0.10974306941045975,10;15;20;30;40
B136,M,10,full MaxDD,-0.22121757863002944,6,4,10,-0.16041837215747812,10;15;20;30
B136,M,25,OOS Sharpe,0.378841616542196,6,5,40,0.8272503381479638,10;15;20;30;40
B136,M,25,full Sharpe,0.5798870307756295,6,5,40,0.9183791284959505,10;15;20;30;40
B136,M,25,full CAGR,0.06079973055270571,6,5,40,0.10015808492141587,10;15;20;30;40
B136,M,25,full MaxDD,-0.24773906339571605,6,5,10,-0.16189423311736983,10;15;20;30;40
B136,M,50,OOS Sharpe,0.08823365960989381,6,5,40,0.6966977133491773,10;15;20;30;40
B136,M,50,full Sharpe,0.28793958180930534,6,5,40,0.7867100049823963,10;15;20;30;40
B136,M,50,full CAGR,0.02660563932729776,6,5,40,0.08435062696118423,10;15;20;30;40
B136,M,50,full MaxDD,-0.2900491266552274,6,5,10,-0.16483291215028983,10;15;20;30;40
B136,W,0,OOS Sharpe,0.8275110117478692,6,4,40,0.965803137495344,15;20;30;40
B136,W,0,full Sharpe,0.9063374945215442,6,4,40,1.0539049300658465,15;20;30;40
B136,W,0,full CAGR,0.09495991938214332,6,5,40,0.10985928855995808,3;15;20;30;40
B136,W,0,full MaxDD,-0.18357675671440776,6,5,3,-0.14796028044875842,3;10;15;20;30
B136,W,10,OOS Sharpe,0.5464577273270329,6,5,40,0.8498344696988858,10;15;20;30;40
B136,W,10,full Sharpe,0.629374194055925,6,5,40,0.9392710573580813,10;15;20;30;40
B136,W,10,full CAGR,0.06320051232272994,6,5,40,0.09669774144257759,10;15;20;30;40
B136,W,10,full MaxDD,-0.21198908096372837,6,6,15,-0.16286711248705155,3;10;15;20;30;40
B136,W,25,OOS Sharpe,0.1251087314834124,6,5,40,0.6756257185008673,10;15;20;30;40
B136,W,25,full Sharpe,0.213635934613304,6,5,40,0.7669658397694568,10;15;20;30;40
B136,W,25,full CAGR,0.017240108145964772,6,5,40,0.07724123702237229,10;15;20;30;40
B136,W,25,full MaxDD,-0.26728334983026825,6,5,15,-0.16802222939339828,10;15;20;30;40
B136,W,50,OOS Sharpe,-0.5659763267482911,6,5,40,0.38528974807624017,10;15;20;30;40
B136,W,50,full Sharpe,-0.4695157384178109,6,5,40,0.4795182154170994,10;15;20;30;40
B136,W,50,full CAGR,-0.05508772859939293,6,5,40,0.045561560925213795,10;15;20;30;40
B136,W,50,full MaxDD,-0.634809563704814,6,5,40,-0.18959205696816128,10;15;20;30;40
SMALL,M,0,OOS Sharpe,0.28380516717780635,6,6,3,0.7454031845527589,3;10;15;20;30;40
SMALL,M,0,full Sharpe,0.6958562902134411,6,6,3,0.9926425888416945,3;10;15;20;30;40
SMALL,M,0,full CAGR,0.07621414412161664,6,6,3,0.12836128072262754,3;10;15;20;30;40
SMALL,M,0,full MaxDD,-0.3374362335752631,6,1,3,-0.25929681295283813,3
SMALL,M,10,OOS Sharpe,0.16944059204183787,6,6,3,0.6438112083102008,3;10;15;20;30;40
SMALL,M,10,full Sharpe,0.5750947091103389,6,6,3,0.8859744966295662,3;10;15;20;30;40
SMALL,M,10,full CAGR,0.06134582322661841,6,6,3,0.11280643301377502,3;10;15;20;30;40
SMALL,M,10,full MaxDD,-0.37135782372220216,6,6,3,-0.2750586813629281,3;10;15;20;30;40
SMALL,M,25,OOS Sharpe,-0.002304323141391859,6,6,3,0.4906163689378472,3;10;15;20;30;40
SMALL,M,25,full Sharpe,0.39288732034591356,6,6,3,0.7246305214306088,3;10;15;20;30;40
SMALL,M,25,full CAGR,0.0393944816536711,6,6,3,0.08983933894961282,3;10;15;20;30;40
SMALL,M,25,full MaxDD,-0.4190814227737487,6,6,3,-0.2981114426490187,3;10;15;20;30;40
SMALL,M,50,OOS Sharpe,-0.28594512048034443,6,6,3,0.2354637136685464,3;10;15;20;30;40
SMALL,M,50,full Sharpe,0.09008081423321851,6,6,3,0.45483668969059654,3;10;15;20;30;40
SMALL,M,50,full CAGR,0.0037275269460153027,6,6,3,0.052516373187420085,3;10;15;20;30;40
SMALL,M,50,full MaxDD,-0.5701332199762009,6,6,3,-0.3407958967398186,3;10;15;20;30;40
SMALL,W,0,OOS Sharpe,0.9876407606158568,6,1,3,1.4665208518192898,3
SMALL,W,0,full Sharpe,1.158061195044395,6,1,3,1.2515951543753456,3
SMALL,W,0,full CAGR,0.1344477013629506,6,1,3,0.17154640434324064,3
SMALL,W,0,full MaxDD,-0.27161990027466065,6,5,3,-0.18539942209555282,3;15;20;30;40
SMALL,W,10,OOS Sharpe,0.7072612572643622,6,1,3,1.1955842423484713,3
SMALL,W,10,full Sharpe,0.8642578220196467,6,1,3,0.985014794916023,3
SMALL,W,10,full CAGR,0.09696162095306948,6,1,3,0.13053221423000383,3
SMALL,W,10,full MaxDD,-0.3150210781360665,6,5,3,-0.23024721509992307,3;15;20;30;40
SMALL,W,25,OOS Sharpe,0.28645538358623246,6,1,3,0.7875588616142208,3
SMALL,W,25,full Sharpe,0.4231181677092604,6,1,3,0.5835163068912007,3
SMALL,W,25,full CAGR,0.04299068941336537,6,1,3,0.0716228612255938,3
SMALL,W,25,full MaxDD,-0.38396080825908896,6,5,30,-0.30864125199355585,3;15;20;30;40
SMALL,W,50,OOS Sharpe,-0.40491996416387305,6,4,3,0.1139939115407128,3;10;30;40
SMALL,W,50,full Sharpe,-0.3013836970982054,6,2,3,-0.07997595209095339,3;40
SMALL,W,50,full CAGR,-0.04125133531508707,6,3,3,-0.019975199489529083,3;30;40
SMALL,W,50,full MaxDD,-0.6594195894412447,6,6,40,-0.5086745112922999,3;10;15;20;30;40
U56,M,0,OOS Sharpe,0.9991866719830728,6,5,40,1.3016902228341223,10;15;20;30;40
U56,M,0,full Sharpe,1.0431300441900997,6,5,40,1.218473516344685,10;15;20;30;40
U56,M,0,full CAGR,0.11166041763876966,6,4,30,0.11905853812717648,10;15;20;30
U56,M,0,full MaxDD,-0.1527019521055356,6,2,10,-0.13334893660351754,10;40
U56,M,10,OOS Sharpe,0.9030051510104723,6,5,40,1.2744466963853995,10;15;20;30;40
U56,M,10,full Sharpe,0.9455544583764697,6,5,40,1.1925715819880385,10;15;20;30;40
U56,M,10,full CAGR,0.10006560402966813,6,5,30,0.1153939899608063,10;15;20;30;40
U56,M,10,full MaxDD,-0.1539611354193653,6,2,10,-0.13437531045479278,10;40
U56,M,25,OOS Sharpe,0.7573798721696212,6,5,40,1.2333765163245627,10;15;20;30;40
U56,M,25,full Sharpe,0.7976562916415662,6,5,40,1.153549013121683,10;15;20;30;40
U56,M,25,full CAGR,0.08287815187995018,6,5,30,0.10991752072616157,10;15;20;30;40
