panel,dial,conv,rho_L4,rho_L5,agree,B1,B2,n4b,nrung,rho_L4@0,rho_L5@0,agree@0,rho_L4@25,rho_L5@25,agree@25,rho_L4@50,rho_L5@50,agree@50
U56,GROSS,DEGROSS,-1.0,1.0,0.0,False,False,1,4,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0
U56,BAND,DEGROSS,-0.6,0.7714285714285715,0.8,False,True,0,6,-0.6,0.4285714285714286,0.8,-0.6,0.8285714285714287,0.6,-0.3142857142857143,0.942857142857143,0.6
U56,BAND,RESPREAD,-0.6571428571428573,1.0,0.4,False,False,6,6,-0.6571428571428573,1.0,0.4,-0.6571428571428573,1.0,0.4,-0.6571428571428573,1.0,0.4
U56,COUNT,DEGROSS,0.9999999999999999,-0.9999999999999999,0.0,False,False,2,5,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0
U56,COUNT,RESPREAD,0.9999999999999999,-0.8999999999999998,0.25,False,False,2,5,0.9999999999999999,-0.8999999999999998,0.25,0.9999999999999999,-0.8999999999999998,0.25,0.9999999999999999,-0.8999999999999998,0.25
U56,MAXVOL,DEGROSS,-0.9999999999999999,0.9999999999999999,0.0,False,False,0,5,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0
U56,MAXVOL,RESPREAD,0.0,0.9999999999999999,0.25,False,False,3,5,0.0,0.9999999999999999,0.25,0.0,0.9999999999999999,0.25,0.0,0.9999999999999999,0.25
U56,VOLTGT,DEGROSS,-0.9999999999999999,0.9999999999999999,0.0,False,False,2,5,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0
U56,MALEN,DEGROSS,-0.7,0.8999999999999998,0.5,False,False,0,5,-0.8999999999999998,0.8999999999999998,0.5,-0.39999999999999997,0.8999999999999998,0.5,0.0,0.8999999999999998,0.5
U56,MALEN,RESPREAD,0.7,0.7999999999999999,0.75,True,True,3,5,0.7,0.19999999999999998,0.75,0.7,0.8999999999999998,1.0,0.7,0.8999999999999998,1.0
U56,QELIG,DEGROSS,0.8999999999999998,-0.9999999999999999,0.25,False,False,0,5,0.8999999999999998,-0.9999999999999999,0.25,0.8999999999999998,-0.9999999999999999,0.25,0.8999999999999998,-0.9999999999999999,0.25
U56,QELIG,RESPREAD,-0.9999999999999999,0.8999999999999998,0.25,False,False,2,5,-0.9999999999999999,0.8999999999999998,0.25,-0.9999999999999999,0.8999999999999998,0.25,-0.8999999999999998,0.7,0.5
U56,CADENCE,DEGROSS,-1.0,-0.19999999999999998,0.3333333333333333,False,False,0,4,-1.0,-0.19999999999999998,0.3333333333333333,-1.0,-0.19999999999999998,0.3333333333333333,-1.0,0.39999999999999997,0.3333333333333333
B136,GROSS,DEGROSS,-1.0,1.0,0.0,False,False,1,4,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0
B136,BAND,DEGROSS,-0.8857142857142858,0.942857142857143,0.6,False,False,0,6,-0.942857142857143,0.8285714285714287,0.4,-0.8857142857142858,1.0,0.4,-0.7714285714285715,1.0,0.4
B136,BAND,RESPREAD,-0.8285714285714287,0.942857142857143,0.4,False,False,3,6,-0.8285714285714287,0.48571428571428577,0.2,-0.8285714285714287,1.0,0.2,-0.6,1.0,0.4
B136,COUNT,DEGROSS,0.9999999999999999,-0.9999999999999999,0.0,False,False,2,5,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0
B136,COUNT,RESPREAD,0.9999999999999999,-0.9999999999999999,0.0,False,False,1,5,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0,0.9999999999999999,-0.9999999999999999,0.0
B136,MAXVOL,DEGROSS,-0.9999999999999999,0.9999999999999999,0.0,False,False,0,5,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0
B136,MAXVOL,RESPREAD,-0.9999999999999999,0.9999999999999999,0.0,False,False,3,5,-0.9999999999999999,0.9999999999999999,0.0,-0.7,0.9999999999999999,0.25,-0.39999999999999997,0.9999999999999999,0.25
B136,VOLTGT,DEGROSS,-0.9999999999999999,0.9999999999999999,0.0,False,False,1,5,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0,-0.9999999999999999,0.9999999999999999,0.0
