kind,k,q,seed,secs,name
MIX,40,0.0,0,2.8976540565490723,
MIX,40,0.0,1,3.0085268020629883,
MIX,40,0.0,2,2.9997212886810303,
MIX,40,0.0,3,2.9515769481658936,
MIX,40,0.0,4,2.878788948059082,
MIX,40,0.0,5,2.9716453552246094,
MIX,40,0.0,6,2.899301290512085,
MIX,40,0.0,7,2.856029510498047,
MIX,40,0.25,0,2.8377134799957275,
MIX,40,0.25,1,2.966972827911377,
MIX,40,0.25,2,2.8661794662475586,
MIX,40,0.25,3,2.936105251312256,
MIX,40,0.25,4,3.041529893875122,
MIX,40,0.25,5,2.993478298187256,
MIX,40,0.25,6,3.013767957687378,
MIX,40,0.25,7,3.027343273162842,
MIX,40,0.5,0,3.009284257888794,
MIX,40,0.5,1,2.882979393005371,
MIX,40,0.5,2,2.988255023956299,
MIX,40,0.5,3,2.9422757625579834,
MIX,40,0.5,4,2.925151824951172,
MIX,40,0.5,5,3.0239245891571045,
MIX,40,0.5,6,3.1373915672302246,
MIX,40,0.5,7,3.044280767440796,
MIX,40,0.75,0,3.005629301071167,
MIX,40,0.75,1,3.023850917816162,
MIX,40,0.75,2,2.9869608879089355,
MIX,40,0.75,3,3.016960859298706,
MIX,40,0.75,4,3.044693946838379,
MIX,40,0.75,5,3.056015729904175,
MIX,40,0.75,6,2.9484260082244873,
MIX,40,0.75,7,2.8582763671875,
MIX,40,1.0,0,2.8757524490356445,
MIX,40,1.0,1,2.9766221046447754,
MIX,40,1.0,2,2.8579020500183105,
MIX,40,1.0,3,2.824882745742798,
MIX,40,1.0,4,2.792930841445923,
MIX,40,1.0,5,2.9626643657684326,
MIX,40,1.0,6,3.001628875732422,
MIX,40,1.0,7,3.0475425720214844,
MIX,80,0.0,0,4.461764335632324,
MIX,80,0.0,1,4.3139026165008545,
MIX,80,0.0,2,4.116034984588623,
MIX,80,0.0,3,4.022132158279419,
MIX,80,0.0,4,4.014758110046387,
MIX,80,0.0,5,4.151306867599487,
MIX,80,0.0,6,4.309051036834717,
MIX,80,0.0,7,4.214402675628662,
MIX,80,0.25,0,4.2449445724487305,
MIX,80,0.25,1,4.1811842918396,
MIX,80,0.25,2,4.2030723094940186,
MIX,80,0.25,3,4.146062135696411,
MIX,80,0.25,4,4.155251741409302,
MIX,80,0.25,5,4.246169090270996,
MIX,80,0.25,6,4.0916359424591064,
MIX,80,0.25,7,4.19800877571106,
MIX,80,0.5,0,4.288349628448486,
MIX,80,0.5,1,4.3535075187683105,
MIX,80,0.5,2,4.249290227890015,
MIX,80,0.5,3,4.1318159103393555,
MIX,80,0.5,4,4.218203544616699,
MIX,80,0.5,5,4.356306552886963,
MIX,80,0.5,6,4.119441032409668,
MIX,80,0.5,7,4.264093399047852,
MIX,80,0.75,0,4.540075302124023,
MIX,80,0.75,1,4.286992788314819,
MIX,80,0.75,2,4.386175632476807,
MIX,80,0.75,3,4.4100730419158936,
MIX,80,0.75,4,4.455649375915527,
MIX,80,0.75,5,4.382126331329346,
MIX,80,0.75,6,4.4366984367370605,
MIX,80,0.75,7,3.992241621017456,
MIX,80,1.0,0,4.159193515777588,
MIX,80,1.0,1,4.185704946517944,
MIX,80,1.0,2,4.2038843631744385,
MIX,80,1.0,3,4.156033515930176,
MIX,80,1.0,4,4.151244401931763,
MIX,80,1.0,5,4.323527097702026,
MIX,80,1.0,6,4.453475713729858,
MIX,80,1.0,7,4.225529909133911,
NAMED,55,,-1,3.829580307006836,U56
NAMED,135,,-1,6.931382417678833,B136
NAMED,100,,-1,5.337954759597778,BSTK100
NAMED,35,,-1,3.0956828594207764,ETF36
NAMED,439,,-1,18.61648464202881,SMALL439
