panel,N,fixed_G,mean_nsel,fill,realised_expo_full,realised_expo_IS,realised_expo_OOS
U56,10,0.75,9.438075742067554,0.9438075742067553,0.7482155171040947,0.7493168804722533,0.7473096005959413
U56,20,0.75,18.714431934493348,0.9357215967246674,0.7421454215457397,0.7389614499885256,0.7447643686421859
U56,30,0.75,27.83930399181167,0.9279767997270556,0.7361068563949054,0.7321818305621477,0.739335351004063
U56,40,0.75,36.561924257932446,0.9140481064483111,0.7251331819409017,0.7196033885596357,0.7296816636278691
U56,50,0.75,43.28863868986694,0.8657727737973389,0.6868726042228094,0.6679015930680419,0.7024770383980629
B136,10,0.75,9.456967213114755,0.9456967213114755,0.7495549667175484,0.750408038250515,0.748852128225486
B136,20,0.75,18.864754098360656,0.9432377049180328,0.7478332589380603,0.7495171777885623,0.7464458922989151
B136,30,0.75,28.21311475409836,0.9404371584699454,0.7458435538168231,0.7437097860119132,0.7476015472422969
B136,40,0.75,37.506147540983605,0.9376536885245901,0.7437261091547456,0.7391627235976225,0.7474858442997152
B136,50,0.75,46.78073770491803,0.9356147540983606,0.7421717462630517,0.7355945273680201,0.7475906618305099
