file,tierA,width_col,to_col,cost_col,n_rows,n_rungs,rho_w_to,rho_w_drag,n_cells,n_moved,frac_moved,kendall_tau,n_discordant,top_changed
2026-09-06_ew-band3-at-085-does-not-hold-on-broad_cloud.verdict.csv,0,in_interval,TO,bps,72,3,-0.4043492089571934,-0.2409010734698134,72,72,1.0,0.5083435083435084,604,True
2026-09-10_is-the-4b-window-a-TURNOVER-COST-fact-about-the-ranked-book_B.windows.csv,1,n_pass,base_to,cost,384,6,0.22230439514090725,-0.25893896795851756,384,384,1.0,0.4339861751152074,19652,True
