cadset,0.5,0.75,1.0,span,rel_span
D,-3.346474391992763,-3.359619988316592,-3.3706752624485703,0.024200870455807433,0.007204949000655292
M,-0.2353111244052493,-0.2354008589351645,-0.2385488754315621,0.003237751026312824,0.013694895127522099
Q,-2.4087668483659024,-2.495190770949144,-2.5878304757812023,0.1790636274152999,0.07170396111410547
W,-3.4334899087676374,-3.4627058159629924,-3.491091401297499,0.0576014925298618,0.016636151046270545
WMQ(535 population),-2.0528679084097083,-2.0963215724109823,-2.143529723331547,0.09066181492183878,0.04322224398413444
