phi,delta,n,E,u4a,s4a,u4b,s4b,n_oos,u4bo,s4bo,uboth,sboth
0.0,0.2,600,0.9866666666666667,31,20,86,56,576,94,56,6,0
0.0,0.4,600,0.7266666666666667,31,31,86,46,576,94,50,6,6
0.0,0.6,600,0.44666666666666666,31,31,86,108,576,94,111,6,6
0.0,0.8,600,0.3333333333333333,31,31,86,93,576,94,96,6,6
0.0,1.0,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.0,1.25,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.0,1.5,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.3,0.2,600,1.0,31,20,86,56,576,94,56,6,0
0.3,0.4,600,0.7266666666666667,31,31,86,46,576,94,50,6,6
0.3,0.6,600,0.44666666666666666,31,31,86,108,576,94,111,6,6
0.3,0.8,600,0.3333333333333333,31,31,86,93,576,94,96,6,6
0.3,1.0,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.3,1.25,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.3,1.5,600,0.32666666666666666,31,31,86,93,576,94,96,6,6
0.5,0.2,600,1.0,31,20,86,56,576,94,56,6,0
0.5,0.4,600,0.76,31,29,86,46,576,94,50,6,6
0.5,0.6,600,0.46,31,29,86,109,576,94,112,6,6
0.5,0.8,600,0.3466666666666667,31,29,86,94,576,94,97,6,6
0.5,1.0,600,0.34,31,29,86,94,576,94,97,6,6
0.5,1.25,600,0.34,31,29,86,94,576,94,97,6,6
0.5,1.5,600,0.34,31,29,86,94,576,94,97,6,6
0.7,0.2,600,1.0,31,20,86,56,576,94,56,6,0
0.7,0.4,600,0.9,31,32,86,58,576,94,61,6,9
0.7,0.6,600,0.5333333333333333,31,32,86,129,576,94,131,6,9
0.7,0.8,600,0.42,31,32,86,114,576,94,116,6,9
0.7,1.0,600,0.41333333333333333,31,32,86,114,576,94,116,6,9
0.7,1.25,600,0.41333333333333333,31,32,86,114,576,94,116,6,9
0.7,1.5,600,0.41333333333333333,31,32,86,114,576,94,116,6,9
0.9,0.2,600,1.0,31,20,86,56,576,94,56,6,0
0.9,0.4,600,0.9866666666666667,31,24,86,56,576,94,60,6,4
0.9,0.6,600,0.7466666666666667,31,24,86,96,576,94,100,6,4
0.9,0.8,600,0.6066666666666667,31,24,86,84,576,94,88,6,4
0.9,1.0,600,0.6,31,24,86,84,576,94,88,6,4
0.9,1.25,600,0.6,31,24,86,84,576,94,88,6,4
0.9,1.5,600,0.6,31,24,86,84,576,94,88,6,4
1.1,0.2,600,1.0,31,20,86,56,576,94,56,6,0
1.1,0.4,600,1.0,31,20,86,56,576,94,56,6,0
1.1,0.6,600,0.96,31,20,86,56,576,94,56,6,0
1.1,0.8,600,0.82,31,20,86,56,576,94,56,6,0
1.1,1.0,600,0.8133333333333334,31,20,86,56,576,94,56,6,0
1.1,1.25,600,0.8133333333333334,31,20,86,56,576,94,56,6,0
1.1,1.5,600,0.8133333333333334,31,20,86,56,576,94,56,6,0
1.3,0.2,600,1.0,31,20,86,56,576,94,56,6,0
1.3,0.4,600,1.0,31,20,86,56,576,94,56,6,0
1.3,0.6,600,0.9933333333333333,31,20,86,56,576,94,56,6,0
1.3,0.8,600,0.92,31,20,86,56,576,94,56,6,0
1.3,1.0,600,0.8933333333333333,31,20,86,56,576,94,56,6,0
1.3,1.25,600,0.88,31,20,86,56,576,94,56,6,0
1.3,1.5,600,0.88,31,20,86,56,576,94,56,6,0
