claimset,defn,n_files,n_claims,n_valued,n_qual,val_R3_NULL,val_R3_NULL_sent,val_R2_SE,val_R2_SE_sent,val_R1_SPREAD,val_R1_SPREAD_sent,val_R0_NONE,val_R0_NONE_sent,n_audited_true,share_audited,share_stated,share_stated_sent
REC,STRICT,2,113,43,70,1,0,1,1,10,9,31,33,0,0.0,0.046511627906976744,0.023255813953488372
REC,WIDE,2,470,234,236,13,6,4,3,29,17,188,208,0,0.0,0.07264957264957266,0.038461538461538464
REC+MEMO,STRICT,1038,201,74,127,2,1,3,3,13,11,56,59,1,0.013513513513513514,0.06756756756756757,0.05405405405405406
REC+MEMO,WIDE,1038,959,402,557,23,10,8,6,45,27,326,359,0,0.0,0.07711442786069651,0.03980099502487562
ALL,STRICT,1990,400,104,296,2,1,7,5,23,21,72,77,1,0.009615384615384616,0.08653846153846154,0.057692307692307696
ALL,WIDE,1990,1722,512,1210,29,12,12,10,63,41,408,449,0,0.0,0.080078125,0.04296875
