test,stat,value,bar,passed,slope,spearman
H_SMD,spearman_cell,0.7471751203258051,0.7,True,,
fit_FULL,SMD,0.6839969776986876,,,0.2765640383048566,0.5907519728170191
fit_FULL,DISP,0.013039459048587165,,,0.017199745751503168,0.12158540688213942
fit_FULL,min_n,0.019898062693785912,,,-0.00012925678900112196,0.042161064304444884
fit_FULL,neff_min,0.05765307987672352,,,-0.0003240016225582079,-0.21794020321482258
fit_FULL,inv_OVL,0.7285709658381321,,,0.22659574158594062,0.6278423981457933
H_LIN,R2_SMD,0.6839969776986876,0.5,True,,
H_DISP,R2_DISP_minus_R2_SMD,-0.6709575186501004,0.0,False,,
joint,R2_SMD_plus_DISP,0.6841443158566033,,,0.2771906915661917,-0.0018499700273027031
H_SIZE,worst_abs_spearman_min_n,0.3319692256650376,0.3,False,,
H_NOISE,span_over_noise,8.798886382029378,3.0,True,,
WF_A,pick=SMD,0.7102465280875495,,,0.27870878032728763,0.5158733298939135
H_ENTITLE,worst_OOS_over_IS_p90,1.1049704967688139,1.5,True,,
