form,w,param,on_pct,g_eff,CAGR,Sharpe,MaxDD,H1,H2,twin_CAGR,twin_Sharpe,twin_MaxDD,WORKS,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4b,p4b_fails,p4a,p4a_fails,ord_CAGR,y2020_CAGR,y2022_CAGR
GATE,63,0.5,0.2151699302273239,0.8924150348863381,0.11852514085106458,0.9994922415804954,-0.19505289829790395,1.0064779943405426,0.9922359585613005,0.1267477122299916,1.0211513314664296,-0.20795574644236625,False,0.12706818690798016,1.0983563286536064,-0.1950528982979043,True,-,False,"H1,DD",0.13096141732115307,0.17960903823606333,-0.10872871446612198
SIZE,63,0.1,0.2151699302273239,0.8649417363164037,0.10978036889891518,0.9554698342536658,-0.19176644364470563,0.9144101414527046,0.9983259245986406,0.12285386687965505,1.0211524239285856,-0.20201547488015192,False,0.12154850592313315,1.0932521772194979,-0.19176644364470552,False,H1,False,"H1,DD",0.11564740108655513,0.2598336074093832,-0.1009459514011869
SIZE,63,0.25,0.2151699302273239,0.8874514469303364,0.11539314938739875,0.9847013230415791,-0.1946239593795579,0.9696770085758184,1.0001802114470328,0.12605405387313606,1.0211515947396634,-0.20689942169774933,False,0.12491645393542772,1.0998461262231567,-0.19462395937955934,True,-,False,"H1,DD",0.12373483107656491,0.23265596718156,-0.1028048876697939
SIZE,63,0.4,0.2151699302273239,0.9099611575442692,0.12090903857941071,1.0055176138485262,-0.19887079892754211,1.0185851690027725,0.9920829418840466,0.12923865055993256,1.0211501435216535,-0.2117423065001529,False,0.12814127440313205,1.0955253564329879,-0.19887079892754145,True,-,False,"H1,DD",0.1317910359303558,0.2053283397429153,-0.10476465184642603
SIZE,63,0.5,0.2151699302273239,0.9249676312868909,0.12453142859788824,1.0150057497115368,-0.20173566966954803,1.047569019567084,0.982080297344395,0.13136088851161332,1.021148839098619,-0.21496013113597945,False,0.13021067793047525,1.0875021731476744,-0.20173566966954848,True,-,False,"H1,DD",0.13714367233102487,0.18704226434425708,-0.10612689182677548
SIZE,63,0.6,0.2151699302273239,0.9399741050295127,0.12810919122329745,1.021295138135467,-0.20462707592139417,1.0736764827305174,0.9691276848367399,0.13348243688719297,1.021147241257875,-0.21816935683674,True,0.1322150277173284,1.076116353890107,-0.2046270759213935,False,DD,False,"H1,DD",0.14248119709351248,0.1687128762048613,-0.10753350810855089
SIZE,63,0.75,0.2151699302273239,0.9624838156434453,0.13339078061435106,1.0254430977914513,-0.209013221106925,1.1076145387520304,0.9455302947919813,0.13666342810381527,1.0211443492455559,-0.22296709723400443,True,0.1350983173971656,1.0541578589756302,-0.20901322110692389,False,DD,False,"H1,H2,DD",0.1504580574614902,0.1411575486595611,-0.10972623179357133
SIZE,63,0.9,0.2151699302273239,0.9849935262573781,0.1385684061923973,1.0242869059087318,-0.21345721652455607,1.135655222282736,0.9186191739986521,0.13984275174063976,1.0211408214400417,-0.2277455539310831,True,0.13783199992983497,1.0281419998289674,-0.21345721652455696,False,DD,False,"H1,H2,DD",0.15839809603203392,0.11355566398471106,-0.11201773551211003
GATE,126,0.5,0.18973666441593517,0.9051316677920324,0.12081682591563925,1.0093033793978776,-0.1901857849287727,0.9884833679808285,1.0304786699219868,0.12854524144477275,1.0211505135790435,-0.21068928524994857,False,0.13002578419712196,1.118127611873609,-0.19018578492877203,True,-,False,"H1,DD",0.13161021515991522,0.21579061181397008,-0.11159619116910657
SIZE,126,0.1,0.18973666441593517,0.8946311542848063,0.11893069766821651,1.0051149158796402,-0.1928033024412762,0.9709010386473138,1.0408343056660891,0.12705912843244938,1.021151203405963,-0.2084297153360305,False,0.1279086779490124,1.1210859019018753,-0.19280330244127641,True,-,False,"H1,DD",0.1260750131441264,0.2671694531882276,-0.10677065043856859
