panel,cadence,legset,wstart,draws,base_REC,base_DISJ,destroyed,created,dest_share,bind_H1,bind_H2
B136,M,REC5,2009-01-01,200,0.08,0.045,8,1,0.5,0.5,0.5
B136,M,REC5,2010-01-01,200,0.08,0.045,8,1,0.5,0.25,0.75
B136,M,REC5,2011-01-01,200,0.08,0.055,6,1,0.375,0.0,1.0
B136,M,REC5,2012-01-01,200,0.08,0.015,13,0,0.8125,0.8461538461538461,0.38461538461538464
B136,M,REC5,2013-01-01,200,0.08,0.025,11,0,0.6875,0.5454545454545454,0.7272727272727273
B136,M,FOUR,2009-01-01,200,0.08,0.05,8,2,0.5,0.5,0.5
B136,M,FOUR,2010-01-01,200,0.08,0.05,8,2,0.5,0.25,0.75
B136,M,FOUR,2011-01-01,200,0.08,0.06,6,2,0.375,0.0,1.0
B136,M,FOUR,2012-01-01,200,0.08,0.02,13,1,0.8125,0.8461538461538461,0.38461538461538464
B136,M,FOUR,2013-01-01,200,0.08,0.03,11,1,0.6875,0.5454545454545454,0.7272727272727273
B136,M,SHARPE2,2009-01-01,200,0.35,0.32,46,40,0.6571428571428571,0.5217391304347826,0.6304347826086957
B136,M,SHARPE2,2010-01-01,200,0.35,0.335,41,38,0.5857142857142857,0.3902439024390244,0.8292682926829268
B136,M,SHARPE2,2011-01-01,200,0.35,0.38,37,43,0.5285714285714286,0.13513513513513514,0.9459459459459459
B136,M,SHARPE2,2012-01-01,200,0.35,0.075,63,8,0.9,0.9047619047619048,0.3968253968253968
B136,M,SHARPE2,2013-01-01,200,0.35,0.195,53,22,0.7571428571428571,0.660377358490566,0.660377358490566
B136,Q,REC5,2009-01-01,200,0.015,0.02,1,2,0.3333333333333333,0.0,1.0
B136,Q,REC5,2010-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.0,1.0
B136,Q,REC5,2011-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.0,1.0
B136,Q,REC5,2012-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.5,0.5
B136,Q,REC5,2013-01-01,200,0.015,0.02,1,2,0.3333333333333333,0.0,1.0
B136,Q,FOUR,2009-01-01,200,0.015,0.02,1,2,0.3333333333333333,0.0,1.0
B136,Q,FOUR,2010-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.0,1.0
B136,Q,FOUR,2011-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.0,1.0
B136,Q,FOUR,2012-01-01,200,0.015,0.015,2,2,0.6666666666666666,0.5,0.5
