panel,fold,chooser,base,ladder_set,L,ladder,rung,point_widest,runner_up,t,F,call,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2014,CH_ANCHOR/ALL4/L252,CH_ANCHOR,ALL4,252,CADENCE,W,N,CADENCE,0.9622282547610577,4,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/ALL4/L252,CH_RAW,ALL4,252,N,5,N,CADENCE,0.9622282547610577,4,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/ALL4/L252,CH_POINT,ALL4,252,N,5,N,CADENCE,0.9622282547610577,4,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_RES/ALL4/L252,CH_RES,ALL4,252,CADENCE,W,N,CADENCE,0.9622282547610577,4,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_ANCHOR/ALL4/L504,CH_ANCHOR,ALL4,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/ALL4/L504,CH_RAW,ALL4,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/ALL4/L504,CH_POINT,ALL4,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_RES/ALL4/L504,CH_RES,ALL4,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_ANCHOR/NG/L63,CH_ANCHOR,NG,63,CADENCE,W,N,CADENCE,1.1110469115279458,19,TIE,False,0.8921122747029148,0.1037347778655413,-0.07826809362068277
U56,2014,CH_RAW/NG/L63,CH_RAW,NG,63,N,5,N,CADENCE,1.1110469115279458,19,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
U56,2014,CH_POINT/NG/L63,CH_POINT,NG,63,N,5,N,CADENCE,1.1110469115279458,19,TIE,True,0.888573215395414,0.13891626922938882,-0.1235530493171556
