panel,era,k,mu,n_obs,cover,n_dates
U56,FULL,1,0.002590149783323156,920,1.0,920
U56,FULL,2,0.0016839027542674247,920,1.0,920
U56,FULL,3,0.0024326215735714146,920,1.0,920
U56,FULL,4,0.0018500452645075262,919,0.9989130434782608,920
U56,FULL,5,0.0028020100476512867,918,0.9978260869565218,920
U56,FULL,6,0.0028130960819497644,913,0.9923913043478261,920
U56,FULL,7,0.002745848143829742,909,0.9880434782608696,920
U56,FULL,8,0.0032119206444905235,905,0.9836956521739131,920
U56,FULL,9,0.003637500756125266,895,0.9728260869565217,920
U56,FULL,10,0.002694338491541473,887,0.9641304347826087,920
U56,FULL,11,0.0032153373686275065,885,0.9619565217391305,920
U56,FULL,12,0.0026087170210063572,882,0.9586956521739131,920
U56,FULL,13,0.0012496201857203945,877,0.9532608695652174,920
U56,FULL,14,0.003073254900732867,868,0.9434782608695652,920
U56,FULL,15,0.00384393339654727,858,0.9326086956521739,920
U56,FULL,16,0.003643141577799266,848,0.9217391304347826,920
U56,FULL,17,0.0036001901866882756,844,0.9173913043478261,920
U56,FULL,18,0.0043058231185977985,833,0.9054347826086957,920
U56,FULL,19,0.0026259570057302942,827,0.8989130434782608,920
U56,FULL,20,0.002457713724898919,820,0.8913043478260869,920
U56,FULL,21,0.002363583405285627,806,0.8760869565217392,920
U56,FULL,22,0.003908291263706131,799,0.8684782608695653,920
U56,FULL,23,0.002998847191761234,791,0.8597826086956522,920
U56,FULL,24,0.0011114777145738862,783,0.8510869565217392,920
U56,FULL,25,0.003933501330555369,774,0.841304347826087,920
U56,FULL,26,0.003623965760033811,764,0.8304347826086956,920
U56,FULL,27,0.002246028184146509,756,0.8217391304347826,920
U56,FULL,28,0.002709544199905565,746,0.8108695652173913,920
U56,FULL,29,0.003703133677038939,737,0.8010869565217391,920
U56,FULL,30,0.0022643123526112055,723,0.7858695652173913,920
U56,FULL,31,0.004258546949680723,715,0.7771739130434783,920
U56,FULL,32,0.002948637902647195,702,0.7630434782608696,920
U56,FULL,33,0.004057411157111868,686,0.7456521739130435,920
U56,FULL,34,0.0015712434033631473,674,0.7326086956521739,920
U56,FULL,35,0.0016596653127890798,655,0.7119565217391305,920
U56,FULL,36,0.0024804962248442513,617,0.6706521739130434,920
U56,FULL,37,0.0025781919624074563,591,0.6423913043478261,920
U56,FULL,38,0.0032025844915940954,560,0.6086956521739131,920
U56,FULL,39,0.004453185411226762,521,0.566304347826087,920
U56,FULL,40,0.001956045453956354,483,0.525,920
U56,IS,1,0.0028160702552893196,416,1.0,416
U56,IS,2,0.0019541782594945656,416,1.0,416
U56,IS,3,0.0012313855136535583,416,1.0,416
U56,IS,4,0.0016059127964639847,416,1.0,416
U56,IS,5,0.001777799610266473,416,1.0,416
U56,IS,6,0.0044996922062758345,416,1.0,416
U56,IS,7,0.0021868381695940024,414,0.9951923076923077,416
U56,IS,8,0.0035995378177170216,412,0.9903846153846154,416
U56,IS,9,0.0032385960401316192,407,0.9783653846153846,416
U56,IS,10,0.003320548643428263,404,0.9711538461538461,416
U56,IS,11,0.003595798733512644,404,0.9711538461538461,416
U56,IS,12,0.0016333230118824246,403,0.96875,416
U56,IS,13,0.00133048055803954,400,0.9615384615384616,416
U56,IS,14,0.004692076047684142,396,0.9519230769230769,416
U56,IS,15,0.0022127230041398688,390,0.9375,416
U56,IS,16,0.0011260932366482126,385,0.9254807692307693,416
U56,IS,17,0.005397744337583866,382,0.9182692307692307,416
U56,IS,18,0.0019440964699115498,374,0.8990384615384616,416
U56,IS,19,0.0027231839157230465,372,0.8942307692307693,416
U56,IS,20,0.0026478533054880527,368,0.8846153846153846,416
U56,IS,21,0.00017637508853939643,361,0.8677884615384616,416
U56,IS,22,0.001603672224056532,359,0.8629807692307693,416
U56,IS,23,0.0031381179717902925,357,0.8581730769230769,416
U56,IS,24,0.0004755787007112837,352,0.8461538461538461,416
U56,IS,25,0.0031260357669281895,349,0.8389423076923077,416
U56,IS,26,0.004120543945514097,343,0.8245192307692307,416
U56,IS,27,0.002072613689775641,339,0.8149038461538461,416
U56,IS,28,0.000977326389272541,333,0.8004807692307693,416
U56,IS,29,0.0023424253955915226,329,0.7908653846153846,416
U56,IS,30,0.0037580231763019237,319,0.7668269230769231,416
U56,IS,31,0.00298379886707833,315,0.7572115384615384,416
U56,IS,32,0.004682295545142317,308,0.7403846153846154,416
U56,IS,33,0.0010969728528215862,299,0.71875,416
U56,IS,34,-0.00018384914188526404,294,0.7067307692307693,416
U56,IS,35,0.0014265555177769965,282,0.6778846153846154,416
U56,IS,36,0.0011299131035925425,260,0.625,416
U56,IS,37,0.0020885139712077897,247,0.59375,416
U56,IS,38,0.0013923146944432355,230,0.5528846153846154,416
U56,IS,39,0.005118664279157192,200,0.4807692307692308,416
U56,IS,40,0.0012011690849562167,184,0.4423076923076923,416
U56,OOS,1,0.002403675742970131,504,1.0,504
U56,OOS,2,0.0014608182102704198,504,1.0,504
U56,OOS,3,0.003424118003979804,504,1.0,504
U56,OOS,4,0.002051952037283099,503,0.998015873015873,504
U56,OOS,5,0.003650758139189299,502,0.996031746031746,504
U56,OOS,6,0.0014013777967995741,497,0.9861111111111112,504
U56,OOS,7,0.003213383758645087,495,0.9821428571428571,504
U56,OOS,8,0.0028879890514493124,493,0.9781746031746031,504
U56,OOS,9,0.003970193828685541,488,0.9682539682539683,504
U56,OOS,10,0.002170551946277989,483,0.9583333333333334,504
U56,OOS,11,0.002895781461322733,481,0.9543650793650794,504
U56,OOS,12,0.0034293512291001887,479,0.9503968253968254,504
U56,OOS,13,0.001181812745620482,477,0.9464285714285714,504
U56,OOS,14,0.0017150913960873053,472,0.9365079365079365,504
U56,OOS,15,0.0052032753902201065,468,0.9285714285714286,504
U56,OOS,16,0.005736151537503704,463,0.9186507936507936,504
U56,OOS,17,0.0021139008238265544,462,0.9166666666666666,504
U56,OOS,18,0.006230192980490297,459,0.9107142857142857,504
U56,OOS,19,0.0025464659936043515,455,0.9027777777777778,504
U56,OOS,20,0.0023029098185785623,452,0.8968253968253969,504
U56,OOS,21,0.004137925433028075,445,0.8829365079365079,504
U56,OOS,22,0.0057886508892384175,440,0.873015873015873,504
U56,OOS,23,0.002884285743672814,434,0.8611111111111112,504
U56,OOS,24,0.001630819832624086,431,0.8551587301587301,504
U56,OOS,25,0.004596573052216278,425,0.8432539682539683,504
U56,OOS,26,0.003219390183739896,421,0.8353174603174603,504
U56,OOS,27,0.002387005434965991,417,0.8273809523809523,504
U56,OOS,28,0.004106223451578197,413,0.8194444444444444,504
U56,OOS,29,0.0048003714824217825,408,0.8095238095238095,504
U56,OOS,30,0.0010848723705385837,404,0.8015873015873016,504
U56,OOS,31,0.005262411064730107,400,0.7936507936507936,504
U56,OOS,32,0.0015933928420164892,394,0.7817460317460317,504
U56,OOS,33,0.006344674859909785,387,0.7678571428571429,504
U56,OOS,34,0.002929130793634286,380,0.753968253968254,504
U56,OOS,35,0.0018359038173290465,373,0.7400793650793651,504
U56,OOS,36,0.0034641141842992776,357,0.7083333333333334,504
U56,OOS,37,0.0029297921479490775,344,0.6825396825396826,504
U56,OOS,38,0.004464287683547724,330,0.6547619047619048,504
