A,twin,n,win_oosSharpe,win_oosMaxDD,win_oosCAGR,win_turnover,weak_dominates_all4,share_all4
DOWNONLY,1,60,0,60,0,60,0,0.0
DOWNONLY_TD,A1_TD,60,29,43,4,57,1,0.016666666666666666
UPONLY,1,60,1,0,54,59,0,0.0
4,1,60,38,48,12,2,0,0.0
